净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.6182,2.8960%
2019-12-05,1.7202,2.9030%
2019-12-04,0.6463,2.3200%
2019-12-03,0.6162,2.3130%
2019-12-02,0.6332,2.3210%
2019-12-01,0.6213,2.3230%
2019-11-30,0.6206,2.3400%
2019-11-29,0.6311,2.3570%
2019-11-28,0.6294,2.3680%
2019-11-27,0.6343,2.9710%
2019-11-26,0.6305,2.9940%
2019-11-25,0.6374,3.0080%
2019-11-24,0.6522,3.0080%
2019-11-23,0.6522,2.9920%
2019-11-22,0.6531,2.9760%
2019-11-21,1.7558,2.9620%
2019-11-20,0.6767,2.3510%
2019-11-19,0.6561,2.3170%
2019-11-18,0.6386,2.3020%
2019-11-17,0.6218,2.3010%
2019-05-20,0.5555,2.2410%
2019-05-19,0.6230,2.2690%
2019-05-18,0.6230,2.2710%
2019-05-17,0.6260,2.2730%
2019-05-16,0.6166,2.3040%
2019-05-15,0.6007,2.3190%
2019-05-14,0.6054,2.3500%
2019-05-13,0.6078,2.3720%
2019-05-12,0.6274,2.4060%
2019-05-11,0.6274,2.4170%
2019-05-10,0.6830,2.4280%
2019-05-09,0.6443,2.4100%
2019-05-08,0.6591,2.4120%
2019-05-07,0.6473,2.4060%
2019-05-06,0.6716,2.4050%
2019-05-05,0.6482,2.4000%
2019-05-04,0.6483,2.4030%
2019-05-03,0.6483,2.4060%
2019-05-02,0.6483,2.4090%
2019-05-01,0.6484,2.4040%
2018-11-01,0.6675,2.8360%
2018-10-31,0.6658,2.8480%
2018-10-30,0.6911,2.8520%
2018-10-29,1.3463,2.8410%
2018-10-28,0.6363,4.2060%
2018-10-27,0.6474,4.1790%
2018-10-26,0.7091,4.1450%
2018-10-25,0.6894,4.0800%
2018-10-24,0.6741,4.0260%
2018-10-23,0.6709,3.9800%
2018-10-22,3.8754,3.9370%
2018-10-21,0.5854,2.1730%
2018-10-20,0.5854,2.1780%
2018-10-19,0.5894,2.1820%
2018-10-18,0.5907,2.1830%
2018-10-17,0.5889,2.1840%
2018-10-16,0.5920,2.2140%
2018-10-15,0.5918,2.2420%
2018-10-14,0.5937,2.2830%
2018-10-13,0.5937,2.3050%
2018-04-15,1.0629,4.4130%
2018-04-14,1.0630,4.4340%
2018-04-13,1.0652,4.4550%
2018-04-12,1.2237,4.4740%
2018-04-11,1.6818,4.4080%
2018-04-10,1.0870,4.0930%
2018-04-09,1.0987,4.1130%
2018-04-08,1.1012,4.1710%
2018-04-07,1.1013,4.2310%
2018-04-06,1.1013,4.2900%
2018-04-05,1.1014,4.3500%
2018-04-04,1.1019,4.4110%
2018-04-03,1.1244,4.4660%
2018-04-02,1.2067,4.4910%
2018-04-01,1.2108,5.0180%
2018-03-31,1.2102,4.9400%
2018-03-30,1.2118,4.8610%
2018-03-29,1.2124,4.7930%
2018-03-28,1.2028,4.7280%
2018-03-27,1.1713,4.6820%
2017-09-27,1.0512,4.0380%
2017-09-26,1.1077,4.0590%
2017-09-25,1.1098,4.0650%
2017-09-24,1.0276,4.0750%
2017-09-23,1.0617,4.1260%
2017-09-22,1.1352,4.1590%
2017-09-21,1.0989,4.1570%
2017-09-20,1.0893,4.1770%
2017-09-19,1.1196,4.2080%
2017-09-18,1.1289,4.2160%
2017-09-17,1.1216,4.2050%
2017-09-16,1.1217,4.2130%
2017-09-15,1.1317,4.2210%
2017-09-14,1.1360,4.2260%
2017-09-13,1.1451,4.2170%
2017-09-12,1.1355,4.2060%
2017-09-11,1.1082,4.2010%
2017-09-10,1.1361,4.2070%
2017-09-09,1.1362,4.1920%
2017-09-08,1.1416,4.1770%
2017-03-11,1.0084,3.7570%
2017-03-10,1.0114,3.7460%
2017-03-09,1.0183,3.7360%
2017-03-08,1.0222,3.7340%
2017-03-07,1.0235,3.7250%
2017-03-06,1.0044,3.6960%
2017-03-05,0.9862,3.6990%
2017-03-04,0.9863,3.6920%
2017-03-03,0.9937,3.6850%
2017-03-02,1.0151,3.6790%
2017-03-01,1.0057,3.6600%
2017-02-28,0.9690,3.6340%
2017-02-27,1.0102,3.6350%
2017-02-26,0.9729,3.6220%
2017-02-25,0.9730,3.6260%
2017-02-24,0.9827,3.6300%
2017-02-23,0.9812,3.6230%
2017-02-22,0.9569,3.6180%
2017-02-21,0.9712,3.6220%
2017-02-20,0.9856,3.6210%
2019-11-16,0.6218,2.3120%
2019-11-15,0.6267,2.3230%
2019-11-14,0.6152,2.8860%
2019-11-13,0.6137,2.9000%
2019-11-12,0.6264,2.9190%
2019-11-11,0.6383,2.9290%
2019-11-10,0.6417,2.9790%
2019-11-09,0.6417,2.9810%
2019-11-08,1.6793,2.9830%
2019-11-07,0.6409,2.4290%
2019-11-06,0.6505,2.4090%
2019-11-05,0.6439,2.3960%
2019-11-04,0.7329,2.3890%
2019-11-03,0.6447,2.3380%
2019-11-02,0.6448,2.3360%
2019-11-01,0.6445,2.3340%
2019-10-31,0.6048,2.3320%
2019-10-30,0.6252,2.3520%
2019-10-29,0.6303,2.3540%
2019-10-28,0.6386,2.3470%
2019-04-30,0.6450,2.4060%
2019-04-29,0.6616,2.3880%
2019-04-28,0.6541,2.3730%
2019-04-27,0.6541,2.3660%
2019-04-26,0.6542,2.3590%
2019-04-25,0.6382,2.3520%
2019-04-24,0.6520,2.3460%
2019-04-23,0.6123,2.3300%
2019-04-22,0.6337,2.3230%
2019-04-21,0.6405,2.3030%
2019-04-20,0.6405,2.2740%
2019-04-19,0.6407,2.2460%
2019-04-18,0.6271,2.4370%
2019-04-17,0.6221,2.2890%
2019-04-16,0.5996,2.1830%
2019-04-15,0.5956,2.1810%
