净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7508,2.9180%
2019-12-05,0.9398,2.9290%
2019-12-04,0.7557,2.8380%
2019-12-03,0.7603,2.8430%
2019-12-02,0.7654,2.8400%
2019-12-01,1.5445,2.8310%
2019-11-29,0.7720,2.7970%
2019-11-28,0.7698,2.7800%
2019-11-27,0.7636,2.7790%
2019-11-26,0.7565,2.8150%
2019-11-25,0.7483,2.8230%
2019-11-24,1.4803,2.8300%
2019-11-22,0.7407,2.8460%
2019-11-21,0.7679,2.8550%
2019-11-20,0.8304,2.8410%
2019-11-19,0.7713,2.7890%
2019-11-18,0.7613,2.7670%
2019-11-17,1.5100,2.7520%
2019-11-15,0.7574,2.7360%
2019-11-14,0.7416,2.7270%
2019-04-04,0.7200,2.6970%
2019-04-03,0.7155,2.7060%
2019-04-02,0.7228,2.7610%
2019-04-01,0.7293,2.8860%
2019-03-31,1.4752,2.9670%
2019-03-29,0.7419,2.9430%
2019-03-28,0.7369,2.9400%
2019-03-27,0.8183,3.0680%
2019-03-26,0.9546,3.0930%
2019-03-25,0.8798,2.9620%
2019-03-24,1.4306,2.8580%
2019-03-22,0.7380,2.8020%
2019-03-21,0.9748,2.8020%
2019-03-20,0.8644,2.6510%
2019-03-19,0.7111,2.5600%
2019-03-18,0.6853,2.5810%
2019-03-17,1.3269,2.5710%
2019-03-15,0.7367,2.5830%
2019-03-14,0.6938,2.5680%
2019-03-13,0.6940,2.5600%
2018-07-29,1.9784,3.7220%
2018-07-27,0.9891,3.7130%
2018-07-26,0.9818,3.7370%
2018-07-25,0.9792,3.7880%
2018-07-24,1.1008,3.7970%
2018-07-23,0.9796,3.7230%
2018-07-22,1.9621,3.7110%
2018-07-20,1.0333,3.6840%
2018-07-19,1.0751,3.6430%
2018-07-18,0.9970,3.5780%
2018-07-17,0.9632,3.5750%
2018-07-16,0.9574,3.5780%
2018-07-15,1.9130,3.5910%
2018-07-13,0.9568,3.6200%
2018-07-12,0.9543,3.6350%
2018-07-11,0.9919,3.6810%
2018-07-10,0.9698,3.7590%
2018-07-09,0.9815,3.8820%
2018-07-08,1.9664,4.0490%
2018-07-06,0.9836,4.3710%
2017-11-27,1.1785,4.3720%
2017-11-26,2.3544,4.3680%
2017-11-24,1.1722,4.3570%
2017-11-23,1.1709,4.3540%
2017-11-22,1.1653,4.3500%
2017-11-21,1.1660,4.3480%
2017-11-20,1.1715,4.3440%
2017-11-19,2.3332,4.3380%
2017-11-17,1.1676,4.3340%
2017-11-16,1.1640,4.3310%
2017-11-15,1.1616,4.3310%
2017-11-14,1.1584,4.3110%
2017-11-13,1.1606,4.3150%
2017-11-12,2.3248,4.3180%
2017-11-10,1.1625,4.3220%
2017-11-09,1.1630,4.3240%
2017-11-08,1.1262,4.3290%
2017-11-07,1.1646,4.3570%
2017-11-06,1.1660,4.3580%
