净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.6702,2.5940%
2019-12-05,0.6795,2.8080%
2019-12-04,0.6816,2.8080%
2019-12-03,0.6702,2.8080%
2019-12-02,0.8705,2.8110%
2019-12-01,0.6685,2.7010%
2019-11-30,0.6713,2.7090%
2019-11-29,1.0702,2.7150%
2019-11-28,0.6792,3.0490%
2019-11-27,0.6806,3.0520%
2019-11-26,0.6758,3.0520%
2019-11-25,0.6667,3.0470%
2019-11-24,0.6825,3.0330%
2019-11-23,0.6825,3.0070%
2019-11-22,1.6934,2.9800%
2019-11-21,0.6841,2.9900%
2019-11-20,0.6806,2.9520%
2019-11-19,0.6677,2.9190%
2019-11-18,0.6404,2.8970%
2019-11-17,0.6330,2.8970%
2019-05-20,0.5719,2.1660%
2019-05-19,0.5954,2.1690%
2019-05-18,0.5954,2.1700%
2019-05-17,0.5958,2.1710%
2019-05-16,0.5881,2.1720%
2019-05-15,0.5847,2.1730%
2019-05-14,0.5789,2.1890%
2019-05-13,0.5774,2.2070%
2019-05-12,0.5973,2.2330%
2019-05-11,0.5974,2.2280%
2019-05-10,0.5963,2.2230%
2019-05-09,0.5909,2.2180%
2019-05-08,0.6147,2.2160%
2019-05-07,0.6135,2.2020%
2019-05-06,0.6258,2.1870%
2019-05-05,0.5875,2.1790%
2019-05-04,0.5875,2.1810%
2019-05-03,0.5875,2.1820%
2019-05-02,0.5875,2.1830%
2019-05-01,0.5876,2.3240%
2018-11-01,0.7879,2.9700%
2018-10-31,0.7962,2.9750%
2018-10-30,0.8177,2.9670%
2018-10-29,0.8079,2.9350%
2018-10-28,0.8013,2.9210%
2018-10-27,0.8013,2.9280%
2018-10-26,0.8002,2.9340%
2018-10-25,0.7987,2.9410%
2018-10-24,0.7799,2.9470%
2018-10-23,0.7595,2.9660%
2018-10-22,0.7803,2.9920%
2018-10-21,0.8141,2.9960%
2018-10-20,0.8141,2.9850%
2018-10-19,0.8125,2.9730%
2018-10-18,0.8098,2.9610%
2018-10-17,0.8149,2.9600%
2018-10-16,0.8088,2.9610%
2018-10-15,0.7878,2.9540%
2018-10-14,0.7929,2.9660%
2018-10-13,0.7928,2.9760%
2018-04-15,0.9491,4.1280%
2018-04-14,0.9555,4.1390%
2018-04-13,0.9566,4.1460%
2018-04-12,0.9528,4.1520%
2018-04-11,0.9601,4.1610%
2018-04-10,2.0234,4.1680%
2018-04-09,0.9611,3.5800%
2018-04-08,0.9684,3.5980%
2018-04-07,0.9684,3.5880%
2018-04-06,0.9685,3.5760%
2018-04-05,0.9685,3.5580%
2018-04-04,0.9730,3.5760%
2018-04-03,0.9376,3.5770%
2018-04-02,0.9958,3.6070%
2018-04-01,0.9483,3.7300%
2018-03-31,0.9478,3.7830%
2018-03-30,0.9334,3.8410%
2018-03-29,1.0026,3.9140%
2018-03-28,0.9750,3.9350%
2018-03-27,0.9929,3.9550%
2017-09-27,0.9462,3.4870%
2017-09-26,0.9743,3.4770%
2017-09-25,0.9290,3.4390%
2017-09-24,0.9328,3.4350%
2017-09-23,0.9328,3.4290%
2017-09-22,0.9325,3.4230%
2017-09-21,0.9260,3.6060%
2017-09-20,0.9275,4.0460%
2017-09-19,0.9042,4.0390%
2017-09-18,0.9220,4.0520%
2017-09-17,0.9219,4.0470%
2017-09-16,0.9219,4.0330%
2017-09-15,1.2710,4.0180%
2017-09-14,1.7385,3.8150%
