净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7357,2.8380%
2019-12-05,0.7440,3.0520%
2019-12-04,0.7467,3.0510%
2019-12-03,0.7345,3.0490%
2019-12-02,0.9345,3.0520%
2019-12-01,0.7343,2.9420%
2019-11-30,0.7371,2.9500%
2019-11-29,1.1340,2.9560%
2019-11-28,0.7430,3.2910%
2019-11-27,0.7434,3.2930%
2019-11-26,0.7396,3.2930%
2019-11-25,0.7304,3.2880%
2019-11-24,0.7482,3.2750%
2019-11-23,0.7483,3.2490%
2019-11-22,1.7568,3.2220%
2019-11-21,0.7471,3.2330%
2019-11-20,0.7436,3.1960%
2019-11-19,0.7308,3.1650%
2019-11-18,0.7062,3.1440%
2019-11-17,0.6987,3.1440%
2019-05-20,0.6379,2.4120%
2019-05-19,0.6611,2.4140%
2019-05-18,0.6612,2.4150%
2019-05-17,0.6616,2.4160%
2019-05-16,0.6519,2.4160%
2019-05-15,0.6508,2.4190%
2019-05-14,0.6456,2.4350%
2019-05-13,0.6424,2.4530%
2019-05-12,0.6631,2.4780%
2019-05-11,0.6631,2.4730%
2019-05-10,0.6625,2.4680%
2019-05-09,0.6564,2.4630%
2019-05-08,0.6801,2.4610%
2019-05-07,0.6797,2.4470%
2019-05-06,0.6903,2.4320%
2019-05-05,0.6532,2.4250%
2019-05-04,0.6532,2.4270%
2019-05-03,0.6533,2.4280%
2019-05-02,0.6533,2.4290%
2019-05-01,0.6533,2.5720%
2018-11-01,0.8537,3.2170%
2018-10-31,0.8617,3.2230%
2018-10-30,0.8841,3.2150%
2018-10-29,0.8735,3.1820%
2018-10-28,0.8670,3.1660%
2018-10-27,0.8670,3.1730%
2018-10-26,0.8664,3.1800%
2018-10-25,0.8647,3.1860%
2018-10-24,0.8457,3.1920%
2018-10-23,0.8233,3.2110%
2018-10-22,0.8435,3.2390%
2018-10-21,0.8798,3.2440%
2018-10-20,0.8798,3.2330%
2018-10-19,0.8789,3.2210%
2018-10-18,0.8752,3.2090%
2018-10-17,0.8817,3.2090%
2018-10-16,0.8749,3.2080%
2018-10-15,0.8524,3.2020%
