净值日期,每万份收益,7日年化收益率（%）
2019-12-08,1.1545,2.5270%
2019-12-06,0.8940,2.5290%
2019-12-05,0.7395,2.3660%
2019-12-04,0.6447,2.4620%
2019-12-03,0.7025,2.4370%
2019-12-02,0.6512,2.4330%
2019-12-01,1.1589,2.4740%
2019-11-29,0.5881,2.4910%
2019-11-28,0.9200,2.5010%
2019-11-27,0.5972,2.3820%
2019-11-26,0.6942,2.5230%
2019-11-25,0.7295,2.9980%
2019-11-24,1.1908,3.5610%
2019-11-22,0.6056,3.5480%
2019-11-21,0.6972,3.6760%
2019-11-20,0.8609,3.7440%
2019-11-19,1.5822,3.5880%
2019-11-18,1.7735,3.1780%
2019-11-17,1.1668,2.6040%
2019-11-15,0.8428,2.6040%
2019-04-07,1.9188,2.4680%
2019-04-04,0.6640,2.5610%
2019-04-03,0.6884,2.5900%
2019-04-02,0.7052,2.5930%
2019-04-01,0.6993,2.6120%
2019-03-31,1.3869,2.6150%
2019-03-29,0.7055,2.6290%
2019-03-28,0.7186,2.6340%
2019-03-27,0.6932,2.6280%
2019-03-26,0.7408,2.6370%
2019-03-25,0.7050,2.6150%
2019-03-24,1.4139,2.6200%
2019-03-22,0.7151,2.6250%
2019-03-21,0.7072,2.6240%
2019-03-20,0.7093,2.6240%
2019-03-19,0.6998,2.6290%
2019-03-18,0.7143,2.6410%
2019-03-17,1.4236,2.6530%
2019-03-15,0.7125,2.6730%
2019-03-14,0.7090,2.6850%
2018-07-30,1.0415,3.8610%
2018-07-29,2.0742,3.8540%
2018-07-27,1.0371,3.8480%
2018-07-26,1.0544,3.8450%
2018-07-25,1.0332,3.8320%
2018-07-24,1.0255,3.8340%
2018-07-23,1.0288,3.8420%
2018-07-22,2.0630,3.8460%
2018-07-20,1.0307,3.8470%
2018-07-19,1.0301,3.8480%
2018-07-18,1.0372,3.8510%
2018-07-17,1.0400,3.8480%
2018-07-16,1.0363,3.8480%
2018-07-15,2.0655,3.8530%
2018-07-13,1.0327,3.8710%
2018-07-12,1.0352,3.8810%
2018-07-11,1.0321,3.9100%
2018-07-10,1.0406,3.9520%
2018-07-09,1.0446,3.9930%
2018-07-08,2.0992,4.0480%
2017-11-28,1.1262,4.1960%
2017-11-27,1.1250,4.1900%
2017-11-26,2.2563,4.1850%
2017-11-24,1.1228,4.1770%
2017-11-23,1.1275,4.1760%
2017-11-22,1.1263,4.1710%
2017-11-21,1.1152,4.1390%
2017-11-20,1.1154,4.1330%
2017-11-19,2.2418,4.1260%
2017-11-17,1.1210,4.1020%
2017-11-16,1.1177,4.0900%
2017-11-15,1.0671,4.0800%
2017-11-14,1.1050,4.0970%
2017-11-13,1.1011,4.0950%
2017-11-12,2.1975,4.0980%
2017-11-10,1.0988,4.0970%
2017-11-09,1.0994,4.0980%
2017-11-08,1.0993,4.1030%
2017-11-07,1.1006,4.1100%
2017-11-06,1.1071,4.1160%
2017-04-01,1.1952,4.3140%
2017-03-31,1.2017,4.2560%
2017-03-30,1.1739,4.1940%
2017-03-29,1.1702,4.1420%
2017-03-28,1.1716,4.0910%
2017-03-27,1.1004,4.0180%
2017-03-26,1.0878,3.9880%
2017-03-25,1.0879,3.9650%
2017-03-24,1.0880,3.9420%
2017-03-23,1.0779,3.9210%
2017-03-22,1.0768,3.8780%
2017-03-21,1.0361,3.8330%
2017-03-20,1.0464,3.8120%
2017-03-19,1.0452,3.7850%
2017-03-18,1.0453,3.7550%
2017-03-17,1.0493,3.7240%
2017-03-16,0.9971,3.7150%
2017-03-15,0.9946,3.7120%
2017-03-14,0.9973,3.6730%
2017-03-13,0.9973,3.6440%
2019-11-14,0.8228,2.5450%
2019-11-13,0.5729,2.4790%
2019-11-12,0.8219,2.5200%
2019-11-11,0.7030,2.3960%
2019-11-10,1.1662,2.4140%
2019-11-08,0.7331,2.4110%
2019-11-07,0.6999,2.3290%
2019-11-06,0.6484,2.3320%
2019-11-05,0.5910,2.2900%
2019-11-04,0.7362,2.3460%
2019-11-03,1.1598,2.3520%
2019-11-01,0.5793,2.3380%
2019-10-31,0.7058,2.3510%
2019-10-30,0.5712,2.3360%
2019-10-29,0.6946,2.3820%
2019-10-28,0.7479,2.7700%
2019-10-27,1.1338,2.7910%
2019-10-25,0.6032,2.7990%
2019-10-24,0.6780,2.8080%
2019-10-23,0.6579,2.8070%
2019-03-13,0.7178,2.6910%
2019-03-12,0.7223,2.6990%
2019-03-11,0.7372,2.7080%
2019-03-10,1.4611,2.7190%
2019-03-08,0.7334,2.7190%
2019-03-07,0.7205,2.7380%
2019-03-06,0.7326,2.7610%
2019-03-05,0.7401,2.7790%
2019-03-04,0.7569,2.8500%
2019-03-03,1.4611,2.8440%
2019-03-01,0.7689,2.8600%
2019-02-28,0.7631,2.8440%
2019-02-27,0.7666,2.8440%
2019-02-26,0.8728,2.8390%
2019-02-25,0.7457,2.7830%
2019-02-24,1.4910,2.7970%
2019-02-22,0.7387,2.8410%
2019-02-21,0.7629,2.8650%
2019-02-20,0.7581,2.8790%
2019-02-19,0.7674,2.8980%
2018-07-06,1.0515,4.1360%
2018-07-05,1.0884,4.1610%
2018-07-04,1.1087,4.2140%
2018-07-03,1.1164,4.2230%
2018-07-02,1.1470,4.2170%
2018-07-01,1.1286,4.1910%
2018-06-30,1.1320,4.1710%
2018-06-29,1.0986,4.1490%
2018-06-28,1.1847,4.1460%
2018-06-27,1.1253,4.1060%
2018-06-26,1.1056,4.0930%
2018-06-25,1.0989,4.0900%
2018-06-24,2.1841,4.0970%
2018-06-22,1.0930,4.1210%
2018-06-21,1.1102,4.1350%
2018-06-20,1.1022,4.1390%
2018-06-19,1.0990,4.1530%
2018-06-18,3.3405,4.1610%
2018-06-15,1.1190,4.1670%
2018-06-14,1.1184,4.1660%
2017-11-05,2.1959,4.1230%
2017-11-03,1.1010,4.1450%
2017-11-02,1.1081,4.1540%
2017-11-01,1.1118,4.1490%
2017-10-31,1.1130,4.1840%
2017-10-30,1.1189,4.1790%
2017-10-29,2.2363,4.1680%
2017-10-27,1.1179,4.1510%
2017-10-26,1.0996,4.1440%
2017-10-25,1.1747,4.1680%
2017-10-24,1.1045,4.1300%
2017-10-23,1.0981,4.1310%
2017-10-22,2.2065,4.1450%
2017-10-20,1.1033,4.1620%
2017-10-19,1.1444,4.1760%
2017-10-18,1.1050,4.1790%
2017-10-17,1.1060,4.1850%
2017-10-16,1.1236,4.2090%
2017-10-15,2.2386,4.2380%
2017-10-13,1.1288,4.2990%
2017-03-12,0.9885,3.6130%
2017-03-11,0.9886,3.5660%
2017-03-10,1.0333,3.5200%
2017-03-09,0.9913,3.4790%
2017-03-08,0.9225,3.4600%
2017-03-07,0.9430,3.4790%
2017-03-06,0.9393,3.4700%
2017-03-05,0.9024,3.5260%
2017-03-04,0.9024,3.6070%
2017-03-03,0.9587,3.6880%
2017-03-02,0.9562,3.7340%
2017-03-01,0.9576,3.7800%
2017-02-28,0.9258,3.8150%
2017-02-27,1.0423,3.8840%
2017-02-26,1.0528,3.6530%
2017-02-25,1.0529,3.3780%
2017-02-24,1.0426,3.1030%
2017-02-23,1.0427,2.9910%
2017-02-22,1.0219,2.9130%
2017-02-21,1.0533,2.8520%
2019-10-22,1.4197,2.9500%
2019-10-21,0.7874,2.5140%
2019-10-20,1.1491,2.7400%
2019-10-18,0.6192,2.9140%
2019-10-17,0.6768,2.9560%
2019-10-16,0.9241,2.9370%
2019-10-15,0.6050,2.9380%
2019-10-14,1.2100,2.9280%
2019-10-13,1.4736,2.5890%
2019-10-11,0.6983,2.4180%
2019-10-10,0.6411,2.3530%
2019-10-09,0.9259,2.3190%
2019-10-08,0.5864,2.1330%
2019-10-07,4.0385,2.1280%
2019-09-30,0.5829,2.2730%
2019-09-29,1.2212,2.5310%
2019-09-27,0.6313,2.4690%
2019-09-26,0.6033,2.5140%
2019-09-25,0.6425,2.5920%
2019-09-24,0.6302,2.5990%
2019-02-18,0.7733,2.9070%
2019-02-17,1.5730,2.9200%
2019-02-15,0.7833,2.9360%
2019-02-14,0.7890,2.9450%
2019-02-13,0.7928,2.9510%
2019-02-12,0.7851,2.9560%
2019-02-11,0.7975,2.9640%
2019-02-10,7.2080,2.9660%
2019-02-01,0.8012,2.9780%
2019-01-31,0.8010,2.9720%
2019-01-30,0.8164,2.9660%
2019-01-29,0.8047,2.9500%
2019-01-28,0.8280,2.9430%
2019-01-27,1.5768,2.9220%
2019-01-25,0.7895,2.9160%
2019-01-24,0.7909,2.9130%
2019-01-23,0.7863,2.9050%
2019-01-22,0.7913,2.8970%
2019-01-21,0.7889,2.8830%
2019-01-20,1.5662,2.8730%
2018-06-13,1.1264,4.1670%
2018-06-12,1.1151,4.1630%
2018-06-11,1.1189,4.1570%
2018-06-10,2.2323,4.1520%
2018-06-08,1.1162,4.1450%
2018-06-07,1.1205,4.1410%
2018-06-06,1.1204,4.1190%
2018-06-05,1.1040,4.1050%
2018-06-04,1.1096,4.1010%
2018-06-03,2.2181,4.0970%
2018-06-01,1.1093,4.0790%
2018-05-31,1.0805,4.0830%
2018-05-30,1.0935,4.0940%
2018-05-29,1.0980,4.1030%
2018-05-28,1.1009,4.1070%
2018-05-27,2.1849,4.0990%
2018-05-25,1.1180,4.0900%
2018-05-24,1.1009,4.0720%
2018-05-23,1.1090,4.0610%
2018-05-22,1.1054,4.0430%
2017-10-12,1.1497,4.3250%
2017-10-11,1.1172,4.3400%
2017-10-10,1.1501,4.3720%
2017-10-09,1.1755,4.3860%
2017-10-08,10.5884,4.3870%
2017-09-29,1.1789,4.2970%
2017-09-28,1.2069,4.2690%
2017-09-27,1.1795,4.2250%
2017-09-26,1.1477,4.1980%
2017-09-25,1.1334,4.1840%
2017-09-24,2.2228,4.1790%
2017-09-22,1.1272,4.1690%
2017-09-21,1.1263,4.1700%
2017-09-20,1.1287,4.1790%
2017-09-19,1.1221,4.1870%
2017-09-18,1.1247,4.2080%
2017-09-17,2.2040,4.2240%
2017-09-15,1.1294,4.2830%
2017-09-14,1.1424,4.3050%
2017-09-13,1.1445,4.3130%
2017-02-20,0.6154,2.6730%
2017-02-19,0.5424,2.6790%
2017-02-18,0.5424,2.8970%
2017-02-17,0.8345,3.1160%
2017-02-16,0.8972,3.1780%
