净值日期,每万份收益,7日年化收益率（%）
2019-12-08,1.2860,2.7740%
2019-12-06,0.9599,2.7760%
2019-12-05,0.7997,2.6100%
2019-12-04,0.7163,2.7110%
2019-12-03,0.7692,2.6790%
2019-12-02,0.7159,2.6680%
2019-12-01,1.2904,2.7090%
2019-11-29,0.6491,2.7260%
2019-11-28,0.9894,2.7360%
2019-11-27,0.6556,2.6130%
2019-11-26,0.7494,2.7570%
2019-11-25,0.7931,3.2390%
2019-11-24,1.3223,3.8050%
2019-11-22,0.6676,3.7920%
2019-11-21,0.7583,3.9230%
2019-11-20,0.9251,3.9920%
2019-11-19,1.6477,3.8370%
2019-11-18,1.8422,3.4260%
2019-11-17,1.2983,2.8490%
2019-11-15,0.9087,2.8490%
2019-04-07,2.1161,2.7120%
2019-04-04,0.7298,2.8050%
2019-04-03,0.7569,2.8360%
2019-04-02,0.7641,2.8410%
2019-04-01,0.7650,2.8600%
2019-03-31,1.5184,2.8630%
2019-03-29,0.7713,2.8770%
2019-03-28,0.7871,2.8780%
2019-03-27,0.7661,2.8710%
2019-03-26,0.7997,2.8750%
2019-03-25,0.7707,2.8640%
2019-03-24,1.5454,2.8690%
2019-03-22,0.7728,2.8740%
2019-03-21,0.7732,2.8770%
2019-03-20,0.7748,2.8780%
2019-03-19,0.7785,2.8830%
2019-03-18,0.7801,2.8880%
2019-03-17,1.5551,2.8910%
2019-03-15,0.7783,2.9110%
2019-03-14,0.7747,2.9220%
2018-07-30,1.1072,4.1110%
2018-07-29,2.2057,4.1040%
2018-07-27,1.1029,4.0980%
2018-07-26,1.1200,4.0940%
2018-07-25,1.0986,4.0810%
2018-07-24,1.0916,4.0840%
2018-07-23,1.0946,4.0910%
2018-07-22,2.1945,4.0950%
2018-07-20,1.0969,4.0970%
2018-07-19,1.0960,4.0980%
2018-07-18,1.1030,4.1000%
2018-07-17,1.1055,4.1020%
2018-07-16,1.1021,4.0990%
2018-07-15,2.1970,4.1040%
2018-07-13,1.0984,4.1220%
2018-07-12,1.1010,4.1320%
2018-07-11,1.1058,4.1610%
2018-07-10,1.1006,4.1990%
2018-07-09,1.1104,4.2480%
2018-07-08,2.2307,4.3040%
2017-11-28,1.1911,4.4460%
2017-11-27,1.1907,4.4410%
2017-11-26,2.3878,4.4380%
2017-11-24,1.1932,4.4300%
2017-11-23,1.1932,4.4270%
2017-11-22,1.1875,4.4210%
2017-11-21,1.1812,4.4100%
2017-11-20,1.1853,4.4050%
2017-11-19,2.3734,4.3950%
2017-11-17,1.1867,4.3710%
2017-11-16,1.1832,4.3590%
2017-11-15,1.1680,4.3490%
2017-11-14,1.1711,4.3490%
2017-11-13,1.1664,4.3460%
2017-11-12,2.3290,4.3500%
2017-11-10,1.1645,4.3490%
2017-11-09,1.1652,4.3490%
2017-11-08,1.1676,4.3560%
2017-11-07,1.1665,4.3630%
2017-11-06,1.1729,4.3690%
2017-04-01,1.2618,4.5670%
2017-03-31,1.2685,4.5090%
2017-03-30,1.2397,4.4460%
2017-03-29,1.2366,4.3940%
2017-03-28,1.2378,4.3430%
2017-03-27,1.1669,4.2690%
2017-03-26,1.1543,4.2390%
2017-03-25,1.1544,4.2160%
2017-03-24,1.1539,4.1930%
2017-03-23,1.1436,4.1720%
2017-03-22,1.1426,4.1280%
2017-03-21,1.1019,4.0840%
2017-03-20,1.1121,4.0630%
2017-03-19,1.1117,4.0360%
2017-03-18,1.1118,4.0050%
2017-03-17,1.1156,3.9740%
2017-03-16,1.0630,3.9670%
2017-03-15,1.0608,3.9630%
2017-03-14,1.0636,3.9250%
2017-03-13,1.0629,3.8950%
2019-11-14,0.8859,2.7900%
2019-11-13,0.6387,2.7250%
2019-11-12,0.8875,2.7660%
2019-11-11,0.7687,2.6420%
