净值日期,每万份收益,7日年化收益率（%）
2019-12-08,1.1817,2.6080%
2019-12-06,0.9586,2.6210%
2019-12-05,0.5729,2.4210%
2019-12-04,0.6015,2.4340%
2019-12-03,0.5843,2.4300%
2019-12-02,1.0385,3.4370%
2019-12-01,1.2061,3.1700%
2019-11-29,0.5848,3.1040%
2019-11-28,0.5969,3.2160%
2019-11-27,0.5942,3.2180%
2019-11-26,2.4616,3.6170%
2019-11-25,0.5416,3.1390%
2019-11-24,1.0839,3.4850%
2019-11-22,0.7932,3.4090%
2019-11-21,0.5994,3.2560%
2019-11-20,1.3353,3.2070%
2019-11-19,1.5751,2.7570%
2019-11-18,1.1826,2.2780%
2019-11-17,0.9435,2.4730%
2019-11-15,0.5094,2.5140%
2019-04-07,1.6021,2.0580%
2019-04-04,0.5341,2.2040%
2019-04-03,0.5605,2.3120%
2019-04-02,0.5874,2.3580%
2019-04-01,0.6220,2.8150%
2019-03-31,1.2522,3.3540%
2019-03-29,0.6248,3.2680%
2019-03-28,0.7374,3.2270%
2019-03-27,0.6463,3.1330%
2019-03-26,1.4425,3.0700%
2019-03-25,1.6232,2.5830%
2019-03-24,1.0939,2.2500%
2019-03-22,0.5480,2.2420%
2019-03-21,0.5627,2.2370%
2019-03-20,0.5293,2.4650%
2019-03-19,0.5337,2.4820%
2019-03-18,1.0000,3.0040%
2019-03-17,1.0793,2.7590%
2019-03-15,0.5385,2.7670%
2019-03-14,0.9895,2.7720%
2018-07-30,1.0505,4.2670%
2018-07-29,1.5175,4.7170%
2018-07-27,0.7583,4.6980%
2018-07-26,2.0630,4.6930%
2018-07-25,0.7612,3.9780%
2018-07-24,1.8633,3.9740%
2018-07-23,1.8763,4.4680%
2018-07-22,1.4826,4.8880%
2018-07-20,0.7490,4.8970%
2018-07-19,0.7486,5.1640%
2018-07-18,0.7540,5.1690%
2018-07-17,2.7726,5.1610%
2018-07-16,2.6467,5.7100%
2018-07-15,1.4995,4.9490%
2018-07-13,1.2365,4.8960%
2018-07-12,0.7570,4.6030%
2018-07-11,0.7402,5.0850%
2018-07-10,3.7700,5.0430%
2018-07-09,1.2616,3.5120%
2018-07-08,1.4024,4.8300%
2017-11-28,1.2175,4.1280%
2017-11-27,1.1774,3.9560%
2017-11-26,2.3708,3.9270%
2017-11-24,1.1852,3.8510%
2017-11-23,0.6606,3.9140%
2017-11-22,1.1465,4.1500%
2017-11-21,0.9002,4.1210%
2017-11-20,1.1234,4.2390%
2017-11-19,2.2306,4.2360%
2017-11-17,1.3021,4.2250%
2017-11-16,1.0953,4.1180%
2017-11-15,1.0944,4.1250%
2017-11-14,1.1164,4.1350%
2017-11-13,1.1179,4.1370%
2017-11-12,2.2102,4.1470%
2017-11-10,1.1054,4.1780%
2017-11-09,1.1087,4.1930%
2017-11-08,1.1124,4.5290%
2017-11-07,1.1201,4.5390%
2017-11-06,1.1354,4.5570%
2017-04-01,1.0513,3.9100%
2017-03-31,1.0513,3.9100%
2017-03-30,1.0512,3.9090%
2017-03-29,1.0505,3.9080%
2017-03-28,1.0499,3.9110%
2017-03-27,1.0523,3.9120%
2017-03-26,1.0497,3.9110%
2017-03-25,1.0504,3.9110%
2017-03-24,1.0501,3.9110%
2017-03-23,1.0501,3.9110%
2017-03-22,1.0557,3.9110%
2017-03-21,1.0506,3.9070%
2017-03-20,1.0506,3.9060%
2017-03-19,1.0502,3.9010%
2017-03-18,1.0502,3.8980%
2017-03-17,1.0502,3.8950%
2017-03-16,1.0500,3.8920%
2017-03-15,1.0497,3.8900%
2017-03-14,1.0475,3.8830%
2017-03-13,1.0410,3.8830%
2016-09-13,0.7302,2.6940%
2016-09-12,0.7279,2.6930%
2016-09-11,0.7278,2.6930%
2016-09-10,0.7278,2.6980%
2016-09-09,0.7278,2.7020%
2016-09-08,0.7279,2.7070%
2016-09-07,0.7283,2.7090%
2016-09-06,0.7294,2.7130%
2016-09-05,0.7279,2.7160%
2016-09-04,0.7362,2.7210%
2016-09-03,0.7362,2.7210%
2016-09-02,0.7361,2.7210%
2016-09-01,0.7332,2.9210%
2016-08-31,0.7346,2.9230%
2016-08-30,0.7353,2.9240%
2016-08-29,0.7373,2.9250%
2016-08-28,0.7364,2.9470%
2016-08-27,0.7364,2.9440%
2016-08-26,1.1084,2.9370%
2016-08-25,0.7371,3.0950%
2016-02-26,0.7743,2.7910%
2016-02-25,1.2710,2.7280%
2016-02-24,0.6636,2.4000%
2016-02-23,0.6518,2.3960%
2016-02-22,0.6386,2.3820%
2016-02-21,0.6397,2.3880%
2016-02-20,0.6398,2.3950%
2016-02-19,0.6577,2.4020%
2016-02-18,0.6565,2.3990%
2016-02-17,0.6560,2.3970%
2016-02-16,0.6271,2.3950%
2016-02-15,0.6491,2.4090%
2016-02-14,0.6526,2.4110%
2016-02-13,0.6527,2.4110%
2016-02-12,0.6527,2.4110%
2016-02-11,0.6527,2.4120%
2016-02-10,0.6528,2.4120%
2016-02-09,0.6528,2.4050%
2016-02-08,0.6529,2.3890%
2016-02-07,0.6529,2.3730%
2019-11-14,0.5077,2.5140%
2019-11-13,0.4972,2.6930%
2019-11-12,0.6787,2.6980%
2019-11-11,1.5490,2.6180%
2019-11-10,1.0203,2.8130%
2019-11-08,0.5099,2.8420%
2019-11-07,0.8424,2.8570%
2019-11-06,0.5051,2.6880%
2019-11-05,0.5293,2.6970%
2019-11-04,1.9137,3.8870%
2019-11-03,1.0745,3.1030%
2019-11-01,0.5373,3.0210%
2019-10-31,0.5279,2.9780%
2019-10-30,0.5208,2.9410%
2019-10-29,2.7394,2.8960%
2019-10-28,0.4613,2.4450%
2019-10-27,0.9208,2.4220%
2019-10-25,0.4586,2.3930%
2019-10-24,0.4576,2.3770%
2019-10-23,0.4380,2.3710%
2019-03-13,0.5609,2.6210%
2019-03-12,1.5078,2.8630%
2019-03-11,0.5445,2.3340%
2019-03-10,1.0941,3.0100%
2019-03-08,0.5468,2.9370%
2019-03-07,0.7080,2.9420%
2019-03-06,1.0118,3.1390%
2019-03-05,0.5206,2.8830%
2019-03-04,1.8066,3.0650%
2019-03-03,0.9585,2.3740%
2019-03-01,0.5558,2.4170%
2019-02-28,1.0748,2.3980%
2019-02-27,0.5349,2.1100%
2019-02-26,0.8589,2.4750%
2019-02-25,0.5162,2.5040%
2019-02-24,1.0407,2.5320%
2019-02-22,0.5191,2.5760%
2019-02-21,0.5346,2.6200%
2019-02-20,1.2189,2.6470%
2019-02-19,0.9140,2.4590%
2018-07-06,0.7003,4.9140%
2018-07-05,1.6385,4.9560%
2018-07-04,0.6629,4.3730%
2018-07-03,0.9543,4.8800%
2018-07-02,3.6892,5.3900%
2018-07-01,0.7778,3.9110%
2018-06-30,0.7779,3.8640%
2018-06-29,0.7771,3.8180%
2018-06-28,0.5693,4.1910%
2018-06-27,1.5923,4.4820%
2018-06-26,1.8861,4.1390%
2018-06-25,0.9774,4.0290%
2018-06-24,1.3850,3.9560%
2018-06-22,1.4642,4.1320%
2018-06-21,1.1041,3.9480%
2018-06-20,0.9625,3.8140%
2018-06-19,1.6822,3.7810%
2018-06-18,2.5531,3.3380%
2018-06-15,1.1252,4.2640%
2018-06-14,0.8554,4.1350%
2017-11-05,2.2681,4.5490%
2017-11-03,1.1339,4.4970%
2017-11-02,1.7261,4.4710%
2017-11-01,1.1302,4.1270%
2017-10-31,1.1530,4.1050%
2017-10-30,1.1209,4.0710%
2017-10-29,2.1730,4.0490%
2017-10-27,1.0865,4.0390%
2017-10-26,1.0922,4.0330%
2017-10-25,1.0908,4.0330%
2017-10-24,1.0896,4.0420%
2017-10-23,1.0812,4.0490%
2017-10-22,2.1532,4.0630%
2017-10-20,1.0761,4.0870%
2017-10-19,1.0918,4.0990%
2017-10-18,1.1071,4.2770%
2017-10-17,1.1039,4.2770%
2017-10-16,1.1055,4.2760%
2017-10-15,2.1983,4.2830%
2017-10-13,1.0990,4.2940%
2017-03-12,1.0451,3.8890%
2017-03-11,1.0451,3.8920%
2017-03-10,1.0451,3.8950%
2017-03-09,1.0450,3.8980%
2017-03-08,1.0381,3.8970%
2017-03-07,1.0472,3.8960%
2017-03-06,1.0510,3.8910%
2017-03-05,1.0510,3.9670%
2017-03-04,1.0511,3.9510%
2017-03-03,1.0509,3.8910%
2017-03-02,1.0422,3.8810%
2017-03-01,1.0376,3.8720%
2017-02-28,1.0375,3.8590%
2017-02-27,1.1913,3.8470%
2017-02-26,1.0220,3.7510%
2017-02-25,0.9401,3.7470%
2017-02-24,1.0317,3.7880%
2017-02-23,1.0261,3.7780%
2017-02-22,1.0132,3.7590%
2017-02-21,1.0147,3.7520%
2016-08-24,0.7369,3.0930%
2016-08-23,0.7373,3.0870%
2016-08-22,0.7778,3.3300%
2016-08-21,0.7307,3.3000%
2016-08-20,0.7244,3.2950%
2016-08-19,1.4009,3.2950%
2016-08-18,0.7338,2.9300%
2016-08-17,0.7256,2.9280%
2016-08-16,1.1890,2.9300%
2016-08-15,0.7220,2.6840%
2016-08-14,0.7227,2.6830%
2016-08-13,0.7227,2.6820%
2016-08-12,0.7228,2.6810%
2016-08-11,0.7296,2.8400%
2016-08-10,0.7300,2.8510%
2016-08-09,0.7291,2.8440%
2016-08-08,0.7218,2.8490%
2016-08-07,0.7204,2.8520%
2016-08-06,0.7204,2.8600%
2016-08-05,1.0198,2.8670%
2016-02-06,0.6530,2.3720%
2016-02-05,0.6530,2.3720%
2016-02-04,0.6529,2.3710%
2016-02-03,0.6402,2.3700%
2016-02-02,0.6225,2.3700%
2016-02-01,0.6226,2.6910%
2016-01-31,0.6520,2.7040%
2016-01-30,0.6520,2.7010%
2016-01-29,0.6521,2.6980%
2016-01-28,0.6517,2.6960%
2016-01-27,0.6386,2.6930%
2016-01-26,1.2229,2.6940%
2016-01-25,0.6470,2.3760%
2016-01-24,0.6471,2.3720%
2016-01-23,0.6471,2.3740%
2016-01-22,0.6472,2.3750%
2016-01-21,0.6472,2.3760%
2016-01-20,0.6402,2.3660%
2016-01-19,0.6276,2.3380%
2016-01-18,0.6406,2.3170%
2019-10-22,1.8969,2.3690%
2019-10-21,0.4178,1.5900%
2019-10-20,0.8668,1.6910%
2019-10-18,0.4292,2.6410%
2019-10-17,0.4448,2.6790%
2019-10-16,0.4346,2.8340%
2019-10-15,0.4324,2.8910%
2019-10-14,0.6086,3.1140%
2019-10-13,2.6507,3.0870%
2019-10-11,0.4985,2.2710%
2019-10-10,0.7356,2.3090%
2019-10-09,0.5406,2.2200%
2019-10-08,0.8473,2.2350%
2019-10-07,3.9598,2.0860%
2019-09-30,0.5677,2.5730%
2019-09-29,1.8865,3.3950%
2019-09-27,0.6028,2.9650%
2019-09-26,0.5917,3.7130%
2019-09-25,0.6353,3.6900%
2019-09-24,0.5877,3.6290%
2019-02-18,0.5684,2.5810%
2019-02-17,1.1223,2.5830%
2019-02-15,0.6020,2.5470%
2019-02-14,0.5844,2.5200%
2019-02-13,0.8669,2.5020%
2019-02-12,1.1425,2.3330%
2019-02-11,0.5733,2.0180%
2019-02-10,4.9111,2.0060%
2019-02-01,0.5507,2.5350%
2019-01-31,0.5517,2.5540%
2019-01-30,0.7236,2.5740%
2019-01-29,1.2291,2.7780%
2019-01-28,0.5698,2.4920%
2019-01-27,1.1771,2.5210%
2019-01-25,0.5852,2.5430%
2019-01-24,0.5888,2.5560%
2019-01-23,1.1060,2.5670%
2019-01-22,0.6949,2.6240%
2019-01-21,0.6231,2.5750%
2019-01-20,1.2189,2.5740%
2018-06-13,0.9022,4.3530%
2018-06-12,0.8620,4.3570%
2018-06-11,2.4853,4.3830%
2018-06-10,1.7776,3.5540%
2018-06-08,0.8887,3.6140%
2018-06-07,1.2573,3.6450%
2018-06-06,0.9085,3.7340%
2018-06-05,0.9108,3.7500%
2018-06-04,0.9551,3.7620%
2018-06-03,1.8894,3.8750%
2018-06-01,0.9448,3.8310%
2018-05-31,1.4223,3.8850%
2018-05-30,0.9390,3.6040%
2018-05-29,0.9325,3.5880%
2018-05-28,1.1637,3.5750%
2018-05-27,1.8082,3.6320%
2018-05-25,1.0442,3.6780%
2018-05-24,0.9023,3.6570%
2018-05-23,0.9102,3.6780%
2018-05-22,0.9082,3.6820%
2017-10-12,1.4189,4.2990%
2017-10-11,1.1072,4.1310%
2017-10-10,1.1023,4.1320%
2017-10-09,1.1172,4.1360%
2017-10-08,9.9830,4.1310%
2017-09-29,1.1092,4.0970%
2017-09-28,1.0948,4.0890%
2017-09-27,1.1093,4.0630%
2017-09-26,1.1023,4.0550%
2017-09-25,1.0957,4.0530%
2017-09-24,2.1899,4.0480%
2017-09-22,1.0948,4.0230%
2017-09-21,1.0457,5.0080%
2017-09-20,1.0959,5.0310%
2017-09-19,1.0972,5.0260%
2017-09-18,1.0878,5.0200%
2017-09-17,2.1435,5.0170%
2017-09-15,2.9032,5.0050%
2017-09-14,1.0877,4.5860%
2017-09-13,1.0857,4.5880%
2017-02-20,1.0148,4.0410%
2017-02-19,1.0148,4.0860%
2017-02-18,1.0148,4.0320%
2017-02-17,1.0144,3.9780%
2017-02-16,0.9909,4.1550%
2017-02-15,0.9998,4.5870%
2017-02-14,1.5477,4.7940%
2017-02-13,1.0985,4.5170%
2017-02-12,0.9147,4.4880%
2017-02-11,0.9147,4.5470%
2017-02-10,1.3419,5.2630%
2017-02-09,1.7851,5.0960%
2017-02-08,1.3781,4.6870%
2017-02-07,1.0403,4.5010%
2017-02-06,1.0444,4.4990%
2017-02-05,1.0230,4.4950%
2017-02-04,2.2242,4.5030%
2017-02-03,1.0372,3.8580%
2017-02-02,1.0371,3.8580%
2017-02-01,1.0372,3.9110%
2016-08-04,0.7492,2.7140%
2016-08-03,0.7177,2.7050%
2016-08-02,0.7375,2.7130%
2016-08-01,0.7283,2.9010%
2016-07-31,0.7345,2.9150%
2016-07-30,0.7345,2.9140%
2016-07-29,0.7343,2.9130%
2016-07-28,0.7330,2.9120%
2016-07-27,0.7321,2.9120%
2016-07-26,1.0872,2.9850%
2016-07-25,0.7553,2.7950%
2016-07-24,0.7327,2.7810%
2016-07-23,0.7327,2.7780%
2016-07-22,0.7327,2.7750%
2016-07-21,0.7327,2.7710%
2016-07-20,0.8686,2.7920%
2016-07-19,0.7325,2.7170%
2016-07-18,0.7297,2.9860%
2016-07-17,0.7263,2.9860%
2016-07-16,0.7263,2.9880%
2016-01-17,0.6495,2.3040%
2016-01-16,0.6496,2.2980%
2016-01-15,0.6496,2.2910%
2016-01-14,0.6284,2.2820%
2016-01-13,0.5874,2.2970%
2016-01-12,0.5874,2.3330%
2016-01-11,0.6169,2.3810%
2016-01-10,0.6376,2.4170%
2016-01-09,0.6377,2.4540%
2016-01-08,0.6329,2.4910%
2016-01-07,0.6555,2.5300%
2016-01-06,0.6553,2.5570%
2016-01-05,0.6770,2.5840%
2016-01-04,0.6849,2.5990%
2016-01-03,0.7062,2.6800%
2016-01-02,0.7062,2.6800%
2016-01-01,0.7063,2.6750%
2015-12-31,0.7060,2.6760%
2015-12-30,0.7061,2.6770%
2015-12-29,0.7061,2.6820%
2019-09-23,2.0989,3.5850%
2019-09-22,1.0880,2.7240%
2019-09-20,1.9908,2.6890%
2019-09-19,0.5483,1.9000%
2019-09-18,0.5241,1.8790%
2019-09-17,0.5047,1.8720%
2019-09-16,0.4983,1.8680%
2019-09-15,1.5348,2.3730%
2019-09-12,0.5087,2.3760%
2019-09-11,0.5096,2.3910%
2019-09-10,0.4988,2.4000%
2019-09-09,1.4460,2.4200%
2019-09-08,1.0255,1.9440%
2019-09-06,0.5142,1.9960%
2019-09-05,0.5382,2.8730%
2019-09-04,0.5249,2.8690%
2019-09-03,0.5366,2.8680%
