净值日期,每万份收益,7日年化收益率（%）
2019-12-08,1.0228,2.5950%
2019-12-06,0.9707,2.5770%
2019-12-05,0.4559,2.6390%
2019-12-04,0.5422,2.6710%
2019-12-03,0.6548,2.6830%
2019-12-02,1.2665,2.9520%
2019-12-01,0.9897,2.7850%
2019-11-29,1.0857,2.7570%
2019-11-28,0.5173,2.9040%
2019-11-27,0.5633,2.9710%
2019-11-26,1.1563,3.0040%
2019-11-25,0.9566,2.6820%
2019-11-24,0.9366,2.9640%
2019-11-22,1.3599,3.0430%
2019-11-21,0.6416,2.7800%
2019-11-20,0.6252,2.7770%
2019-11-19,0.5568,2.8260%
2019-11-18,1.4818,2.9900%
2019-11-17,1.0847,2.5240%
2019-11-15,0.8693,2.5450%
2019-04-07,2.1272,2.7410%
2019-04-04,0.7478,2.7850%
2019-04-03,0.7268,2.7960%
2019-04-02,0.8396,2.8180%
2019-04-01,0.7445,2.7740%
2019-03-31,1.4747,2.8750%
2019-03-29,0.7347,2.8960%
2019-03-28,0.7686,2.9070%
2019-03-27,0.7675,2.9060%
2019-03-26,0.7581,3.0040%
2019-03-25,0.9327,3.0000%
2019-03-24,1.5129,2.9800%
2019-03-22,0.7564,2.9350%
2019-03-21,0.7658,2.9130%
2019-03-20,0.9513,2.9870%
2019-03-19,0.7505,2.8590%
2019-03-18,0.8951,2.8370%
2019-03-17,1.4298,2.8810%
2019-03-15,0.7153,2.8890%
2019-03-14,0.9033,2.9260%
2018-07-30,1.2264,4.3710%
2018-07-29,2.2112,4.4150%
2018-07-27,1.1058,4.4090%
2018-07-26,1.2333,4.4200%
2018-07-25,1.1693,4.4020%
2018-07-24,1.2592,4.3650%
2018-07-23,1.3078,4.2680%
2018-07-22,2.2000,4.1490%
2018-07-20,1.1250,4.1270%
2018-07-19,1.2009,4.1050%
2018-07-18,1.1016,4.0410%
2018-07-17,1.0797,4.0480%
2018-07-16,1.0893,4.0580%
2018-07-15,2.1598,4.0690%
2018-07-13,1.0844,4.1040%
2018-07-12,1.0835,4.1200%
2018-07-11,1.1141,4.2040%
2018-07-10,1.0977,4.2620%
2018-07-09,1.1105,4.3220%
2018-07-08,2.2245,4.3820%
2017-11-28,1.1716,4.3710%
2017-11-27,1.1752,4.3700%
2017-11-26,2.3423,4.3550%
2017-11-24,1.1713,4.3300%
2017-11-23,1.1845,4.3180%
2017-11-22,1.1602,4.2950%
2017-11-21,1.1703,4.2810%
2017-11-20,1.1473,4.3010%
2017-11-19,2.2964,4.3130%
2017-11-17,1.1488,4.3020%
2017-11-16,1.1425,4.2960%
2017-11-15,1.1340,4.2930%
2017-11-14,1.2083,4.2950%
2017-11-13,1.1689,4.2610%
2017-11-12,2.2754,4.2650%
2017-11-10,1.1377,4.3140%
2017-11-09,1.1368,4.3390%
2017-11-08,1.1383,4.3610%
2017-11-07,1.1458,4.3840%
2017-11-06,1.1771,4.3860%
2019-11-14,0.6353,2.7200%
2019-11-13,0.7173,2.6880%
2019-11-12,0.8624,2.6070%
2019-11-11,0.6116,2.4940%
2019-11-10,1.1247,2.5640%
2019-11-08,1.1963,2.5510%
2019-11-07,0.5749,2.6350%
2019-11-06,0.5659,2.6900%
2019-11-05,0.6506,2.6160%
2019-11-04,0.7421,2.7050%
2019-11-03,1.1010,2.5340%
2019-11-01,1.3542,2.5210%
2019-10-31,0.6778,2.6370%
2019-10-30,0.4263,2.6210%
2019-10-29,0.8170,2.6090%
2019-10-28,0.4239,2.7050%
2019-10-27,1.0759,2.9490%
2019-10-25,1.5704,3.0320%
2019-10-24,0.6493,2.6120%
2019-10-23,0.4021,2.6170%
2019-03-13,0.7120,2.8330%
2019-03-12,0.7106,2.8720%
2019-03-11,0.9756,2.8900%
2019-03-10,1.4449,3.0040%
2019-03-08,0.7851,3.0420%
2019-03-07,0.7302,3.0580%
2019-03-06,0.7839,3.1030%
2019-03-05,0.7450,3.1120%
2019-03-04,1.1880,3.2400%
2019-03-03,1.5147,3.0790%
2019-03-01,0.8159,3.0730%
2019-02-28,0.8139,3.0380%
2019-02-27,0.7991,3.0070%
2019-02-26,0.9847,3.0200%
2019-02-25,0.8869,3.0570%
2019-02-24,1.5040,3.0780%
2019-02-22,0.7520,3.0990%
2019-02-21,0.7555,3.1440%
2019-02-20,0.8231,3.1510%
2019-02-19,1.0537,3.1470%
2018-07-06,1.1129,4.4550%
2018-07-05,1.2385,4.4920%
2018-07-04,1.2210,4.5670%
2018-07-03,1.2084,4.5570%
2018-07-02,1.2192,4.5170%
2018-07-01,1.1795,4.5080%
2018-06-30,1.1797,4.4700%
2018-06-29,1.1814,4.4340%
2018-06-28,1.3754,4.4030%
2018-06-27,1.2022,4.2890%
2018-06-26,1.1363,4.2970%
2018-06-25,1.2019,4.3160%
2018-06-24,2.2229,4.3090%
2018-06-22,1.1250,4.3950%
2018-06-21,1.1654,4.4320%
2018-06-20,1.2184,4.4450%
2018-06-19,1.1696,4.4310%
2018-06-18,3.5703,4.4490%
2018-06-15,1.1932,4.4320%
2018-06-14,1.1888,4.4230%
2017-11-05,2.3653,4.3800%
2017-11-03,1.1830,4.3570%
2017-11-02,1.1779,4.3450%
2017-11-01,1.1793,4.3330%
2017-10-31,1.1493,4.3230%
2017-10-30,1.1671,4.3300%
2017-10-29,2.3228,4.3310%
2017-10-27,1.1616,4.3510%
2017-10-26,1.1546,4.3610%
2017-10-25,1.1612,4.3680%
2017-10-24,1.1630,4.3800%
2017-10-23,1.1684,4.3930%
2017-10-22,2.3604,4.4010%
2017-10-20,1.1800,4.4010%
2017-10-19,1.1661,4.4050%
2017-10-18,1.1842,4.4240%
2017-10-17,1.1860,4.4300%
2017-10-16,1.1846,4.4360%
2017-10-15,2.3601,4.4260%
2017-10-13,1.1863,4.3830%
2019-10-22,0.9978,2.7760%
2019-10-21,0.8780,2.5880%
2019-10-20,1.2310,2.5320%
2019-10-18,0.7875,2.6410%
2019-10-17,0.6589,2.5900%
2019-10-16,0.6985,2.5690%
2019-10-15,0.6467,2.5370%
2019-10-14,0.7727,2.6930%
2019-10-13,1.4348,2.6450%
2019-10-11,0.6928,2.6090%
2019-10-10,0.6190,2.6050%
2019-10-09,0.6398,2.6390%
2019-10-08,0.9365,2.6630%
2019-10-07,4.7886,2.5280%
2019-09-30,0.6843,2.7050%
2019-09-29,1.4956,2.7990%
2019-09-27,0.6831,2.6550%
2019-09-26,0.7751,2.8570%
2019-09-25,0.6977,2.8510%
2019-09-24,0.7829,2.7700%
2019-02-18,0.9256,3.0270%
2019-02-17,1.5432,3.0510%
2019-02-15,0.8354,3.0720%
2019-02-14,0.7686,3.0480%
2019-02-13,0.8169,3.0600%
2019-02-12,0.8301,3.0460%
2019-02-11,0.9705,3.0250%
2019-02-10,7.1176,2.9280%
2019-02-01,0.7955,3.2210%
2019-01-31,0.8030,3.2170%
2019-01-30,0.8785,3.2770%
2019-01-29,0.9702,3.2580%
2019-01-28,1.0700,3.1670%
2019-01-27,1.5624,3.1200%
2019-01-25,0.7889,3.1310%
2019-01-24,0.9138,3.1820%
2019-01-23,0.8431,3.1230%
2019-01-22,0.8013,3.1120%
2019-01-21,0.9826,3.1250%
2019-01-20,1.5837,3.0780%
2018-06-13,1.1940,4.4070%
2018-06-12,1.2030,4.3980%
2018-06-11,1.1838,4.3950%
2018-06-10,2.3543,4.4950%
2018-06-08,1.1777,4.5020%
2018-06-07,1.1584,4.5070%
2018-06-06,1.1767,4.5100%
2018-06-05,1.1979,4.5550%
2018-06-04,1.3675,4.5740%
2018-06-03,2.3666,4.4820%
2018-06-01,1.1876,4.4320%
2018-05-31,1.1644,4.4040%
2018-05-30,1.2586,4.3810%
2018-05-29,1.2332,4.3170%
2018-05-28,1.1981,4.3220%
2018-05-27,2.2745,4.3280%
2018-05-25,1.1373,4.3450%
2018-05-24,1.1212,4.3530%
2018-05-23,1.1414,4.3910%
2018-05-22,1.2431,4.3980%
2017-10-12,1.2014,4.3580%
2017-10-11,1.1956,4.3250%
2017-10-10,1.1960,4.2950%
2017-10-09,1.1676,4.2650%
2017-10-08,10.2646,4.2500%
2017-09-29,1.1396,4.2990%
2017-09-28,1.1382,4.3210%
2017-09-27,1.1437,4.3660%
2017-09-26,1.1535,4.3760%
2017-09-25,1.1562,4.3730%
2017-09-24,2.3419,4.3780%
2017-09-22,1.1805,4.3360%
2017-09-21,1.2210,4.3530%
2017-09-20,1.1613,4.3490%
2017-09-19,1.1486,4.3650%
2017-09-18,1.1649,4.4170%
2017-09-17,2.2649,4.4290%
2017-09-15,1.2110,4.5340%
2017-09-14,1.2146,4.5390%
2017-09-13,1.1901,4.5420%
2019-09-23,0.8594,2.7820%
2019-09-22,1.2271,2.7110%
2019-09-20,1.0607,2.7300%
2019-09-19,0.7643,2.5000%
2019-09-18,0.5458,2.5330%
2019-09-17,0.8051,2.5820%
2019-09-16,0.7265,2.5400%
2019-09-15,1.8947,2.5680%
2019-09-12,0.8257,2.6340%
2019-09-11,0.6363,2.5210%
2019-09-10,0.7279,2.7310%
2019-09-09,0.7777,2.6980%
2019-09-08,1.1975,2.5580%
2019-09-06,0.8211,2.5640%
2019-09-05,0.6150,2.5800%
2019-09-04,1.0281,2.6340%
2019-09-03,0.6675,2.4840%
2019-09-02,0.5158,2.4750%
2019-09-01,1.2081,2.6440%
2019-08-30,0.8509,2.6570%
2019-01-18,0.8832,3.0860%
2019-01-17,0.8035,3.0410%
2019-01-16,0.8227,3.0410%
2019-01-15,0.8253,3.0340%
2019-01-14,0.8956,3.0390%
2019-01-13,1.5988,3.1020%
2019-01-11,0.7997,3.1950%
2019-01-10,0.8025,3.2420%
2019-01-09,0.8100,3.3040%
2019-01-08,0.8354,3.3490%
2019-01-07,1.0120,3.3640%
2019-01-06,1.7726,3.2840%
2019-01-04,0.8876,3.2600%
2019-01-03,0.9165,3.2470%
2019-01-02,0.8946,3.2450%
2019-01-01,0.8633,3.2450%
2018-12-31,2.5902,3.2800%
2018-12-28,0.8635,3.2740%
2018-12-27,0.9129,3.4050%
2018-12-26,0.8954,3.3540%
2018-05-21,1.2081,4.3550%
2018-05-20,2.3058,4.3260%
2018-05-18,1.1529,4.3300%
2018-05-17,1.1911,4.3690%
2018-05-16,1.1531,4.3520%
2018-05-15,1.1651,4.3620%
2018-05-14,1.1544,4.3890%
2018-05-13,2.3125,4.4010%
2018-05-11,1.2258,4.4190%
2018-05-10,1.1592,4.3910%
2018-05-09,1.1713,4.3980%
2018-05-08,1.2149,4.4190%
2018-05-07,1.1767,4.4190%
2018-05-06,2.3464,4.4400%
2018-05-04,1.1731,4.4860%
2018-05-03,1.1718,4.5080%
2018-05-02,1.2106,4.5380%
2018-05-01,4.8610,4.5420%
2018-04-27,1.2139,4.4980%
2018-04-26,1.2262,4.4640%
2017-09-12,1.2439,4.6450%
2019-08-29,0.7157,2.5420%
2019-08-28,0.7475,2.6040%
2019-08-27,0.6515,2.5550%
2019-08-26,0.8311,2.5570%
2019-08-25,1.2326,2.5350%
2019-08-23,0.6358,2.5560%
2019-08-22,0.8317,2.5560%
2019-08-21,0.6565,2.5870%
2019-08-20,0.6554,2.5830%
2019-08-19,0.7897,2.5850%
2019-08-18,1.2718,2.5460%
2019-08-16,0.6359,2.5320%
2019-08-15,0.8897,2.5510%
2019-08-14,0.6492,2.5070%
2019-08-13,0.6579,2.5050%
2019-08-12,0.7182,2.4980%
2019-08-11,1.2448,2.5210%
2019-08-09,0.6705,2.5260%
2019-08-08,0.8090,2.5040%
2019-08-07,0.6442,2.5130%
2018-12-25,0.9280,3.3230%
2018-12-24,0.8888,3.2780%
2018-12-23,1.6907,3.3370%
2018-12-21,1.1060,3.2510%
2018-12-20,0.8178,3.1220%
2018-12-19,0.8377,3.1420%
2018-12-18,0.8443,3.1110%
2018-12-17,0.9990,3.0790%
2018-12-16,1.5302,3.1860%
2018-12-14,0.8662,3.2310%
2018-12-13,0.8566,3.2010%
2018-12-12,0.7787,3.1720%
2018-12-11,0.7857,3.1930%
2018-12-10,1.1978,3.1970%
2018-12-09,1.6141,3.1250%
2018-12-07,0.8098,3.0890%
2018-12-06,0.8031,3.0750%
2018-12-05,0.8168,3.0680%
2018-12-04,0.7948,3.0800%
2018-12-03,1.0625,3.0780%
2018-04-25,1.2187,4.4220%
2018-04-24,1.2000,4.3980%
2018-04-23,1.2894,4.3840%
2018-04-22,2.2910,4.3190%
2018-04-20,1.1512,4.3470%
2018-04-19,1.1489,4.3590%
2018-04-18,1.1742,4.3670%
2018-04-17,1.1741,4.3630%
2018-04-16,1.1707,4.3610%
2018-04-15,2.3425,4.3730%
2018-04-13,1.1719,4.4290%
2018-04-12,1.1650,4.4560%
2018-04-11,1.1658,4.4880%
2018-04-10,1.1702,4.5220%
2018-04-09,1.1931,4.5580%
2018-04-08,4.8902,4.5990%
2018-04-04,1.2298,4.6240%
2018-04-03,1.2354,4.6210%
2018-04-02,1.2679,4.6100%
2018-04-01,2.4551,4.5720%
2019-08-06,0.6450,2.5100%
2019-08-05,0.7622,2.5390%
2019-08-04,1.2540,2.5210%
2019-08-02,0.6283,2.5260%
2019-08-01,0.8266,2.5430%
2019-07-31,0.6378,2.5470%
2019-07-30,0.6996,2.5450%
2019-07-29,0.7294,2.5140%
2019-07-28,1.2634,2.4920%
2019-07-26,0.6599,2.5050%
2019-07-25,0.8337,2.5030%
2019-07-24,0.6339,2.5190%
2019-07-23,0.6407,2.5180%
2019-07-22,0.6899,2.5210%
2019-07-21,1.2864,2.5590%
2019-07-19,0.6569,2.5280%
2019-07-18,0.8626,2.5100%
2019-07-17,0.6335,2.4900%
2019-07-16,0.6465,2.4980%
2019-07-15,0.7607,2.5120%
2018-12-02,1.5474,3.0980%
2018-11-30,0.7848,3.1190%
2018-11-29,0.7901,3.1280%
2018-11-28,0.8385,3.1280%
2018-11-27,0.7902,3.1080%
2018-11-26,1.1012,3.0980%
2018-11-25,1.5867,3.0400%
2018-11-23,0.8007,3.0200%
2018-11-22,0.7897,3.0160%
2018-11-21,0.8011,3.0070%
2018-11-20,0.7714,3.0650%
2018-11-19,0.9939,3.1120%
2018-11-18,1.5501,2.9970%
2018-11-16,0.7928,3.0060%
2018-11-15,0.7722,3.0050%
2018-11-14,0.9093,3.0150%
2018-11-13,0.8583,3.0070%
2018-11-12,0.7804,3.0210%
2018-11-11,1.5678,3.0260%
2018-11-09,0.7899,3.0180%
2018-03-30,1.2251,4.5420%
2018-03-29,1.2565,4.5280%
2018-03-28,1.2234,4.5230%
2018-03-27,1.2153,4.5370%
2018-03-26,1.1987,4.5380%
2018-03-25,2.3995,4.5850%
2018-03-23,1.2003,4.5660%
2018-03-22,1.2467,4.5690%
2018-03-21,1.2495,4.5660%
2018-03-20,1.2180,4.5440%
2018-03-19,1.2843,4.5490%
2018-03-18,2.3652,4.5790%
2018-03-16,1.2059,4.6220%
2018-03-15,1.2394,4.6360%
2018-03-14,1.2099,4.6270%
2018-03-13,1.2280,4.6360%
2018-03-12,1.3385,4.6340%
2018-03-11,2.4434,4.6300%
2018-03-09,1.2331,4.6520%
2018-03-08,1.2227,4.6700%
2019-07-14,1.2282,2.5060%
2019-07-12,0.6237,2.5170%
2019-07-11,0.8239,2.5170%
2019-07-10,0.6484,2.5010%
2019-07-09,0.6732,2.5020%
2019-07-08,0.7497,2.5140%
2019-07-07,1.2482,2.4830%
2019-07-05,0.6244,2.5660%
2019-07-04,0.7936,2.6100%
2019-07-03,0.6505,2.6090%
2019-07-02,0.6949,2.7550%
2019-07-01,0.6924,2.8090%
2019-06-30,1.4034,2.8460%
2019-06-28,0.7067,2.8250%
2019-06-27,0.7920,2.8330%
2019-06-26,0.9237,2.7830%
2019-06-25,0.7944,2.7130%
2019-06-24,0.7623,2.7260%
2019-06-23,1.3631,2.7150%
2019-06-21,0.7230,2.7070%
2018-11-08,0.7922,3.0130%
2018-11-07,0.8939,3.0060%
2018-11-06,0.8841,3.0090%
2018-11-05,0.7897,3.0090%
2018-11-04,1.5525,3.0070%
2018-11-02,0.7811,3.0100%
2018-11-01,0.7792,3.0140%
2018-10-31,0.8982,3.0130%
2018-10-30,0.8852,3.1520%
2018-10-29,0.7865,3.1630%
2018-10-28,1.5571,3.1680%
2018-10-26,0.7893,3.1350%
2018-10-25,0.7763,3.2010%
2018-10-24,1.1578,3.1810%
2018-10-23,0.9047,2.9610%
2018-10-22,0.7968,3.0190%
2018-10-21,1.4945,3.0110%
2018-10-19,0.9123,3.0460%
2018-10-18,0.7390,3.2050%
2018-10-17,0.7494,3.2490%
2018-03-07,1.2253,4.6770%
2018-03-06,1.2243,4.6790%
2018-03-05,1.3317,4.6810%
2018-03-04,2.4834,4.6250%
2018-03-02,1.2656,4.6140%
2018-03-01,1.2361,4.5940%
2018-02-28,1.2298,4.6260%
2018-02-27,1.2274,4.6250%
2018-02-26,1.2296,4.6240%
2018-02-25,2.4626,4.6220%
2018-02-23,1.2299,4.6170%
2018-02-22,1.2949,4.6160%
2018-02-21,8.5859,4.5780%
2018-02-14,1.2276,4.6280%
2018-02-13,1.2281,4.6380%
2018-02-12,1.2340,4.6520%
2018-02-11,2.4899,4.6680%
2018-02-09,1.2454,4.6910%
2018-02-08,1.2511,4.7030%
2018-02-07,1.2471,4.7050%
2019-06-20,0.6981,2.6860%
2019-06-19,0.7922,2.6710%
2019-06-18,0.8202,2.6040%
2019-06-17,0.7402,2.5590%
2019-06-16,1.3488,2.5990%
2019-06-14,0.6840,2.6050%
2019-06-13,0.6693,2.6030%
2019-06-12,0.6680,2.6240%
2019-06-11,0.7364,2.6490%
2019-06-10,0.8150,2.6840%
2019-06-09,2.0400,2.6730%
2019-06-06,0.7077,2.7070%
2019-06-05,0.7145,2.7750%
2019-06-04,0.8026,2.7750%
2019-06-03,0.7938,2.7220%
2019-06-02,1.3983,2.6620%
2019-05-31,0.7050,2.6500%
2019-05-30,0.8354,2.6400%
2019-05-29,0.7148,2.5580%
2019-05-28,0.7043,2.6110%
2018-10-16,1.0131,3.2940%
2018-10-15,0.7819,3.1820%
2018-10-14,1.5585,3.2280%
2018-10-12,1.2076,3.2450%
2018-10-11,0.8213,3.0240%
2018-10-10,0.8327,3.0110%
2018-10-09,0.8049,2.9920%
2018-10-08,0.8677,2.9870%
2018-10-07,7.1682,2.9490%
2018-09-28,0.7967,3.2580%
2018-09-27,0.8319,3.3690%
2018-09-26,0.9344,3.3860%
2018-09-25,1.0334,3.4880%
2018-09-24,2.5532,3.4990%
2018-09-21,1.0025,3.6630%
2018-09-20,0.8637,3.6230%
2018-09-19,1.1228,3.6770%
2018-09-18,1.0531,3.5880%
2018-09-17,0.9997,3.5700%
2018-09-16,1.8580,3.5710%
2018-02-06,1.2534,4.7240%
2018-02-05,1.2638,4.7280%
2018-02-04,2.5321,4.7230%
2018-02-02,1.2667,4.7100%
2018-02-01,1.2551,4.7030%
2018-01-31,1.2813,4.7020%
2018-01-30,1.2614,4.6860%
2018-01-29,1.2551,4.7010%
2018-01-28,2.5078,4.7430%
2018-01-26,1.2542,4.7380%
2018-01-25,1.2530,4.7400%
2018-01-24,1.2521,4.7400%
2018-01-23,1.2880,4.7390%
2018-01-22,1.3322,4.7540%
2018-01-21,2.4988,4.7120%
2018-01-19,1.2585,4.7260%
2018-01-18,1.2520,4.7290%
2018-01-17,1.2516,4.7320%
2018-01-16,1.3156,4.7810%
2018-01-15,1.2543,4.8040%
2019-05-27,0.6810,2.5990%
2019-05-26,1.3755,2.6250%
2019-05-24,0.6860,2.6110%
2019-05-23,0.6825,2.6110%
2019-05-22,0.8142,2.6120%
2019-05-21,0.6812,2.6050%
2019-05-20,0.7295,2.6060%
2019-05-19,1.3495,2.6400%
