净值日期,每万份收益,7日年化收益率（%）
2019-12-08,1.0648,2.7890%
2019-12-06,0.5293,2.8050%
2019-12-05,0.5026,2.8240%
2019-12-04,0.5165,2.8670%
2019-12-03,0.5138,3.6860%
2019-12-02,2.1485,4.4290%
2019-12-01,1.0944,3.5200%
2019-11-29,0.5654,3.4610%
2019-11-28,0.5828,3.5430%
2019-11-27,2.0373,4.0400%
2019-11-26,1.8838,3.1900%
2019-11-25,0.4714,2.6190%
2019-11-24,0.9842,3.4600%
2019-11-22,0.7189,3.3600%
2019-11-21,1.5005,3.1860%
2019-11-20,0.4634,2.5860%
2019-11-19,0.8200,2.5460%
2019-11-18,2.0363,2.5630%
2019-11-17,0.7991,2.2620%
2019-11-15,0.3968,2.2450%
2019-04-07,1.8320,3.2850%
2019-04-04,0.6135,3.4390%
2019-04-03,0.6515,3.5030%
2019-04-02,0.8751,3.5470%
2019-04-01,2.2267,3.4650%
2019-03-31,1.4118,3.6380%
2019-03-29,0.7061,3.5840%
2019-03-28,0.7321,3.5710%
2019-03-27,0.7329,4.1920%
2019-03-26,0.7239,4.0910%
2019-03-25,2.5464,4.0020%
2019-03-24,1.3129,2.9280%
2019-03-22,0.6823,2.8070%
2019-03-21,1.8787,2.7330%
2019-03-20,0.5466,3.1240%
2019-03-19,0.5597,3.7040%
2019-03-18,0.5557,3.6600%
2019-03-17,1.0858,3.6190%
2019-03-15,0.5442,3.5520%
2019-03-14,2.6081,3.5180%
2018-07-30,0.7958,2.8880%
2018-07-29,1.5823,2.8720%
2018-07-27,0.7885,2.8420%
2018-07-26,0.7741,2.9390%
2018-07-25,0.7525,2.9270%
2018-07-24,0.7670,2.9210%
2018-07-23,0.7665,2.9510%
2018-07-22,1.5251,2.9390%
2018-07-20,0.9704,2.9140%
2018-07-19,0.7509,2.9510%
2018-07-18,0.7419,2.9330%
2018-07-17,0.8227,2.9150%
2018-07-16,0.7450,2.9950%
2018-07-15,1.4775,2.9760%
2018-07-13,1.0397,2.9460%
2018-07-12,0.7182,2.7750%
2018-07-11,0.7074,2.9810%
2018-07-10,0.9713,3.1010%
2018-07-09,0.7098,3.1160%
2018-07-08,1.4227,3.3020%
2017-11-28,1.2046,4.0080%
2017-11-27,1.0504,4.0210%
2017-11-26,2.0928,4.0400%
2017-11-24,1.0109,4.0860%
2017-11-23,1.0854,4.1340%
2017-11-22,1.0934,4.1320%
2017-11-21,1.2284,4.1220%
2017-11-20,1.0850,4.0410%
2017-11-19,2.1776,4.0360%
2017-11-17,1.1003,4.0210%
2017-11-16,1.0816,4.0390%
2017-11-15,1.0750,4.0330%
2017-11-14,1.0786,4.0350%
2017-11-13,1.0750,4.0330%
2017-11-12,2.1514,4.0370%
2017-11-10,1.1335,4.0280%
2017-11-09,1.0692,4.0280%
2017-11-08,1.0797,4.0380%
2017-11-07,1.0741,4.0450%
2017-11-06,1.0830,4.0390%
2017-04-01,0.9827,3.6860%
2017-03-31,1.0493,3.6750%
2017-03-30,0.9830,3.8330%
2017-03-29,0.9842,3.8170%
2017-03-28,0.8704,3.7980%
2017-03-27,1.1259,3.8180%
2017-03-26,0.9473,3.6910%
2017-03-25,0.9624,3.6720%
2017-03-24,1.3405,3.6450%
2017-03-23,0.9528,3.4100%
2017-03-22,0.9502,3.3810%
2017-03-21,0.9077,3.4470%
2017-03-20,0.8906,3.4360%
2017-03-19,0.9124,3.4350%
2017-03-18,0.9125,3.4290%
2017-03-17,0.9053,3.4230%
2017-03-16,0.8982,3.4200%
2017-03-15,1.0735,3.4360%
2017-03-14,0.8860,3.3650%
2017-03-13,0.8900,3.4230%
2016-09-12,0.7155,2.6840%
2016-09-11,0.7162,2.7140%
2016-09-10,0.7163,2.7110%
2016-09-09,0.7161,2.7080%
2016-09-08,0.7165,2.7050%
2016-09-07,0.7100,2.7040%
2016-09-06,0.7898,2.7060%
2016-09-05,0.7711,2.8660%
2016-09-04,0.7098,3.0420%
2016-09-03,0.7112,3.0410%
2016-09-02,0.7111,3.0390%
2016-09-01,0.7137,3.0380%
2016-08-31,0.7149,3.0360%
2016-08-30,1.0873,3.0260%
2016-08-29,1.1000,2.8860%
2016-08-28,0.7069,2.6760%
2016-08-27,0.7070,2.6780%
2016-08-26,0.7109,2.6800%
2016-08-25,0.7089,2.6800%
2016-08-24,0.6960,2.6810%
2016-02-25,0.6638,2.4690%
2016-02-24,0.6643,2.4950%
2016-02-23,0.6629,2.5260%
2016-02-22,0.6577,2.5520%
2016-02-21,0.6699,2.5820%
2016-02-20,0.6700,2.6070%
2016-02-19,0.6892,2.6320%
2016-02-18,0.7120,2.6470%
2016-02-17,0.7229,2.6490%
2016-02-16,0.7111,2.6460%
2016-02-15,0.7139,2.6490%
2016-02-14,0.7166,2.6510%
2016-02-13,0.7167,2.6510%
2016-02-12,0.7167,2.6510%
2016-02-11,0.7168,2.6510%
2016-02-10,0.7168,2.6520%
2016-02-09,0.7169,2.6520%
2016-02-08,0.7170,2.6470%
2016-02-07,0.7170,2.6430%
2016-02-06,0.7171,2.6350%
2019-11-14,0.3818,2.2350%
2019-11-13,0.3885,2.2640%
2019-11-12,0.8513,2.2670%
2019-11-11,1.4725,2.4700%
2019-11-10,0.7674,2.2220%
2019-11-08,0.3776,2.1870%
2019-11-07,0.4372,2.1710%
2019-11-06,0.3939,2.1790%
