净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.8021,2.9440%
2019-12-05,0.7344,2.9420%
2019-12-04,0.7822,2.9320%
2019-12-03,0.8545,2.9580%
2019-12-02,0.7918,2.9290%
2019-12-01,1.5991,2.9160%
2019-11-29,0.7997,2.9010%
2019-11-28,0.7160,2.8570%
2019-11-27,0.8303,2.9040%
2019-11-26,0.8003,2.9170%
2019-11-25,0.7663,2.8420%
2019-11-24,1.5726,2.8610%
2019-11-22,0.7180,2.8570%
2019-11-21,0.8030,2.8550%
2019-11-20,0.8548,2.8970%
2019-11-19,0.6592,2.8460%
2019-11-18,0.8030,2.8930%
2019-11-17,1.5645,2.8760%
2019-11-15,0.7144,2.8360%
2019-11-14,0.8812,2.8240%
2019-04-04,0.8711,2.8190%
2019-04-03,0.7449,2.8210%
2019-04-02,0.5830,2.9610%
2019-04-01,0.6121,3.1090%
2019-03-31,1.6470,3.1350%
2019-03-29,0.8738,3.0590%
2019-03-28,0.8754,2.9910%
2019-03-27,1.0049,2.9680%
2019-03-26,0.8589,2.9520%
2019-03-25,0.6594,2.9400%
2019-03-24,1.5070,3.0370%
2019-03-22,0.7474,2.9630%
2019-03-21,0.8322,2.9470%
2019-03-20,0.9750,2.9460%
2019-03-19,0.8371,2.9250%
2019-03-18,0.8386,2.9310%
2019-03-17,1.3705,2.8900%
2019-03-15,0.7171,2.9140%
2019-03-14,0.8296,2.9110%
2019-03-13,0.9365,2.9200%
2018-07-29,2.1291,4.0130%
2018-07-27,1.0642,4.0490%
2018-07-26,1.0752,4.0670%
2018-07-25,1.0950,4.0890%
2018-07-24,1.0902,4.0940%
2018-07-23,1.0920,4.1030%
2018-07-22,2.1958,4.1060%
2018-07-20,1.0972,4.1040%
2018-07-19,1.1164,4.1020%
2018-07-18,1.1047,4.1070%
2018-07-17,1.1057,4.1410%
2018-07-16,1.0972,4.1760%
2018-07-15,2.1936,4.0030%
2018-07-13,1.0935,4.1230%
2018-07-12,1.1248,4.0170%
2018-07-11,1.1677,4.0940%
2018-07-10,1.1695,4.1730%
2018-07-09,0.7788,4.2450%
2018-07-08,2.4138,4.3210%
2018-07-06,0.8988,4.5580%
2017-11-27,1.2065,4.2300%
2017-11-26,2.3695,4.1950%
2017-11-24,1.1847,4.1350%
2017-11-23,0.9969,4.1050%
2017-11-22,1.0905,4.1690%
2017-11-21,1.0977,4.1710%
2017-11-20,1.1424,4.1320%
2017-11-19,2.2590,4.1100%
2017-11-17,1.1293,4.1300%
2017-11-16,1.1145,4.1420%
2017-11-15,1.0949,4.1700%
2017-11-14,1.0246,4.2050%
2017-11-13,1.1025,4.2860%
2017-11-12,2.2951,4.3040%
2017-11-10,1.1522,4.2260%
2017-11-09,1.1667,4.1850%
2017-11-08,1.1581,4.1420%
2017-11-07,1.1740,4.1170%
2017-11-06,1.1365,4.0790%
2017-11-05,2.1517,4.1600%
2017-03-26,2.2595,4.2120%
2017-03-24,1.1306,4.2080%
2017-03-23,1.1306,4.2080%
2017-03-22,1.1306,4.2090%
2017-03-21,1.1306,4.2100%
2017-03-20,1.1305,4.2100%
2017-03-19,2.2523,4.2110%
2017-03-17,1.1317,4.2130%
2017-03-16,1.1317,4.2130%
2017-03-15,1.1318,4.2110%
2017-03-14,1.1318,4.2090%
2017-03-13,1.1316,4.2020%
2017-03-12,2.2557,4.2000%
2017-03-10,1.1320,4.2000%
2017-03-09,1.1279,4.1980%
2017-03-08,1.1282,4.1980%
2017-03-07,1.1194,4.1980%
2017-03-06,1.1279,4.2030%
2017-03-05,2.2559,4.2090%
2017-03-03,1.1280,4.2170%
2016-07-20,0.9248,2.8760%
2016-07-19,0.7555,2.7840%
2016-07-18,0.8032,2.9390%
2016-07-17,1.4543,2.9130%
2016-07-15,0.7515,2.9430%
2016-07-14,0.7491,2.9450%
2016-07-13,0.7534,2.9470%
2016-07-12,1.0440,2.9460%
2016-07-11,0.7545,2.7890%
2016-07-10,1.5102,2.7870%
2016-07-08,0.7549,2.7830%
2016-07-07,0.7533,2.7810%
2016-07-06,0.7512,2.7800%
2016-07-05,0.7512,2.7810%
2016-07-04,0.7512,2.7820%
2016-07-03,1.5026,2.8220%
2016-07-01,0.7513,2.8240%
2016-06-30,0.7511,2.8250%
2016-06-29,0.7530,2.8270%
2016-06-28,0.7528,2.8270%
2015-11-17,0.6261,2.3030%
2015-11-16,0.5992,2.3280%
2015-11-15,1.1984,2.3670%
2015-11-13,0.5993,2.4460%
2015-11-12,0.6723,2.4740%
2015-11-11,0.6723,2.3550%
2015-11-10,0.6723,2.3340%
2015-11-09,0.6725,2.3040%
2015-11-08,1.3452,2.2590%
2015-11-06,0.6527,2.0330%
2019-11-13,0.7599,2.7620%
2019-11-12,0.7459,2.7650%
2019-11-11,0.7717,2.7790%
2019-11-10,1.4909,2.7660%
2019-11-08,0.6913,2.7580%
2019-11-07,0.7654,2.7680%
2019-11-06,0.7662,2.7900%
2019-11-05,0.7708,2.7700%
2019-11-04,0.7482,2.7690%
2019-11-03,1.4754,2.8140%
2019-11-01,0.7105,2.8410%
2019-10-31,0.8060,2.8290%
2019-10-30,0.7288,2.8070%
2019-10-29,0.7696,2.8300%
2019-10-28,0.8313,2.8190%
2019-10-27,1.5265,2.8260%
2019-10-25,0.6881,2.8300%
2019-10-24,0.7647,2.8480%
2019-10-23,0.7729,2.8390%
2019-10-22,0.7485,2.8200%
2019-03-12,0.8479,2.8560%
2019-03-11,0.7626,2.8680%
2019-03-10,1.4161,2.8650%
2019-03-08,0.7109,2.8800%
2019-03-07,0.8459,2.8740%
2019-03-06,0.8171,2.8620%
2019-03-05,0.8708,2.8520%
2019-03-04,0.7564,2.8530%
2019-03-03,1.4448,2.8400%
2019-03-01,0.6995,2.8590%
2019-02-28,0.8232,2.8920%
2019-02-27,0.7989,2.8730%
2019-02-26,0.8727,2.8480%
2019-02-25,0.7327,2.8190%
2019-02-24,1.4794,2.8510%
2019-02-22,0.7610,2.9120%
2019-02-21,0.7868,2.9560%
2019-02-20,0.7540,2.9480%
2019-02-19,0.8183,2.9640%
2019-02-18,0.7919,3.0360%
2018-07-05,1.2669,4.8440%
2018-07-04,1.3125,4.9130%
2018-07-03,1.3032,4.7820%
2018-07-02,0.9173,4.6170%
2018-07-01,2.8490,4.8370%
2018-06-30,1.4246,4.7600%
2018-06-29,1.4239,4.6830%
2018-06-28,1.3927,4.5360%
2018-06-27,1.0735,4.2950%
2018-06-26,0.9997,4.3780%
2018-06-25,1.3213,4.4990%
2018-06-24,2.5657,4.4280%
2018-06-22,1.1553,4.3300%
2018-06-21,0.9500,4.3510%
2018-06-20,1.2259,4.4700%
2018-06-19,1.2213,4.4250%
2018-06-18,3.5780,4.3910%
2018-06-15,1.1924,4.5160%
2018-06-14,1.1703,4.4950%
2018-06-13,1.1422,4.5350%
2017-11-03,1.0759,4.2050%
2017-11-02,1.0878,4.2270%
2017-11-01,1.1129,4.2510%
2017-10-31,1.1027,4.2630%
2017-10-30,1.2855,4.2850%
2017-10-29,2.2347,4.2060%
2017-10-27,1.1172,4.2400%
2017-10-26,1.1322,4.2570%
2017-10-25,1.1350,4.2650%
2017-10-24,1.1434,4.2590%
2017-10-23,1.1390,4.2450%
2017-10-22,2.2972,4.2330%
2017-10-20,1.1481,4.1960%
2017-10-19,1.1479,4.1780%
2017-10-18,1.1231,4.1870%
2017-10-17,1.1186,4.1940%
2017-10-16,1.1159,4.1870%
2017-10-15,2.2297,4.2030%
2017-10-13,1.1147,4.2410%
2017-10-12,1.1645,4.2600%
2017-03-02,1.1280,4.2250%
2017-03-01,1.1280,4.2260%
2017-02-28,1.1280,4.2270%
2017-02-27,1.1389,4.2280%
2017-02-26,2.2711,4.2230%
2017-02-24,1.1436,4.2160%
2017-02-23,1.1294,4.2090%
2017-02-22,1.1295,4.2090%
2017-02-21,1.1295,4.2090%
2017-02-20,1.1296,4.2090%
2017-02-19,2.2591,4.3650%
2017-02-17,1.1296,4.3550%
2017-02-16,1.1297,4.7620%
2017-02-15,1.1298,4.9180%
2017-02-14,1.1298,4.9370%
2017-02-13,1.4160,4.9560%
2017-02-12,2.2412,4.8130%
2017-02-10,1.8767,5.1270%
2017-02-09,1.4147,4.7320%
2017-02-08,1.1642,4.5890%
2016-06-27,0.8263,2.8280%
2016-06-26,1.5063,2.8370%
2016-06-24,0.7540,2.8400%
2016-06-23,0.7539,2.8410%
2016-06-22,0.7540,2.8410%
2016-06-21,0.7541,2.8420%
2016-06-20,0.8433,2.8430%
2016-06-19,1.5116,2.7960%
2016-06-17,0.7555,2.7930%
2016-06-16,0.7548,2.7910%
2016-06-15,0.7555,2.7900%
2016-06-14,0.7554,2.7890%
2016-06-13,0.7554,2.7890%
2016-06-12,3.0120,2.7880%
2016-06-08,0.7530,2.7970%
2016-06-07,0.7551,2.8010%
2016-06-06,0.7544,2.8030%
2016-06-05,1.5118,3.0140%
2016-06-03,0.7557,2.9830%
2016-06-02,0.7600,2.9930%
2019-10-21,0.8433,2.8500%
2019-10-20,1.5352,2.8880%
2019-10-18,0.7212,2.7750%
2019-10-17,0.7485,2.7850%
2019-10-16,0.7373,2.7840%
2019-10-15,0.8043,2.7800%
2019-10-14,0.9136,2.7310%
2019-10-13,1.3250,2.6660%
2019-10-11,0.7400,2.8070%
2019-10-10,0.7463,2.8360%
2019-10-09,0.7298,2.8610%
2019-10-08,0.7119,2.8960%
2019-10-07,5.5570,2.9400%
2019-09-30,0.7939,3.0120%
2019-09-29,1.6017,3.0190%
2019-09-27,0.8736,2.9980%
2019-09-26,0.8245,2.9250%
2019-09-25,0.8000,2.8760%
2019-09-24,0.7979,2.8710%
2019-09-23,0.8067,2.8620%
2019-02-17,1.5931,3.0570%
2019-02-15,0.8439,3.0860%
2019-02-14,0.7705,3.0760%
2019-02-13,0.7835,3.1040%
2019-02-12,0.9538,3.1260%
2019-02-11,0.8308,3.0560%
2019-02-10,7.4142,3.0520%
2019-02-01,1.2447,3.6400%
2019-01-31,0.8030,3.4380%
2019-01-30,0.8334,3.3730%
2019-01-29,1.3610,3.4340%
2019-01-28,1.1456,3.3320%
2019-01-27,1.4693,3.2480%
2019-01-25,0.8707,3.3060%
2019-01-24,0.6831,3.2900%
2019-01-23,0.9452,3.3800%
2019-01-22,1.1722,3.3350%
2019-01-21,0.9899,3.1660%
2019-01-20,1.5771,3.1620%
2019-01-18,0.8398,3.1980%
2018-06-12,1.1590,4.4250%
2018-06-11,1.5182,4.2980%
2018-06-10,2.2901,4.6120%
2018-06-08,1.1527,4.6100%
2018-06-07,1.2444,4.6100%
2018-06-06,0.9399,4.6450%
2018-06-05,0.9266,4.7840%
2018-06-04,2.0935,4.9250%
2018-06-03,2.2871,4.2200%
2018-06-01,1.1527,4.3320%
2018-05-31,1.3074,4.3830%
2018-05-30,1.1947,4.3430%
2018-05-29,1.1853,4.3580%
2018-05-28,0.7998,4.3910%
2018-05-27,2.4938,4.6210%
2018-05-25,1.2466,4.5790%
2018-05-24,1.2328,4.5590%
2018-05-23,1.2229,4.5330%
2018-05-22,1.2457,4.5090%
2018-05-21,1.2223,4.4770%
2017-10-11,1.1370,4.2520%
2017-10-10,1.1053,4.2600%
2017-10-09,1.1440,4.2840%
2017-10-08,10.3528,4.2880%
2017-09-29,1.7696,4.5860%
2017-09-28,1.1368,4.2440%
2017-09-27,1.1336,4.2360%
2017-09-26,1.1363,4.2230%
2017-09-25,1.1412,4.2150%
2017-09-24,2.2822,4.2000%
2017-09-22,1.1408,4.1700%
2017-09-21,1.1224,4.1550%
2017-09-20,1.1108,4.1500%
2017-09-19,1.1214,4.1480%
2017-09-18,1.1133,4.1390%
2017-09-17,2.2267,4.1230%
2017-09-15,1.1134,3.9470%
2017-09-14,1.1132,3.9390%
2017-09-13,1.1062,3.9140%
2017-09-12,1.1058,3.8940%
2017-02-07,1.1640,4.5830%
2017-02-06,1.1554,4.5770%
2017-02-05,2.8143,4.5760%
2017-02-03,1.1556,4.2990%
2017-02-02,8.0693,4.2970%
2017-01-26,1.2958,4.3630%
2017-01-25,1.2606,4.2730%
2017-01-24,1.1417,4.2030%
2017-01-23,1.1415,4.2080%
2017-01-22,2.2195,4.2030%
2017-01-20,1.1310,4.1730%
2017-01-19,1.1310,4.1580%
2017-01-18,1.1310,4.4360%
2017-01-17,1.1523,4.4280%
2017-01-16,1.1315,4.4080%
2017-01-15,2.1638,4.4000%
2017-01-13,1.1042,4.4380%
2017-01-12,1.6412,4.4990%
2017-01-11,1.1164,4.2140%
2017-01-10,1.1164,4.2150%
2016-06-01,0.7602,3.0400%
2016-05-31,0.7602,3.0320%
2016-05-30,1.1470,3.0110%
2016-05-29,1.4540,2.7960%
2016-05-27,0.7737,2.7040%
2016-05-26,0.8486,2.6880%
2016-05-25,0.7456,2.6330%
2016-05-24,0.7205,2.6340%
2016-05-23,0.7472,2.6520%
2016-05-22,1.2807,2.7020%
2016-05-20,0.7450,2.8270%
2016-05-19,0.7460,2.8330%
2016-05-18,0.7460,2.8380%
2016-05-17,0.7552,2.8440%
2016-05-16,0.8411,2.8420%
2016-05-15,1.5130,2.7960%
2016-05-13,0.7570,2.7970%
2016-05-12,0.7550,2.7970%
2016-05-11,0.7570,2.7970%
2016-05-10,0.7524,2.8130%
2019-09-22,1.5621,2.8480%
2019-09-20,0.7389,2.8520%
2019-09-19,0.7318,2.8760%
2019-09-18,0.7908,2.8560%
2019-09-17,0.7816,2.8550%
2019-09-16,0.7811,2.7950%
2019-09-15,2.3536,2.8180%
2019-09-12,0.6943,2.8310%
2019-09-11,0.7874,2.7960%
2019-09-10,0.6710,2.7920%
2019-09-09,0.8242,2.7830%
2019-09-08,1.5508,2.7550%
2019-09-06,0.8272,2.7620%
2019-09-05,0.6286,2.7470%
2019-09-04,0.7797,2.7580%
2019-09-03,0.6548,2.7570%
2019-09-02,0.7715,2.7760%
2019-09-01,1.5643,2.7770%
2019-08-30,0.7984,2.7670%
2019-08-29,0.6495,2.7530%
2019-01-17,0.8515,3.1810%
2019-01-16,0.8621,3.0990%
2019-01-15,0.8570,3.0470%
2019-01-14,0.9824,3.1180%
2019-01-13,1.6446,3.1200%
2019-01-11,0.8076,3.2660%
2019-01-10,0.6996,3.3450%
2019-01-09,0.7646,3.2770%
2019-01-08,0.9905,3.1470%
2019-01-07,0.9849,3.1610%
2019-01-06,1.9157,3.1780%
2019-01-04,0.9545,3.2430%
2019-01-03,0.5735,3.2760%
2019-01-02,0.5237,3.5990%
2019-01-01,1.0163,3.9660%
2018-12-31,3.0522,3.8900%
2018-12-28,1.0171,3.6860%
2018-12-27,1.1725,3.7130%
2018-12-26,1.2013,3.5350%
2018-12-25,0.8755,3.3430%
2018-05-20,2.4176,4.4490%
2018-05-18,1.2089,4.4090%
2018-05-17,1.1855,4.3890%
2018-05-16,1.1793,4.3860%
2018-05-15,1.1869,4.3930%
2018-05-14,1.1704,4.3960%
2018-05-13,2.3446,4.4140%
2018-05-11,1.1720,4.4740%
2018-05-10,1.1796,4.5040%
2018-05-09,1.1916,4.5500%
2018-05-08,1.1933,4.6130%
2018-05-07,1.2028,4.6840%
2018-05-06,2.4553,4.7500%
2018-05-04,1.2274,4.8550%
2018-05-03,1.2632,4.9070%
2018-05-02,1.3070,4.9360%
2018-05-01,5.2943,4.9210%
2018-04-27,1.3230,4.6510%
2018-04-26,1.3165,4.6210%
2018-04-25,1.2788,4.6740%
2017-09-11,1.0836,3.8740%
2017-09-10,1.9026,3.8720%
2017-09-08,1.0990,4.0130%
2017-09-07,1.0671,4.0040%
2017-09-06,1.0686,4.0120%
2017-09-05,1.0686,4.0280%
2017-09-04,1.0792,4.0360%
2017-09-03,2.1636,4.1010%
2017-09-01,1.0817,4.0790%
2017-08-31,1.0830,4.2350%
2017-08-30,1.0983,4.2080%
2017-08-29,1.0826,4.1960%
2017-08-28,1.1988,4.1930%
2017-08-27,2.1230,4.6610%
2017-08-25,1.3701,4.6480%
2017-08-24,1.0330,4.4820%
2017-08-23,1.0763,4.4980%
2017-08-22,1.0758,4.4810%
2017-08-21,2.0593,4.4660%
2017-08-20,2.1000,3.9170%
2017-01-09,1.1164,4.2160%
2017-01-08,2.2329,4.2170%
2017-01-06,1.2171,4.2190%
2017-01-05,1.1179,4.1650%
2017-01-04,1.1179,4.1650%
2017-01-03,1.1180,4.1650%
2017-01-02,2.2360,4.1610%
2016-12-31,1.1181,4.1790%
2016-12-30,1.1181,4.1750%
2016-12-29,1.1181,4.1710%
2016-12-28,1.1179,4.1670%
2016-12-27,1.1099,4.1630%
2016-12-26,1.1587,3.6270%
2016-12-25,2.2218,3.5460%
2016-12-23,1.1109,3.3410%
2016-12-22,1.1109,3.2380%
2016-12-21,1.1107,2.8800%
2016-12-20,0.1206,2.7330%
2016-12-19,1.0089,3.1180%
2016-12-18,1.8404,3.0250%
2016-05-09,0.7536,2.8120%
2016-05-08,1.5151,2.8100%
2016-05-06,0.7575,2.8010%
2016-05-05,0.7551,2.7970%
2016-05-04,0.7865,2.7950%
2016-05-03,0.7507,2.7750%
2016-05-02,2.2491,3.0210%
2016-04-29,0.7492,3.0070%
2016-04-28,0.7508,2.9970%
2016-04-27,0.7506,2.9860%
2016-04-26,1.2090,3.0060%
2016-04-25,0.7607,2.7610%
2016-04-24,1.4612,2.7570%
2016-04-22,0.7306,2.7830%
2016-04-21,0.7306,2.7950%
2016-04-20,0.7883,2.8060%
2016-04-19,0.7528,2.7800%
2016-04-18,0.7531,2.7750%
2016-04-17,1.5086,2.7710%
2016-04-15,0.7543,2.7680%
2019-08-28,0.7782,2.7960%
2019-08-27,0.6887,2.7990%
2019-08-26,0.7736,2.8600%
2019-08-25,1.5461,2.8400%
2019-08-23,0.7730,2.8060%
2019-08-22,0.7302,2.7930%
2019-08-21,0.7824,2.8000%
2019-08-20,0.8024,2.7790%
2019-08-19,0.7375,2.8180%
2019-08-18,1.4816,2.8150%
2019-08-16,0.7495,2.8200%
2019-08-15,0.7433,2.8330%
2019-08-14,0.7430,2.8450%
2019-08-13,0.8754,2.8340%
2019-08-12,0.7314,2.7640%
2019-08-11,1.4912,2.7850%
2019-08-09,0.7734,2.7760%
2019-08-08,0.7649,2.7830%
2019-08-07,0.7227,2.7760%
2019-08-06,0.7463,2.7750%
2018-12-24,1.3314,3.3780%
2018-12-23,1.3448,3.1710%
2018-12-21,1.0673,3.3550%
2018-12-20,0.8420,3.2290%
2018-12-19,0.8464,3.2220%
2018-12-18,0.9395,3.2160%
2018-12-17,0.9471,3.1610%
2018-12-16,1.6858,3.2130%
2018-12-14,0.8346,3.1760%
2018-12-13,0.8294,3.1790%
2018-12-12,0.8348,3.1800%
2018-12-11,0.8365,3.1370%
2018-12-10,1.0438,3.1480%
2018-12-09,1.6174,3.1630%
2018-12-07,0.8401,3.1470%
2018-12-06,0.8319,3.1590%
2018-12-05,0.7534,3.1420%
2018-12-04,0.8580,3.1500%
2018-12-03,1.0717,3.0340%
2018-12-02,1.5880,3.1340%
2018-04-24,1.2437,4.6310%
2018-04-23,1.1988,4.5990%
2018-04-22,2.3586,4.6000%
2018-04-20,1.2668,4.6160%
2018-04-19,1.4143,4.5760%
2018-04-18,1.1995,4.4550%
2018-04-17,1.1866,4.4510%
2018-04-16,1.1996,4.4660%
2018-04-15,2.3881,4.4770%
2018-04-13,1.1931,4.5490%
2018-04-12,1.1923,4.5860%
