净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7782,2.8580%
2019-12-05,0.7861,2.8580%
2019-12-04,0.7934,2.8490%
2019-12-03,0.7855,2.8550%
2019-12-02,0.7813,2.8500%
2019-12-01,1.5572,2.7790%
2019-11-29,0.7780,2.7640%
2019-11-28,0.7691,2.7770%
2019-11-27,0.8046,2.7940%
2019-11-26,0.7761,2.7630%
2019-11-25,0.6441,2.8000%
2019-11-24,1.5287,2.8150%
2019-11-22,0.8032,2.7910%
2019-11-21,0.8023,2.7780%
2019-11-20,0.7455,2.7630%
2019-11-19,0.8467,2.7490%
2019-11-18,0.6726,2.7000%
2019-11-17,1.4816,2.7560%
2019-11-15,0.7795,2.7590%
2019-11-14,0.7724,2.7600%
2019-04-04,0.7426,2.8760%
2019-04-03,0.7807,2.8320%
2019-04-02,0.8171,2.8510%
2019-04-01,0.8120,2.9380%
2019-03-31,1.5358,3.0230%
2019-03-29,0.8276,3.0370%
2019-03-28,0.6589,2.9630%
2019-03-27,0.8168,2.9750%
2019-03-26,0.9827,2.9310%
2019-03-25,0.9749,2.9170%
2019-03-24,1.5644,2.9680%
2019-03-22,0.6848,2.8980%
2019-03-21,0.6818,2.9130%
2019-03-20,0.7330,2.9330%
2019-03-19,0.9556,2.9360%
2019-03-18,1.0720,2.8320%
2019-03-17,1.4300,2.8380%
2019-03-15,0.7143,2.8510%
2019-03-14,0.7192,2.8680%
2019-03-13,0.7389,2.8960%
2018-07-29,1.7390,4.1720%
2018-07-27,0.7616,4.0730%
2018-07-26,1.0689,4.2340%
2018-07-25,1.1246,4.1940%
2018-07-24,0.8075,4.0530%
2018-07-23,2.3101,4.0490%
2018-07-22,1.7390,4.1720%
2018-07-20,1.0704,4.0450%
2018-07-19,0.9914,4.0720%
2018-07-18,0.8553,4.1440%
2018-07-17,0.7984,4.2660%
2018-07-16,2.5461,4.4620%
2018-07-15,1.4966,4.2600%
2018-07-13,1.1217,4.4090%
2018-07-12,1.1302,4.4880%
2018-07-11,1.0893,4.5160%
2018-07-10,1.1734,4.4630%
2018-07-09,2.1582,4.2610%
2018-07-08,1.7835,3.7470%
2018-07-06,1.2720,4.2720%
2017-11-27,1.4042,4.5000%
2017-11-26,2.3729,4.4730%
2017-11-24,1.1840,4.4650%
2017-11-23,1.3373,4.4730%
2017-11-22,1.1766,4.4790%
2017-11-21,1.1551,4.5080%
2017-11-20,1.3532,4.5160%
2017-11-19,2.3574,4.5170%
2017-11-17,1.1984,4.5140%
2017-11-16,1.3483,4.5020%
2017-11-15,1.2322,4.5010%
2017-11-14,1.1722,4.4580%
2017-11-13,1.3534,4.4670%
2017-11-12,2.3518,4.4860%
2017-11-10,1.1759,4.4830%
2017-11-09,1.3457,4.4840%
2017-11-08,1.1515,4.4630%
2017-11-07,1.1889,4.4830%
2017-11-06,1.3894,4.4660%
2017-11-05,2.3469,4.4750%
2019-11-13,0.7202,2.7430%
2019-11-12,0.7511,2.7590%
2019-11-11,0.7799,2.7540%
2019-11-10,1.4880,2.7510%
2019-11-08,0.7817,2.7560%
2019-11-07,0.7394,2.7550%
2019-11-06,0.7506,2.7550%
2019-11-05,0.7413,2.7630%
2019-11-04,0.7757,2.7790%
2019-11-03,1.4972,2.7810%
2019-11-01,0.7795,2.7970%
2019-10-31,0.7393,2.7880%
2019-10-30,0.7656,2.8010%
2019-10-29,0.7720,2.7990%
2019-10-28,0.7803,2.8010%
2019-10-27,1.5265,2.7820%
2019-10-25,0.7633,2.7720%
2019-10-24,0.7638,2.8300%
2019-10-23,0.7625,2.8220%
2019-10-22,0.7757,2.8380%
2019-03-12,0.7560,2.8850%
2019-03-11,1.0849,2.8770%
2019-03-10,1.4538,2.9560%
2019-03-08,0.7466,2.9620%
2019-03-07,0.7731,2.9560%
2019-03-06,0.7189,2.9750%
2019-03-05,0.7409,2.9100%
2019-03-04,1.2363,2.9210%
2019-03-03,1.4639,2.9680%
2019-03-01,0.7357,2.9670%
2019-02-28,0.8094,2.9680%
2019-02-27,0.5948,2.9290%
2019-02-26,0.7621,2.9550%
2019-02-25,1.3264,2.9360%
2019-02-24,1.4617,2.9310%
2019-02-22,0.7381,2.9440%
2019-02-21,0.7345,2.9540%
2019-02-20,0.6449,2.9840%
2019-02-19,0.7259,2.9720%
2019-02-18,1.3159,2.9960%
2018-07-05,1.1850,4.3360%
2018-07-04,0.9870,4.4370%
2018-07-03,0.7863,4.4990%
2018-07-02,1.1717,4.7610%
2018-07-01,2.7908,4.7270%
2018-06-30,1.3953,4.7170%
2018-06-29,1.3947,4.7070%
2018-06-28,1.3780,4.5720%
2018-06-27,1.1063,4.5580%
2018-06-26,1.2901,4.5640%
2018-06-25,1.1060,4.5640%
2018-06-24,2.7514,4.6270%
2018-06-22,1.1371,4.4720%
2018-06-21,1.3505,4.5180%
2018-06-20,1.1173,4.4620%
2018-06-19,1.2910,4.5250%
2018-06-18,3.6797,4.4980%
2018-06-15,1.2265,4.5020%
2018-06-14,1.2432,4.4850%
2018-06-13,1.2380,4.4250%
2017-11-03,1.1769,4.4660%
2017-11-02,1.3059,4.4620%
2017-11-01,1.1893,4.4100%
2017-10-31,1.1560,4.4210%
