净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.6442,2.8830%
2019-12-05,0.6545,2.9180%
2019-12-04,0.6852,4.5060%
2019-12-03,1.3533,4.4730%
2019-12-02,0.6986,4.2360%
2019-12-01,1.4160,4.1940%
2019-11-29,0.7096,4.1200%
2019-11-28,3.5915,4.0820%
2019-11-27,0.6240,2.4940%
2019-11-26,0.9169,2.4840%
2019-11-25,0.6219,2.3070%
2019-11-24,1.2802,2.4150%
2019-11-22,0.6401,2.3530%
2019-11-21,0.6422,2.3220%
2019-11-20,0.6054,2.2890%
2019-11-19,0.5848,2.2780%
2019-11-18,0.8247,2.2660%
2019-11-17,1.1642,2.1330%
2019-11-15,0.5815,2.1220%
2019-11-14,0.5794,2.1170%
2019-04-04,0.6460,2.4790%
2019-04-03,0.6471,2.5020%
2019-04-02,0.6388,2.5300%
2019-04-01,0.6666,2.5540%
2019-03-31,1.3987,2.5650%
2019-03-29,0.6988,2.5480%
2019-03-28,0.6887,2.6510%
2019-03-27,0.6998,2.6400%
2019-03-26,0.6848,3.0980%
2019-03-25,0.6857,3.8730%
2019-03-24,1.3674,3.7650%
2019-03-22,0.8918,3.6340%
2019-03-21,0.6681,3.4550%
2019-03-20,1.5533,3.4020%
2019-03-19,2.1212,3.1220%
2019-03-18,0.4870,2.5350%
2019-03-17,1.1240,2.5680%
2019-03-15,0.5618,2.5660%
2019-03-14,0.5685,2.5640%
2019-03-13,1.0337,2.6940%
2018-07-29,1.5483,3.4820%
2018-07-27,0.8495,3.5660%
2018-07-26,1.2387,3.5670%
2018-07-25,0.7883,3.3550%
2018-07-24,1.2857,3.3670%
2018-07-23,0.8539,3.3930%
2018-07-22,1.7039,3.4190%
2018-07-20,0.8510,3.4490%
2018-07-19,0.8456,3.4640%
2018-07-18,0.8119,3.4710%
2018-07-17,1.3337,3.4910%
2018-07-16,0.9023,3.5080%
2018-07-15,1.7594,4.4210%
2018-07-13,0.8779,4.1810%
2018-07-12,0.8596,4.0610%
2018-07-11,0.8487,3.9160%
2018-07-10,1.3641,3.8200%
2018-07-09,2.5872,3.6360%
2018-07-08,1.3186,3.0610%
2018-07-06,0.6567,3.9880%
2017-11-27,1.1654,4.2520%
2017-11-26,2.3314,4.2200%
2017-11-24,1.1659,4.1570%
2017-11-23,1.1145,4.1250%
2017-11-22,1.1043,4.1220%
2017-11-21,1.1043,4.0920%
2017-11-20,1.1073,4.0630%
2017-11-19,2.2151,4.0160%
2017-11-17,1.1077,3.9220%
2017-11-16,1.1078,3.8760%
2017-11-15,1.0505,3.8300%
2017-11-14,1.0502,3.8180%
2017-11-13,1.0195,3.8060%
2017-11-12,2.0435,3.8710%
2017-11-10,1.0219,3.9990%
2017-11-09,1.0229,4.0620%
2017-11-08,1.0287,4.1270%
2017-11-07,1.0278,4.2080%
2017-11-06,1.1393,4.2910%
2017-11-05,2.2790,4.2610%
2017-03-26,2.2763,4.2430%
2017-03-24,1.1383,4.2450%
