净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7851,2.9250%
2019-12-07,0.7851,2.9160%
2019-12-06,0.7900,2.9070%
2019-12-05,0.7852,2.8980%
2019-12-04,0.8084,2.9060%
2019-12-03,0.7956,2.8880%
2019-12-02,0.7795,2.8730%
2019-12-01,0.7686,2.8660%
2019-11-30,0.7686,2.8660%
2019-11-29,0.7725,2.8660%
2019-11-28,0.8005,2.8730%
2019-11-27,0.7747,2.8550%
2019-11-26,0.7688,2.8540%
2019-11-25,0.7665,2.8480%
2019-11-24,0.7682,2.8440%
2019-11-23,0.7682,2.8350%
2019-11-22,0.7857,2.8260%
2019-11-21,0.7675,2.8080%
2019-11-20,0.7716,2.7930%
2019-11-19,0.7579,2.7790%
2019-05-22,0.7936,2.9040%
2019-05-21,0.7914,2.8990%
2019-05-20,0.7846,2.8940%
2019-05-19,0.7637,2.8940%
2019-05-18,0.7827,2.9020%
2019-05-17,0.7916,2.9010%
2019-05-16,0.7828,2.8960%
2019-05-15,0.7834,2.8980%
2019-05-14,0.7824,2.9010%
2019-05-13,0.7841,2.9050%
2019-05-12,0.7791,2.9210%
2019-05-11,0.7815,2.9390%
2019-05-10,0.7817,2.9550%
2019-05-09,0.7861,2.9710%
2019-05-08,0.7903,2.9840%
2019-05-07,0.7886,2.9960%
2019-05-06,0.8153,3.0080%
2019-05-05,0.8114,3.0040%
2019-05-04,0.8114,2.9980%
2019-05-03,0.8115,2.9920%
2018-11-03,0.9059,3.4210%
2018-11-02,0.9062,3.4300%
2018-11-01,0.9074,3.4400%
2018-10-31,0.9550,3.4790%
2018-10-30,0.9272,3.4610%
2018-10-29,0.9272,3.4570%
2018-10-28,0.9222,3.4490%
2018-10-27,0.9233,3.4430%
2018-10-26,0.9234,3.4360%
2018-10-25,0.9814,3.4680%
2018-10-24,0.9214,3.4340%
2018-10-23,0.9188,3.4310%
2018-10-22,0.9131,3.4300%
2018-10-21,0.9102,3.4350%
2018-10-20,0.9102,3.4410%
2018-10-19,0.9843,3.4460%
2018-10-18,0.9171,3.4110%
2018-10-17,0.9169,3.4130%
2018-10-16,0.9159,3.4160%
2018-10-15,0.9233,3.4200%
2018-04-17,1.2295,4.6310%
2018-04-16,1.2415,4.6470%
2018-04-15,1.2331,4.6610%
2018-04-14,1.2332,4.6730%
2018-04-13,1.2376,4.6860%
2018-04-12,1.2402,4.6960%
2018-04-11,1.2674,4.7040%
2018-04-10,1.2583,4.7060%
2018-04-09,1.2677,4.7060%
2018-04-08,1.2558,4.6940%
2018-04-07,1.2558,4.6870%
2018-04-06,1.2559,4.6800%
2018-04-05,1.2559,4.7160%
2018-04-04,1.2704,4.7270%
2018-04-03,1.2589,4.7140%
2018-04-02,1.2460,4.6980%
2018-04-01,1.2424,4.6920%
2018-03-31,1.2424,4.6900%
2018-03-30,1.3213,4.6880%
2018-03-29,1.2769,4.6440%
2017-09-29,1.2353,4.5340%
2017-09-28,1.1673,4.5290%
2017-09-27,1.1995,4.5560%
2017-09-26,1.2255,4.5650%
2017-09-25,1.2215,4.6080%
2017-09-24,1.2273,4.6070%
2017-09-23,1.2274,4.5900%
2017-09-22,1.2275,4.5730%
2017-09-21,1.2162,4.5690%
2017-09-20,1.2154,4.5740%
2017-09-19,1.3041,4.5840%
2017-09-18,1.2199,4.5480%
2017-09-17,1.1961,4.5740%
2017-09-16,1.1962,4.5930%
2017-09-15,1.2207,4.6170%
2017-09-14,1.2263,4.6350%
2017-09-13,1.2325,4.6390%
2017-09-12,1.2391,4.6350%
2017-09-11,1.2667,4.6320%
2017-09-10,1.2310,4.6230%
2017-03-13,1.1085,4.1760%
2017-03-12,1.1178,4.2030%
2017-03-11,1.1178,4.2230%
2017-03-10,1.1094,4.2440%
2017-03-09,1.1333,4.2690%
2017-03-08,1.1308,4.2800%
2017-03-07,1.1297,4.2910%
2017-03-06,1.1575,4.3250%
2017-03-05,1.1552,4.3180%
2017-03-04,1.1553,4.2890%
2017-03-03,1.1555,4.2640%
2017-03-02,1.1533,4.2370%
2017-03-01,1.1524,4.2160%
2017-02-28,1.1910,4.1910%
2017-02-27,1.1442,4.1540%
2017-02-26,1.1020,4.1280%
2017-02-25,1.1109,4.1160%
2017-02-24,1.1055,4.0980%
2017-02-23,1.1134,4.0910%
2017-02-22,1.1073,4.0380%
2019-11-18,0.7593,2.7790%
2019-11-17,0.7517,2.7740%
2019-11-16,0.7518,2.7740%
2019-11-15,0.7505,2.7730%
2019-11-14,0.7402,2.7760%
2019-11-13,0.7460,2.7810%
2019-11-12,0.7583,2.7820%
2019-11-11,0.7497,2.7780%
2019-11-10,0.7508,2.7760%
2019-11-09,0.7508,2.7740%
2019-11-08,0.7560,2.7720%
2019-11-07,0.7493,2.7660%
2019-11-06,0.7479,2.7630%
2019-11-05,0.7515,2.7630%
2019-11-04,0.7454,2.7600%
2019-11-03,0.7468,2.7590%
2019-11-02,0.7469,2.7570%
2019-11-01,0.7457,2.7540%
2019-10-31,0.7438,2.7530%
2019-10-30,0.7473,2.7520%
2019-05-02,0.8115,2.9830%
2019-05-01,0.8115,2.9660%
2019-04-30,0.8112,2.9580%
