净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7831,2.9210%
2019-12-07,0.7831,2.9120%
2019-12-06,0.7830,2.9040%
2019-12-05,0.8507,2.8990%
2019-12-04,0.7833,2.8590%
2019-12-03,0.7798,2.8510%
2019-12-02,0.7582,2.8410%
2019-12-01,0.7679,2.8420%
2019-11-30,0.7680,2.8390%
2019-11-29,0.7739,2.8350%
2019-11-28,0.7758,2.8280%
2019-11-27,0.7675,2.8210%
2019-11-26,0.7617,2.8700%
2019-11-25,0.7593,2.8580%
2019-11-24,0.7620,2.8450%
2019-11-23,0.7621,2.8290%
2019-11-22,0.7607,2.8140%
2019-11-21,0.7627,2.7990%
2019-11-20,0.8588,2.7830%
2019-11-19,0.7387,2.7120%
2019-05-22,0.8420,2.8470%
2019-05-21,0.7547,2.8030%
2019-05-20,0.7556,2.8070%
2019-05-19,0.7358,2.8110%
2019-05-18,0.7660,2.8310%
2019-05-17,0.7660,2.8340%
2019-05-16,0.7642,2.8530%
2019-05-15,0.7600,2.8570%
2019-05-14,0.7620,2.9370%
2019-05-13,0.7636,2.9430%
2019-05-12,0.7724,2.9430%
2019-05-11,0.7724,2.9350%
2019-05-10,0.8009,2.9280%
2019-05-09,0.7721,2.9050%
2019-05-08,0.9088,2.8970%
2019-05-07,0.7722,2.8170%
2019-05-06,0.7639,2.8090%
2019-05-05,0.7582,2.8100%
2019-05-04,0.7583,2.8090%
2019-05-03,0.7583,2.8080%
2018-11-03,0.8017,2.9730%
2018-11-02,0.8010,2.9780%
2018-11-01,0.7935,2.9970%
2018-10-31,0.7933,3.0030%
2018-10-30,0.8102,3.0050%
2018-10-29,0.8092,2.9970%
2018-10-28,0.8101,3.1190%
2018-10-27,0.8102,3.0930%
2018-10-26,0.8366,3.0680%
2018-10-25,0.8047,3.0420%
2018-10-24,0.7980,3.0320%
2018-10-23,0.7942,3.1600%
2018-10-22,1.0363,3.2990%
2018-10-21,0.7630,3.6880%
2018-10-20,0.7630,3.7170%
2018-10-19,0.7875,3.7480%
2018-10-18,0.7859,3.7670%
2018-10-17,1.0377,3.8250%
2018-10-16,1.0510,3.8160%
2018-10-15,1.7584,3.6980%
2018-04-17,1.1310,4.1890%
2018-04-16,1.1245,4.1740%
2018-04-15,1.1250,4.1620%
2018-04-14,1.1250,4.1540%
2018-04-13,1.1257,4.1450%
2018-04-12,1.1321,4.1360%
2018-04-11,1.1067,4.1230%
2018-04-10,1.1031,4.1230%
2018-04-09,1.1040,4.1100%
2018-04-08,1.1089,5.2420%
2018-04-07,1.1089,5.3130%
2018-04-06,1.1090,5.3830%
2018-04-05,1.1090,5.4660%
2018-04-04,1.1069,5.5840%
2018-04-03,1.0781,6.1880%
2018-04-02,3.1795,6.2530%
2018-04-01,1.2371,5.5050%
2018-03-31,1.2371,5.4400%
2018-03-30,1.2589,5.3840%
2018-03-29,1.3232,5.4330%
2017-09-29,1.2628,4.3380%
2017-09-28,1.3202,4.2440%
2017-09-27,0.9295,4.1450%
2017-09-26,1.2651,4.2860%
2017-09-25,1.2089,4.1900%
2017-09-24,1.0691,4.0390%
2017-09-23,1.0896,4.0310%
2017-09-22,1.0889,4.0130%
2017-09-21,1.1375,3.9950%
2017-09-20,1.1904,3.9320%
2017-09-19,1.0887,3.8450%
2017-09-18,0.9293,3.8010%
2017-09-17,1.0555,3.7830%
2017-09-16,1.0556,3.7560%
2017-09-15,1.0552,3.7280%
2017-09-14,1.0222,3.7010%
2017-09-13,1.0291,3.6820%
2017-09-12,1.0079,3.6780%
2017-09-11,0.8961,3.6960%
2017-09-10,1.0048,3.7760%
2017-03-13,0.8317,3.1530%
2017-03-12,0.8452,3.1900%
2017-03-11,0.8453,3.1940%
2017-03-10,0.8467,3.1990%
2017-03-09,0.8770,3.2040%
2017-03-08,0.8445,3.2050%
2017-03-07,0.8638,3.2310%
2017-03-06,0.8998,3.2440%
2017-03-05,0.8535,3.2460%
2017-03-04,0.8536,3.2690%
2017-03-03,0.8568,3.2910%
2017-03-02,0.8775,3.3120%
2017-03-01,0.8945,3.3000%
2017-02-28,0.8869,3.2800%
2017-02-27,0.9043,3.2390%
2017-02-26,0.8952,3.1960%
2017-02-25,0.8955,3.1550%
2017-02-24,0.8947,3.1190%
2017-02-23,0.8549,3.0910%
2017-02-22,0.8578,3.1240%
2016-08-25,0.8729,2.8070%
2016-08-24,0.8466,2.7210%
2016-08-23,0.7244,2.6510%
2016-08-22,0.7124,2.6580%
2016-08-21,0.7176,2.6610%
2016-08-20,0.7215,2.6590%
2016-08-19,0.7140,2.6550%
2016-08-18,0.7127,2.6560%
2016-08-17,0.7161,2.6590%
2016-08-16,0.7377,2.6580%
2016-08-15,0.7164,2.6490%
2016-08-14,0.7144,2.6510%
2016-08-13,0.7144,2.6550%
2016-08-12,0.7154,2.6580%
2016-08-11,0.7183,2.6580%
2016-08-10,0.7148,2.6580%
2016-08-09,0.7213,2.6670%
2016-08-08,0.7198,2.6690%
2016-08-07,0.7210,2.6740%
2016-08-06,0.7211,2.6760%
2016-02-07,0.8042,3.0540%
2016-02-06,0.8043,3.0660%
2016-02-05,0.8413,3.0770%
2016-02-04,0.8311,3.0690%
2016-02-03,0.8123,3.1240%
2016-02-02,0.8702,3.1460%
2016-02-01,0.8066,3.1280%
2016-01-31,0.8257,3.1780%
2016-01-30,0.8257,3.1420%
2016-01-29,0.8267,3.1060%
2016-01-28,0.9334,3.0670%
2016-01-27,0.8532,2.9600%
2016-01-26,0.8359,2.8870%
2016-01-25,0.9002,2.8220%
2016-01-24,0.7586,2.7240%
2016-01-23,0.7587,2.6930%
2016-01-22,0.7538,2.6610%
2016-01-21,0.7349,2.6350%
2016-01-20,0.7165,2.6350%
2016-01-19,0.7150,2.6510%
2014-11-18,1.2199,8.2380%
2014-11-17,3.4860,8.0660%
2014-11-16,3.4529,6.7900%
2014-11-14,3.4744,6.0710%
2014-11-13,0.9170,4.7980%
2014-11-12,3.2493,4.8420%
2014-11-11,0.8899,4.7970%
2014-11-10,1.0387,4.8370%
2014-11-09,2.0730,4.8210%
2014-11-07,1.0333,4.7850%
2014-11-06,1.0023,4.7680%
2014-11-05,3.1620,4.7640%
2014-11-04,0.9672,8.8680%
2014-11-03,1.0071,9.8800%
2014-11-02,2.0041,9.7360%
2014-10-31,1.0021,9.4370%
2014-10-30,0.9939,9.2880%
2014-10-29,11.0331,9.1510%
2014-10-28,2.9073,3.7450%
2014-10-27,0.7316,2.6010%
2014-03-18,0.8886,3.3820%
2014-03-17,0.8751,3.5540%
2014-03-16,1.8356,3.6520%
2014-03-14,0.9142,3.7600%
2014-03-13,0.9766,3.8170%
2014-03-12,0.9953,3.7930%
2014-03-11,1.2184,3.6700%
2014-03-10,1.0633,3.3850%
2014-03-09,2.0440,3.2940%
2014-03-07,1.0227,3.1620%
2014-03-06,0.9306,3.1050%
2014-03-05,0.7595,3.3330%
2014-03-04,0.6724,8.0030%
2014-03-03,0.8883,8.5860%
2014-03-02,1.7902,8.8440%
2014-02-28,0.9142,9.4540%
2014-02-27,1.3678,9.7320%
2014-02-26,9.7159,9.8860%
2014-02-25,1.7894,5.6880%
2014-02-24,1.3827,5.6440%
2013-07-14,2.6864,5.4980%
2013-07-12,1.3503,5.9210%
2013-07-11,1.3891,6.1240%
2013-07-10,1.7038,6.3170%
2013-07-09,1.6928,6.3530%
2013-07-08,1.7217,6.4120%
2013-07-07,3.4976,6.4560%
2013-07-05,1.7392,6.5140%
2013-07-04,1.7593,6.5500%
2013-07-03,1.7733,6.5950%
2013-07-02,1.8053,6.5810%
2013-07-01,1.8062,6.5740%
2013-06-30,3.6102,6.3880%
2013-06-28,1.8078,5.5890%
2013-06-27,1.8448,5.1470%
2013-06-26,1.7460,4.7370%
2013-06-25,1.7929,4.3770%
2013-06-24,1.4498,4.0000%
2013-06-23,2.0773,3.7780%
2013-06-21,0.9610,3.8410%
2019-11-18,0.7345,2.7080%
2019-11-17,0.7333,2.7110%
2019-11-16,0.7334,2.7140%
2019-11-15,0.7338,2.7180%
2019-11-14,0.7312,2.7220%
2019-11-13,0.7280,2.7240%
2019-11-12,0.7305,2.7210%
2019-11-11,0.7401,2.7140%
2019-11-10,0.7394,2.6890%
2019-11-09,0.7394,2.6820%
2019-11-08,0.7415,2.6750%
2019-11-07,0.7346,2.7070%
2019-11-06,0.7242,2.7010%
2019-11-05,0.7161,2.7040%
2019-11-04,0.6945,2.7160%
2019-11-03,0.7262,2.7300%
2019-11-02,0.7262,2.7230%
2019-11-01,0.8015,2.7200%
2019-10-31,0.7230,2.6770%
2019-10-30,0.7289,2.6830%
2019-05-02,0.7583,2.8070%
2019-05-01,0.7584,2.8040%
2019-04-30,0.7579,2.8020%
2019-04-29,0.7657,2.8000%
2019-04-28,0.7567,2.7960%
2019-04-27,0.7567,2.7970%
2019-04-26,0.7564,2.7980%
