净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.6939,2.6040%
2019-12-07,0.6940,2.5950%
2019-12-06,0.6950,2.5860%
2019-12-05,0.7101,2.5730%
2019-12-04,0.7175,2.5680%
2019-12-03,0.7126,2.5680%
2019-12-02,0.7064,2.5730%
2019-12-01,0.6777,2.5780%
2019-11-30,0.6777,2.5970%
2019-11-29,0.6707,2.6150%
2019-11-28,0.7003,2.9720%
2019-11-27,0.7178,2.9850%
2019-11-26,0.7216,2.9860%
2019-11-25,0.7162,2.9740%
2019-11-24,0.7122,2.9650%
2019-11-23,0.7122,2.9490%
2019-11-22,1.3370,2.9330%
2019-11-21,0.7248,2.5830%
2019-11-20,0.7196,2.5570%
2019-11-19,0.6991,2.5370%
2019-05-22,0.6257,2.3680%
2019-05-21,0.5928,2.3890%
2019-05-20,0.6535,2.4340%
2019-05-19,0.6550,2.4450%
2019-05-18,0.6550,2.4420%
2019-05-17,0.6592,2.4400%
2019-05-16,0.6475,2.4590%
2019-05-15,0.6649,2.4900%
2019-05-14,0.6767,2.5160%
2019-05-13,0.6744,2.5230%
2019-05-12,0.6501,2.5320%
2019-05-11,0.6501,2.5670%
2019-05-10,0.6949,2.6020%
2019-05-09,0.7058,2.6140%
2019-05-08,0.7143,2.6190%
2019-05-07,0.6895,2.6200%
2019-05-06,0.6913,2.6410%
2019-05-05,0.7158,2.6550%
2019-05-04,0.7158,2.6510%
2019-05-03,0.7159,2.6460%
2018-11-03,0.6362,2.3760%
2018-11-02,0.6367,2.4040%
2018-11-01,0.6283,2.4760%
2018-10-31,0.6383,2.5070%
2018-10-30,0.6391,2.5280%
2018-10-29,0.6356,2.5150%
2018-10-28,0.6890,2.5360%
2018-10-27,0.6890,2.5280%
2018-10-26,0.7723,2.5200%
2018-10-25,0.6855,2.5340%
2018-10-24,0.6777,2.5380%
2018-10-23,0.6143,2.5600%
2018-10-22,0.6750,2.6100%
2018-10-21,0.6742,2.6970%
2018-10-20,0.6742,2.7120%
2018-10-19,0.7977,2.7270%
2018-10-18,0.6946,2.6810%
2018-10-17,0.7180,2.6840%
2018-10-16,0.7070,2.7310%
2018-10-15,0.8383,2.7800%
2018-04-17,1.0270,3.2440%
2018-04-16,1.0256,3.2700%
2018-04-15,0.7960,3.2290%
2018-04-14,0.7960,3.2210%
2018-04-13,0.8706,3.2130%
2018-04-12,0.7992,3.1650%
2018-04-11,0.8081,3.1560%
2018-04-10,1.0757,3.1550%
2018-04-09,0.9489,3.0320%
2018-04-08,0.7810,3.3960%
2018-04-07,0.7810,3.5450%
2018-04-06,0.7825,3.7000%
2018-04-05,0.7825,3.8480%
2018-04-04,0.8062,3.9710%
2018-04-03,0.8466,4.0940%
2018-04-02,1.6252,4.1460%
2018-04-01,1.0570,4.8530%
2018-03-31,1.0680,4.7810%
2018-03-30,1.0569,4.7030%
2018-03-29,1.0091,4.5630%
2017-09-28,1.1739,4.4470%
2017-09-27,1.1817,4.4670%
2017-09-26,1.2034,4.4810%
2017-09-25,1.2014,4.4750%
2017-09-24,1.1948,4.4600%
2017-09-23,1.1949,4.4540%
2017-09-22,1.1951,4.4480%
2017-09-21,1.2100,4.4430%
2017-09-20,1.2084,4.4260%
2017-09-19,1.1912,4.4120%
2017-09-18,1.1734,4.4120%
2017-09-17,1.1846,4.4190%
2017-09-16,1.1847,4.4230%
2017-09-15,1.1848,4.4270%
2017-09-14,1.1793,4.4310%
2017-09-13,1.1825,4.4350%
2017-09-12,1.1911,4.4410%
2017-09-11,1.1857,4.4400%
2017-09-10,1.1921,4.4450%
2017-09-09,1.1922,4.4360%
2017-03-12,1.0689,4.0590%
2017-03-11,1.0690,4.1500%
2017-03-10,1.0692,4.2410%
