净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7135,2.6660%
2019-12-07,0.7136,2.6700%
2019-12-06,0.7139,2.6740%
2019-12-05,0.7136,2.6850%
2019-12-04,0.7408,2.6930%
2019-12-03,0.7232,2.7170%
2019-12-02,0.7283,2.7440%
2019-12-01,0.7210,2.8270%
2019-11-30,0.7210,2.8290%
2019-11-29,0.7337,2.8310%
2019-11-28,0.7291,2.9340%
2019-11-27,0.7855,2.9320%
2019-11-26,0.7736,2.9080%
2019-11-25,0.8830,2.8780%
2019-11-24,0.7242,2.8060%
2019-11-23,0.7247,2.7960%
2019-11-22,0.9253,2.7850%
2019-11-21,0.7268,2.6870%
2019-11-20,0.7399,2.6770%
2019-11-19,0.7183,2.6590%
2019-05-22,0.7796,2.8700%
2019-05-21,0.7798,2.8550%
2019-05-20,0.8887,2.9890%
2019-05-19,0.7106,2.9760%
2019-05-18,0.7148,2.9820%
2019-05-17,0.7441,2.9850%
2019-05-16,0.8099,2.9690%
2019-05-15,0.7517,3.0000%
2019-05-14,1.0294,3.1790%
2019-05-13,0.8644,3.0180%
2019-05-12,0.7209,2.9700%
2019-05-11,0.7215,2.9730%
2019-05-10,0.7140,2.9730%
2019-05-09,0.8680,2.9770%
2019-05-08,1.0842,2.8990%
2019-05-07,0.7297,2.7110%
2019-05-06,0.7742,2.7280%
2019-05-05,0.7278,2.7690%
2019-05-04,0.7209,2.7700%
2019-05-03,0.7210,2.7750%
2018-11-03,0.6960,2.8130%
2018-11-02,0.6963,2.8230%
2018-11-01,0.6880,2.9630%
2018-10-31,0.6919,2.9830%
2018-10-30,0.7919,3.1620%
2018-10-29,1.0423,3.1560%
2018-10-28,0.7140,3.0520%
2018-10-27,0.7152,3.0480%
2018-10-26,0.9573,3.0420%
2018-10-25,0.7257,2.9120%
2018-10-24,1.0234,2.9010%
2018-10-23,0.7807,2.7390%
2018-10-22,0.8501,2.9590%
2018-10-21,0.7053,2.9590%
2018-10-20,0.7056,2.9720%
2018-10-19,0.7142,2.9850%
2018-10-18,0.7060,3.0120%
2018-10-17,0.7202,3.0760%
2018-10-16,1.1911,3.1210%
2018-10-15,0.8507,2.8730%
2018-04-17,1.1249,4.2420%
2018-04-16,1.1213,4.2280%
2018-04-15,1.0880,4.3430%
2018-04-14,1.0881,4.3770%
2018-04-13,1.1534,4.4100%
2018-04-12,1.1717,4.4090%
2018-04-11,1.2198,4.3970%
2018-04-10,1.0990,4.3600%
2018-04-09,1.3331,4.4020%
2018-04-08,1.1502,4.3160%
2018-04-07,1.1503,4.3280%
2018-04-06,1.1504,4.3390%
2018-04-05,1.1505,4.3500%
2018-04-04,1.1518,4.3540%
2018-04-03,1.1751,4.3760%
2018-04-02,1.1765,4.4560%
2018-04-01,1.1709,4.4280%
2018-03-31,1.1710,4.3600%
2018-03-30,1.1713,4.2940%
2018-03-29,1.1577,4.2360%
2017-09-28,1.2888,4.4430%
2017-09-27,1.2158,4.4030%
2017-09-26,1.1947,4.3770%
2017-09-25,1.2013,4.3530%
2017-09-24,1.1356,4.3280%
2017-09-23,1.1414,4.3120%
2017-09-22,1.1605,4.3070%
2017-09-21,1.2154,4.3580%
2017-09-20,1.1671,4.3310%
2017-09-19,1.1515,4.3350%
2017-09-18,1.1553,4.3480%
2017-09-17,1.1061,4.3700%
2017-09-16,1.1318,4.3900%
2017-09-15,1.2533,4.3970%
2017-09-14,1.1658,4.3550%
2017-09-13,1.1761,4.3630%
2017-09-12,1.1742,4.2910%
2017-09-11,1.1966,4.2610%
2017-09-10,1.1418,4.2720%
2017-09-09,1.1450,4.2830%
2017-03-12,0.8461,3.3320%
2017-03-11,0.8470,3.4130%
2017-03-10,0.8495,3.4930%
2017-03-09,0.8682,3.5760%
2017-03-08,0.8892,3.6910%
2017-03-07,0.9919,3.7970%
2017-03-06,0.9947,3.8360%
2017-03-05,0.9961,3.8240%
2017-03-04,0.9962,3.8070%
2017-03-03,1.0026,3.7890%
2017-03-02,1.0799,3.8040%
2017-03-01,1.0852,3.7710%
2017-02-28,1.0650,3.7410%
2017-02-27,0.9728,3.6990%
2017-02-26,0.9634,3.6700%
2017-02-25,0.9635,3.6790%
2017-02-24,1.0304,3.6890%
2017-02-23,1.0184,3.6500%
2017-02-22,1.0303,3.6210%
2017-02-21,0.9873,3.5870%
2016-08-24,0.6317,2.3790%
2016-08-23,0.6591,2.3870%
2016-08-22,0.6604,2.4440%
2016-08-21,0.6409,2.4370%
2016-08-20,0.6409,2.4480%
2016-08-19,0.6377,2.4590%
2016-08-18,0.6390,2.4740%
2016-08-17,0.6460,2.4910%
2016-08-16,0.7651,2.5090%
2016-08-15,0.6488,2.4690%
2016-08-14,0.6608,2.4910%
2016-08-13,0.6608,2.4970%
2016-08-12,0.6663,2.5040%
2016-08-11,0.6713,2.9820%
2016-08-10,0.6789,3.1540%
2016-08-09,0.6912,3.1470%
2016-08-08,0.6890,3.1120%
2016-08-07,0.6733,3.1650%
2016-08-06,0.6733,3.1290%
2016-08-05,1.5586,3.0930%
2016-02-06,0.6293,3.0330%
2016-02-05,0.6286,3.0340%
2016-02-04,0.6261,2.9850%
2016-02-03,0.6732,2.9780%
2016-02-02,1.9195,2.9570%
2016-02-01,0.6236,2.2730%
2016-01-31,0.6306,2.8330%
2016-01-30,0.6306,2.8250%
2016-01-29,0.5377,2.8180%
2016-01-28,0.6123,2.8450%
2016-01-27,0.6344,2.8270%
2016-01-26,0.6421,2.8040%
2016-01-25,1.6698,2.7530%
2016-01-24,0.6168,2.1600%
2016-01-23,0.6168,2.1260%
2016-01-22,0.5874,2.0910%
2016-01-21,0.5802,2.0730%
2016-01-20,0.5900,2.0620%
2016-01-19,0.5475,2.0480%
2016-01-18,0.5602,2.0840%
2015-07-21,0.6126,2.2270%
2015-07-20,0.6227,2.2110%
2015-07-19,0.6059,2.1740%
2015-07-18,0.6059,2.1720%
2015-07-17,0.6055,2.1700%
2015-07-16,0.6353,2.1680%
2015-07-15,0.5835,2.1120%
2015-07-14,0.5819,2.1790%
2015-07-13,0.5507,2.2550%
2015-07-12,0.6019,2.3450%
2015-07-11,0.6019,2.4110%
2015-07-10,0.6026,2.4770%
2015-07-09,0.5288,2.5410%
2015-07-08,0.7104,2.5790%
2015-07-07,0.7285,2.5420%
2015-07-06,0.7238,2.5260%
2015-07-05,0.7281,2.5460%
2015-07-04,0.7281,2.5740%
2015-07-03,0.7259,2.6020%
2015-07-02,0.6010,2.6260%
2019-11-18,0.7488,2.6560%
2019-11-17,0.7043,2.6600%
2019-11-16,0.7043,2.6610%
2019-11-15,0.7422,2.6630%
2019-11-14,0.7086,2.6440%
2019-11-13,0.7059,2.7500%
2019-11-12,0.7135,2.7660%
2019-11-11,0.7562,2.7690%
2019-11-10,0.7066,2.8290%
2019-11-09,0.7075,2.8330%
2019-11-08,0.7076,2.8360%
2019-11-07,0.9061,2.8710%
2019-11-06,0.7352,2.7680%
2019-11-05,0.7187,2.7560%
2019-11-04,0.8687,2.7550%
2019-11-03,0.7131,2.6950%
2019-11-02,0.7131,2.6970%
2019-11-01,0.7736,2.6990%
2019-10-31,0.7136,2.6680%
2019-10-30,0.7130,2.6690%
2019-05-02,0.7234,2.8000%
2019-05-01,0.7330,2.8030%
2019-04-30,0.7618,2.7970%
2019-04-29,0.8507,2.7850%
2019-04-28,0.7302,2.7460%
2019-04-27,0.7303,2.7450%
2019-04-26,0.7669,2.7450%
2019-04-25,0.7294,2.7670%
2019-04-24,0.7211,2.7650%
