净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.6414,2.8660%
2019-12-07,0.6414,2.8780%
2019-12-06,0.6419,2.8910%
2019-12-05,0.6485,2.9030%
2019-12-04,0.6881,3.8550%
2019-12-03,0.6665,3.9260%
2019-12-02,1.4910,3.9590%
2019-12-01,0.6649,3.4370%
2019-11-30,0.6649,3.4250%
2019-11-29,0.6642,3.4120%
2019-11-28,2.4153,3.3990%
2019-11-27,0.8188,2.6290%
2019-11-26,0.7284,2.6380%
2019-11-25,0.5254,2.5930%
2019-11-24,0.6411,2.7890%
2019-11-23,0.6411,2.7930%
2019-11-22,0.6410,2.7980%
2019-11-21,0.9817,2.8480%
2019-11-20,0.8351,2.6750%
2019-11-19,0.6440,2.5950%
2019-05-22,1.7816,3.6740%
2019-05-21,0.6334,3.1560%
2019-05-20,0.6396,3.6570%
2019-05-19,0.6436,3.6340%
2019-05-18,0.6436,3.6010%
2019-05-17,0.8227,3.5690%
2019-05-16,1.7561,4.0270%
2019-05-15,0.8208,3.3930%
2019-05-14,1.5631,3.7140%
2019-05-13,0.5959,3.1910%
2019-05-12,0.5835,3.1900%
2019-05-11,0.5834,3.1980%
2019-05-10,1.6701,3.2080%
2019-05-09,0.5824,2.6340%
2019-05-08,1.4156,2.6440%
2019-05-07,0.5928,2.2090%
2019-05-06,0.5952,2.2170%
2019-05-05,0.5980,2.6440%
2019-05-04,0.6011,2.6260%
2019-05-03,0.6011,2.6060%
2018-11-03,0.7738,2.9690%
2018-11-02,0.9920,2.9680%
2018-11-01,0.7723,2.8500%
2018-10-31,0.7599,2.8500%
2018-10-30,0.7733,2.8530%
2018-10-29,0.7673,2.8290%
2018-10-28,0.7723,3.0760%
2018-10-27,0.7723,3.0570%
2018-10-26,0.7719,3.0370%
2018-10-25,0.7718,3.0200%
2018-10-24,0.7671,3.0110%
2018-10-23,0.7275,2.9570%
2018-10-22,1.2285,3.2920%
2018-10-21,0.7359,3.0160%
2018-10-20,0.7359,3.0290%
2018-10-19,0.7399,3.0420%
2018-10-18,0.7554,3.3020%
2018-10-17,0.6662,3.9720%
2018-10-16,1.3503,4.0390%
2018-10-15,0.7160,4.3780%
2018-04-17,1.0235,3.7690%
2018-04-16,1.0079,3.9130%
2018-04-15,1.0061,3.9440%
2018-04-14,1.0061,4.0250%
2018-04-13,1.0059,4.1050%
2018-04-12,1.0051,4.1850%
2018-04-11,1.0408,4.2660%
2018-04-10,1.2898,4.3340%
2018-04-09,1.0654,4.2590%
2018-04-08,1.1543,4.2530%
2018-04-07,1.1543,4.3080%
2018-04-06,1.1542,4.3640%
2018-04-05,1.1542,4.4230%
2018-04-04,1.1642,4.4650%
2018-04-03,1.1521,4.5070%
2018-04-02,1.0551,4.5440%
2018-04-01,1.2560,4.6560%
2018-03-31,1.2560,4.6060%
2018-03-30,1.2623,4.5660%
2018-03-29,1.2330,4.5300%
2017-09-29,1.3116,4.4970%
2017-09-28,1.1745,4.4290%
2017-09-27,1.2137,4.4330%
2017-09-26,1.1640,4.4090%
2017-09-25,1.2104,4.4070%
2017-09-24,1.1813,4.3710%
2017-09-23,1.1812,4.3590%
2017-09-22,1.1864,4.3480%
2017-09-21,1.1819,4.3480%
2017-09-20,1.1707,4.3420%
2017-09-19,1.1596,4.3410%
2017-09-18,1.1434,4.3440%
2017-09-17,1.1601,4.3470%
