净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.6872,2.6700%
2019-12-05,0.6843,2.9450%
2019-12-04,0.6885,2.9630%
2019-12-03,0.8230,2.9780%
2019-12-02,0.7204,2.9260%
2019-12-01,1.4511,2.9140%
2019-11-29,1.1995,2.8830%
2019-11-28,0.7183,2.8560%
2019-11-27,0.7168,2.8430%
2019-11-26,0.7260,2.8430%
2019-11-25,0.6971,2.8150%
2019-11-24,1.3938,2.8780%
2019-11-22,1.1488,2.8660%
2019-11-21,0.6936,2.6200%
2019-11-20,0.7165,2.5990%
2019-11-19,0.6738,2.5460%
2019-11-18,0.8149,2.6750%
2019-11-17,1.3713,2.5690%
2019-11-15,0.6898,2.4940%
2019-11-14,0.6546,2.8380%
2019-04-04,0.6929,6.3980%
2019-04-03,0.7382,6.3640%
2019-04-02,0.7705,6.3090%
2019-04-01,4.5295,6.2150%
2019-03-31,1.3622,4.0750%
2019-03-29,3.8029,4.0330%
2019-03-28,0.6313,2.3310%
2019-03-27,0.6383,2.3360%
2019-03-26,0.6008,2.3400%
2019-03-25,0.6255,2.4750%
2019-03-24,1.2845,2.4870%
2019-03-22,0.6386,2.4760%
2019-03-21,0.6411,2.4720%
2019-03-20,0.6463,2.4620%
2019-03-19,0.8523,2.6180%
2019-03-18,0.6489,2.4990%
2019-03-17,1.2631,2.4900%
2019-03-15,0.6311,2.4910%
2019-03-14,0.6225,2.4910%
2019-03-13,0.9380,2.5010%
2018-07-29,1.9441,3.5830%
2018-07-27,0.9723,3.5590%
2018-07-26,0.9690,3.5460%
2018-07-25,0.9658,3.5450%
2018-07-24,0.9490,3.5430%
2018-07-23,0.9512,3.5510%
2018-07-22,1.8993,3.5540%
2018-07-20,0.9486,3.5760%
2018-07-19,0.9680,3.5880%
2018-07-18,0.9613,3.5840%
2018-07-17,0.9633,3.5850%
2018-07-16,0.9583,3.5910%
2018-07-15,1.9386,3.6060%
2018-07-13,0.9715,3.6200%
2018-07-12,0.9596,3.6260%
2018-07-11,0.9638,3.6550%
