净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7360,2.8540%
2019-12-07,0.7361,2.8380%
2019-12-06,0.7356,2.8220%
2019-12-05,0.7748,2.8670%
2019-12-04,0.9459,2.8240%
2019-12-03,0.6942,2.6890%
2019-12-02,0.7745,2.8830%
2019-12-01,0.7060,2.9040%
2019-11-30,0.7060,2.8950%
2019-11-29,0.8192,2.8850%
2019-11-28,0.6961,2.9030%
2019-11-27,0.6929,3.0800%
2019-11-26,1.0559,3.1500%
2019-11-25,0.8138,3.0040%
2019-11-24,0.6886,3.1110%
2019-11-23,0.6887,3.1000%
2019-11-22,0.8524,3.0900%
2019-11-21,1.0253,3.1560%
2019-11-20,0.8232,3.0060%
2019-11-19,0.7844,2.9860%
2019-05-22,0.9175,2.9210%
2019-05-21,0.7263,2.9040%
2019-05-20,0.9233,2.9090%
2019-05-19,0.7370,2.8920%
2019-05-18,0.7370,2.8950%
2019-05-17,0.7419,2.8980%
2019-05-16,0.7381,2.8990%
2019-05-15,0.8872,2.9040%
2019-05-14,0.7349,2.8350%
2019-05-13,0.8916,2.9480%
2019-05-12,0.7427,2.8720%
2019-05-11,0.7428,2.8640%
2019-05-10,0.7431,2.8550%
2019-05-09,0.7485,2.8460%
2019-05-08,0.7583,2.8350%
2019-05-07,0.9443,2.8180%
2019-05-06,0.7508,2.7020%
2019-05-05,0.7269,2.6860%
2019-05-04,0.7270,2.7240%
2019-05-03,0.7270,2.7160%
2018-11-03,0.5901,3.2810%
2018-11-02,1.4823,3.2780%
2018-11-01,0.8603,2.9540%
2018-10-31,0.7117,2.8600%
2018-10-30,0.8252,2.8350%
2018-10-29,1.1362,2.8030%
2018-10-28,0.5855,2.9700%
2018-10-27,0.5855,2.9390%
2018-10-26,0.8786,2.9090%
2018-10-25,0.6859,2.8150%
2018-10-24,0.6647,2.8720%
2018-10-23,0.7654,2.8670%
2018-10-22,1.4475,2.8430%
2018-10-21,0.5284,3.0450%
2018-10-20,0.5284,3.0180%
2018-10-19,0.7044,2.9920%
2018-10-18,0.7923,2.9670%
2018-10-17,0.6548,2.9050%
2018-10-16,0.7198,2.8700%
2018-10-15,1.8250,2.8220%
2018-03-26,1.1353,4.2800%
2018-03-25,2.3184,4.2870%
2018-03-23,1.1602,4.2770%
2018-03-22,1.1547,4.2710%
2018-03-21,1.1551,4.2640%
2018-03-20,1.1132,4.2630%
2018-03-19,1.1493,4.2830%
2018-03-18,2.2990,4.2910%
2018-03-16,1.1497,4.3710%
2018-03-15,1.1421,4.4120%
2018-03-14,1.1531,4.4590%
2018-03-13,1.1506,4.5030%
2018-03-12,1.1635,4.5430%
2018-03-11,2.4471,4.5840%
2018-03-09,1.2246,4.6100%
2018-03-08,1.2274,4.6230%
2018-03-07,1.2348,4.6350%
2018-03-06,1.2233,4.6410%
2018-03-05,1.2387,4.6570%
2018-03-04,2.4957,4.6710%
2017-07-23,1.5749,3.5830%
2017-07-21,1.0039,3.8110%
2017-07-20,1.0466,3.7980%
2017-07-19,1.0514,3.7720%
2017-07-18,1.0847,3.7430%
2017-07-17,0.9906,3.6970%
2017-07-16,1.9952,4.9840%
2017-07-14,0.9813,4.9450%
2017-07-13,0.9980,4.9350%
2017-07-12,0.9982,6.6740%
2017-07-11,0.9990,6.6360%
2017-07-10,3.3566,6.5960%
2017-07-09,1.9245,5.3080%
2017-07-07,0.9623,5.2590%
2017-07-06,4.1523,5.3450%
2017-07-05,0.9286,3.6860%
2017-07-04,0.9274,3.7900%
2017-07-03,1.0252,3.8930%
2017-07-02,1.8352,3.9360%
2017-06-30,1.1187,4.1500%
2016-11-20,1.3592,2.5120%
2016-11-18,0.6796,2.5170%
2016-11-17,0.6804,2.5190%
2016-11-16,0.6802,2.5190%
2016-11-15,0.6794,2.5200%
2016-11-14,0.6794,2.5210%
2016-11-13,1.3680,2.5230%
2016-11-11,0.6841,2.5250%
2016-11-10,0.6800,2.5260%
2016-11-09,0.6826,2.5270%
2016-11-08,0.6813,2.5230%
2016-11-07,0.6827,2.5200%
2016-11-06,1.3719,2.5160%
2016-11-04,0.6860,2.5050%
2016-11-03,0.6811,2.4990%
2016-11-02,0.6753,2.4960%
2016-11-01,0.6753,2.4960%
2016-10-31,0.6755,2.4980%
2016-10-30,1.3511,2.5010%
2016-10-28,0.6756,2.5120%
2016-03-17,0.7164,5.8150%
2016-03-16,0.7165,5.7780%
2016-03-15,0.7166,5.7400%
2016-03-14,6.7254,5.7030%
2016-03-13,1.3157,2.4080%
2016-03-11,0.6514,2.4030%
2016-03-10,0.6487,2.4040%
2016-03-09,0.6487,2.4040%
2016-03-08,0.6489,2.4030%
2016-03-07,0.6492,2.4020%
2016-03-06,1.3065,2.4020%
2016-03-04,0.6533,2.3970%
2016-03-03,0.6489,2.3950%
2016-03-02,0.6470,2.3910%
2016-03-01,0.6467,2.3920%
2016-02-29,0.6503,2.3930%
2016-02-28,1.2974,2.3930%
2016-02-26,0.6487,2.4000%
2016-02-25,0.6411,2.4030%
2016-02-24,0.6488,2.4080%
2019-11-18,1.0121,2.9540%
2019-11-17,0.6693,2.8590%
2019-11-16,0.6693,2.8480%
2019-11-15,0.9756,2.8380%
2019-11-14,0.7465,2.7250%
2019-11-13,0.7864,2.6870%
2019-11-12,0.7239,2.6290%
2019-11-11,0.8345,2.5950%
2019-11-10,0.6501,2.5670%
2019-11-09,0.6502,2.5720%
2019-11-08,0.7640,2.5780%
2019-11-07,0.6759,2.5220%
2019-11-06,0.6792,2.5150%
2019-11-05,0.6604,2.5040%
2019-11-04,0.7807,2.5050%
2019-11-03,0.6602,2.6340%
2019-11-02,0.6605,2.6330%
2019-11-01,0.6607,2.6320%
2019-10-31,0.6613,2.6300%
2019-10-30,0.6603,2.6280%
2019-05-02,0.7270,2.7430%
2019-05-01,0.7271,2.7310%
2019-04-30,0.7269,2.7200%
2019-04-29,0.7224,2.7080%
2019-04-28,0.7979,2.7010%
2019-04-27,0.7121,2.6490%
2019-04-26,0.7769,2.6420%
2019-04-25,0.7046,2.7020%
2019-04-24,0.7055,2.7030%
2019-04-23,0.7051,2.7000%
2019-04-22,0.7093,2.7000%
2019-04-21,0.7001,2.6980%
2019-04-20,0.7001,2.7020%
2019-04-19,0.8889,2.7060%
2019-04-18,0.7064,2.6870%
2019-04-17,0.7003,2.7160%
2019-04-16,0.7051,2.7140%
2019-04-15,0.7058,2.7470%
2019-04-14,0.7069,2.7500%
2019-04-13,0.7069,2.7820%
2018-10-14,0.4785,3.3210%
2018-10-13,0.4785,3.2890%
2018-10-12,0.6585,3.2570%
2018-10-11,0.6777,3.1280%
2018-10-10,0.5884,2.9890%
2018-10-09,0.6305,2.8980%
2018-10-08,2.7543,2.7840%
2018-10-07,0.4188,1.5400%
2018-10-06,0.4188,1.5400%
2018-10-05,0.4187,1.5400%
2018-10-04,0.4187,2.9610%
2018-10-03,0.4186,2.9500%
2018-10-02,0.4186,3.1740%
2018-10-01,0.4186,4.2090%
2018-09-30,0.4185,4.1430%
2018-09-29,0.4185,4.0790%
2018-09-28,3.0856,4.0350%
2018-09-27,0.3973,3.2030%
2018-09-26,0.8366,3.3180%
2018-09-25,2.3316,3.3410%
2018-03-02,1.2483,4.6850%
2018-03-01,1.2488,4.6930%
2018-02-28,1.2465,4.7110%
2018-02-27,1.2517,4.7090%
2018-02-26,1.2643,4.7040%
2018-02-25,2.5226,4.6920%
2018-02-23,1.2617,4.6710%
2018-02-22,1.2829,4.6600%
2018-02-21,8.6961,4.6380%
2018-02-14,1.2450,4.6270%
2018-02-13,1.2600,4.6170%
2018-02-12,1.2461,4.5990%
2018-02-11,2.4616,4.5960%
2018-02-09,1.2307,4.6060%
2018-02-08,1.2315,4.6120%
2018-02-07,1.2271,4.6250%
2018-02-06,1.2276,4.6350%
2018-02-05,1.2390,4.6370%
2018-02-04,2.4812,4.6270%
2018-02-02,1.2404,4.6010%
2017-06-29,1.1074,4.1470%
2017-06-28,1.1205,4.1400%
2017-06-27,1.1178,4.1290%
2017-06-26,1.1051,4.1150%
2017-06-25,2.2285,4.1110%
2017-06-23,1.1144,4.0970%
2017-06-22,1.0942,4.0900%
2017-06-21,1.1008,4.1000%
2017-06-20,1.0914,4.1050%
2017-06-19,1.0969,4.0960%
2017-06-18,2.2037,4.0840%
2017-06-16,1.1020,4.0560%
2017-06-15,1.1116,4.0410%
2017-06-14,1.1103,4.0210%
2017-06-13,1.0751,4.0030%
2017-06-12,1.0751,4.0000%
2017-06-11,2.1505,3.9980%
2017-06-09,1.0753,4.0030%
2017-06-08,1.0754,4.0060%
2017-06-07,1.0758,4.0080%
2016-10-27,0.6757,2.5100%
2016-10-26,0.6755,2.5140%
2016-10-25,0.6793,2.5180%
2016-10-24,0.6811,2.5180%
2016-10-23,1.3713,2.5190%
2016-10-21,0.6714,2.5210%
2016-10-20,0.6830,2.5290%
2016-10-19,0.6838,2.5280%
2016-10-18,0.6795,2.5260%
2016-10-17,0.6829,2.5250%
2016-10-16,1.3739,2.5220%
2016-10-14,0.6869,2.5120%
2016-10-13,0.6819,2.5060%
2016-10-12,0.6788,2.5040%
2016-10-11,0.6782,2.5030%
2016-10-10,0.6774,2.5030%
2016-10-09,6.0959,2.5030%
2016-09-30,0.6776,2.5270%
2016-09-29,0.6784,2.5350%
2016-09-28,0.6832,2.5380%
2016-02-23,0.6498,2.4070%
2016-02-22,0.6501,2.3980%
2016-02-21,1.3093,2.3900%
2016-02-19,0.6543,2.3660%
2016-02-18,0.6508,2.3540%
2016-02-17,0.6470,2.3440%
2016-02-16,0.6338,2.3360%
2016-02-15,0.6339,2.3350%
2016-02-14,5.6905,2.3340%
2016-02-05,0.6324,2.3880%
2016-02-04,0.6321,2.4010%
2016-02-03,0.6501,2.4110%
2016-02-02,0.6493,2.4110%
2016-02-01,0.6498,2.4110%
2016-01-31,1.3127,2.4110%
2016-01-29,0.6564,2.4090%
2016-01-28,0.6501,2.4070%
2016-01-27,0.6501,2.8580%
2016-01-26,0.6502,2.8430%
2016-01-25,0.6505,2.8340%
2019-10-29,0.6621,2.6940%
2019-10-28,1.0211,2.6940%
2019-10-27,0.6583,2.4980%
2019-10-26,0.6583,2.4910%
2019-10-25,0.6580,2.4860%
2019-10-24,0.6561,2.5480%
2019-10-23,0.7848,2.5300%
2019-10-22,0.6615,2.5870%
2019-10-21,0.6559,2.5770%
2019-10-20,0.6441,2.5930%
2019-10-19,0.6482,2.5840%
2019-10-18,0.7752,2.5740%
2019-10-17,0.6224,2.5500%
2019-10-16,0.8918,2.5940%
2019-10-15,0.6418,2.4630%
2019-10-14,0.6858,2.5390%
2019-10-13,0.6284,2.5340%
2019-10-12,0.6284,2.5580%
2019-10-11,0.7314,2.5830%
2019-10-10,0.7031,2.5530%
2019-04-12,0.8532,2.8140%
2019-04-11,0.7619,2.7680%
2019-04-10,0.6951,2.7700%
2019-04-09,0.7684,2.8190%
2019-04-08,0.7109,2.8320%
2019-04-07,0.7665,2.8810%
2019-04-06,0.7666,2.8970%
2019-04-05,0.7666,2.9130%
2019-04-04,0.7668,2.9280%
2019-04-03,0.7859,2.9490%
2019-04-02,0.7928,2.9570%
2019-04-01,0.8018,2.9500%
2019-03-31,0.7962,2.9400%
2019-03-30,0.7962,2.9340%
2019-03-29,0.7958,2.9270%
2019-03-28,0.8046,3.1010%
2019-03-27,0.8008,3.0910%
2019-03-26,0.7796,3.0750%
2019-03-25,0.7846,3.2280%
2019-03-24,0.7839,3.3160%
2018-09-24,0.2982,2.5920%
2018-09-23,0.3010,3.5130%
2018-09-22,0.3360,3.4740%
2018-09-21,1.5455,3.4160%
2018-09-20,0.6117,3.0140%
2018-09-19,0.8796,3.0950%
2018-09-18,0.9353,2.9330%
2018-09-17,2.0137,2.8840%
2018-09-16,0.2274,2.7400%
2018-09-15,0.2296,2.7820%
2018-09-14,0.7972,2.8220%
2018-09-13,0.7638,2.9070%
2018-09-12,0.5769,2.7800%
2018-09-11,0.8444,2.7720%
2018-09-10,1.7451,3.0220%
2018-09-09,0.3054,2.8320%
2018-09-08,0.3053,3.0900%
2018-09-07,0.9553,3.3500%
2018-09-06,0.5260,3.3030%
2018-09-05,0.5619,3.5740%
2018-02-01,1.2555,4.5880%
2018-01-31,1.2461,4.5620%
2018-01-30,1.2321,4.5390%
2018-01-29,1.2206,4.5360%
2018-01-28,2.4327,4.5450%
2018-01-26,1.2159,4.5890%
2018-01-25,1.2087,4.6100%
2018-01-24,1.2042,4.6400%
2018-01-23,1.2252,4.6610%
2018-01-22,1.2387,4.6560%
2018-01-21,2.5123,4.6350%
2018-01-19,1.2555,4.5630%
2018-01-18,1.2625,4.5270%
2018-01-17,1.2438,4.4780%
2018-01-16,1.2159,4.4340%
2018-01-15,1.1994,4.4010%
2018-01-14,2.3810,4.3840%
2018-01-12,1.1892,4.3750%
2018-01-11,1.1728,4.3750%
2018-01-10,1.1629,4.4000%
2017-06-06,1.0707,4.1030%
2017-06-05,1.0706,4.2120%
2017-06-04,2.1602,4.3220%
2017-06-02,1.0802,4.5320%
2017-06-01,1.0801,4.6400%
2017-05-31,1.2494,4.7850%
2017-05-30,5.0904,4.5160%
2017-05-26,1.2793,2.7950%
2017-05-25,1.3447,2.4110%
2017-05-24,0.7579,1.9850%
2017-05-23,0.2321,1.8160%
2017-05-22,0.5482,1.8770%
2017-05-21,1.1244,1.8280%
2017-05-19,0.5623,1.7700%
2017-05-18,0.5440,1.7850%
2017-05-17,0.4400,1.8160%
2017-05-16,0.3476,1.9020%
2017-05-15,0.4561,2.0600%
2017-05-14,1.0147,2.1620%
2017-05-12,0.5915,2.3250%
2016-09-27,0.6869,2.5320%
2016-09-26,0.6775,2.5220%
2016-09-25,1.3833,2.5310%
2016-09-23,0.6918,2.5370%
2016-09-22,0.6849,2.5400%
2016-09-21,0.6712,2.5460%
2016-09-20,0.6684,2.5600%
2016-09-19,0.6938,2.5750%
2016-09-18,2.7887,2.5770%
2016-09-14,0.6973,2.5870%
2016-09-13,0.6956,2.5870%
2016-09-12,0.6985,2.5880%
2016-09-11,1.4067,2.5880%
2016-09-09,0.7034,2.5860%
2016-09-08,0.6970,2.5860%
2016-09-07,0.6973,2.5860%
2016-09-06,0.6977,2.5860%
2016-09-05,0.6976,2.5860%
2016-09-04,1.4044,2.5860%
2016-09-02,0.7023,2.5870%
2016-01-24,1.3072,2.8230%
2016-01-22,0.6537,2.8050%
2016-01-21,1.4922,2.7970%
2016-01-20,0.6228,2.3380%
2016-01-19,0.6334,2.3410%
2016-01-18,0.6294,2.3410%
2016-01-17,1.2750,2.3440%
2016-01-15,0.6375,2.3440%
2016-01-14,0.6340,2.3450%
2016-01-13,0.6287,2.3440%
2016-01-12,0.6333,2.3440%
2016-01-11,0.6345,2.3390%
2016-01-10,1.2764,2.3480%
2016-01-08,0.6382,2.3620%
2016-01-07,0.6320,2.3700%
2016-01-06,0.6301,2.3750%
2016-01-05,0.6230,2.3810%
2016-01-04,0.6516,2.3900%
2016-01-03,1.9551,2.3850%
2015-12-31,0.6413,2.3700%
2019-10-09,0.6472,2.5380%
2019-10-08,0.7853,2.5530%
2019-10-07,0.6748,2.4940%
2019-10-06,0.6748,2.4840%
2019-10-05,0.6749,2.6780%
2019-10-04,0.6749,2.6680%
2019-10-03,0.6749,2.7140%
2019-10-02,0.6750,2.8760%
2019-10-01,0.6750,3.0140%
2019-09-30,0.6564,2.9790%
2019-09-29,1.0371,3.0740%
2019-09-28,0.6562,2.8500%
2019-09-27,0.7620,2.8300%
2019-09-26,0.9771,2.7760%
2019-09-25,0.9311,2.7880%
2019-09-24,0.6100,2.6930%
2019-09-23,0.8332,2.6930%
2019-09-22,0.6194,2.5790%
2019-09-21,0.6194,2.5700%
2019-09-20,0.6620,2.5620%
2019-03-23,0.7839,3.2960%
2019-03-22,1.1193,3.2510%
2019-03-21,0.7862,3.1990%
2019-03-20,0.7718,3.4200%
2019-03-19,1.0640,3.4020%
2019-03-18,0.9476,3.2310%
2019-03-17,0.7468,3.3000%
2019-03-16,0.6997,3.3010%
2019-03-15,1.0230,3.3290%
2019-03-14,1.1958,3.1830%
2019-03-13,0.7389,2.9400%
2019-03-12,0.7477,3.0010%
2019-03-11,1.0758,3.1480%
2019-03-10,0.7477,3.0690%
2019-03-09,0.7515,3.0770%
