净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.8655,2.8820%
2019-12-05,0.7853,2.7860%
2019-12-04,0.9859,2.7280%
2019-12-03,0.6883,2.5580%
2019-12-02,0.7530,2.6750%
2019-12-01,1.3714,2.8150%
2019-11-29,0.6856,2.7840%
2019-11-28,0.6768,2.8770%
2019-11-27,0.6688,2.9520%
2019-11-26,0.9066,3.0590%
2019-11-25,1.0144,3.0740%
2019-11-24,1.3136,3.0430%
2019-11-22,0.8593,3.0380%
2019-11-21,0.8161,3.0820%
2019-11-20,0.8685,3.1580%
2019-11-19,0.9351,3.1280%
2019-11-18,0.9574,2.9590%
2019-11-17,1.3028,2.8390%
2019-11-15,0.9419,2.8190%
2019-11-14,0.9568,2.7350%
2019-04-04,0.7161,2.8360%
2019-04-03,0.7402,2.8760%
2019-04-02,0.7708,2.9010%
2019-04-01,0.7859,2.9050%
2019-03-31,1.5675,2.9090%
2019-03-29,0.7838,2.9140%
2019-03-28,0.7894,2.9160%
2019-03-27,0.7864,2.9150%
2019-03-26,0.7797,2.9040%
2019-03-25,0.7933,2.8900%
2019-03-24,1.5761,2.8600%
2019-03-22,0.7884,2.7880%
2019-03-21,0.7876,2.8340%
2019-03-20,0.7643,2.8070%
2019-03-19,0.7549,2.7940%
2019-03-18,0.7373,2.7820%
2019-03-17,1.4405,2.7810%
2019-03-15,0.8759,2.7970%
2019-03-14,0.7373,2.7620%
2019-03-13,0.7395,2.7520%
2018-07-29,1.5716,4.5890%
2018-07-27,0.7972,4.5610%
2018-07-26,0.8705,4.5850%
2018-07-25,2.6308,4.5320%
2018-07-24,1.9613,3.6710%
2018-07-23,0.7744,3.0110%
2018-07-22,1.5199,3.3540%
2018-07-20,0.8407,3.3080%
2018-07-19,0.7738,3.3880%
2018-07-18,1.0450,3.2860%
2018-07-17,0.7355,3.0490%
2018-07-16,1.4128,3.1700%
2018-07-15,1.4333,2.7080%
2018-07-13,0.9894,2.5580%
2018-07-12,0.5858,2.3400%
2018-07-11,0.6038,2.3790%
2018-07-10,0.9599,2.5400%
2018-07-09,0.5519,2.6210%
2018-07-08,1.1540,2.9930%
2018-07-06,0.5805,3.6550%
2017-11-27,1.0233,4.0000%
2017-11-26,1.9897,4.0170%
2017-11-24,1.4758,4.0480%
2017-11-23,1.0203,3.8230%
2017-11-22,1.0082,3.8230%
2017-11-21,1.0055,3.8280%
2017-11-20,1.0533,3.8200%
2017-11-19,2.0473,3.8830%
2017-11-17,1.0604,3.8260%
2017-11-16,1.0213,3.7800%
2017-11-15,1.0169,3.7490%
2017-11-14,0.9911,3.7150%
2017-11-13,1.1690,3.7510%
2017-11-12,1.9424,3.6650%
2017-11-10,0.9755,3.7160%
2017-11-09,0.9633,3.7450%
2017-11-08,0.9551,3.7960%
2017-11-07,1.0565,3.8770%
2017-11-06,1.0109,3.8700%
2017-11-05,2.0369,3.9050%
