净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7512,3.1030%
2019-12-05,1.0329,3.0940%
2019-12-04,1.0498,2.9400%
2019-12-03,0.8061,2.7680%
2019-12-02,0.7523,2.7370%
2019-12-01,1.4679,2.7420%
2019-11-29,0.7346,2.7770%
2019-11-28,0.7470,2.8010%
2019-11-27,0.7295,2.8890%
2019-11-26,0.7476,2.9220%
2019-11-25,0.7605,2.9090%
2019-11-24,1.5333,2.8820%
2019-11-22,0.7802,2.8130%
2019-11-21,0.9119,2.7710%
2019-11-20,0.7895,2.6490%
2019-11-19,0.7233,2.5940%
2019-11-18,0.7105,2.5790%
2019-11-17,1.4048,2.6100%
2019-11-15,0.7019,2.5850%
2019-11-14,0.6839,2.5750%
2019-04-04,0.7411,2.8220%
2019-04-03,0.7490,2.8470%
2019-04-02,0.7376,2.9840%
2019-04-01,0.7667,3.0050%
2019-03-31,1.5612,3.1500%
2019-03-29,0.7823,3.1270%
2019-03-28,0.7867,3.1150%
2019-03-27,1.0052,3.0990%
2019-03-26,0.7770,3.0930%
2019-03-25,1.0363,3.1510%
2019-03-24,1.5177,3.0050%
2019-03-22,0.7605,3.0040%
2019-03-21,0.7571,3.0670%
2019-03-20,0.9931,3.0670%
2019-03-19,0.8849,2.9510%
2019-03-18,0.7656,3.1040%
2019-03-17,1.5154,3.1770%
2019-03-15,0.8784,3.1340%
2019-03-14,0.7572,3.0950%
2019-03-13,0.7772,3.1900%
2018-07-29,2.1717,4.2100%
2018-07-27,1.1961,4.1660%
2018-07-26,1.3245,4.0840%
2018-07-25,1.0688,4.1330%
2018-07-24,1.0646,4.2540%
2018-07-23,1.0830,4.2110%
2018-07-22,2.0904,4.2290%
2018-07-20,1.0453,4.3210%
2018-07-19,1.4156,4.3680%
2018-07-18,1.2914,4.4200%
2018-07-17,0.9846,4.3540%
2018-07-16,1.1164,4.4580%
2018-07-15,2.2606,4.4970%
2018-07-13,1.1312,4.5690%
2018-07-12,1.5104,4.6050%
2018-07-11,1.1713,4.5240%
2018-07-10,1.1746,4.5390%
2018-07-09,1.1888,4.5420%
2018-07-08,2.3924,4.5430%
2018-07-06,1.1969,4.5250%
2017-11-27,1.1398,4.9700%
2017-11-26,2.0910,4.9590%
2017-11-24,1.0564,5.0380%
2017-11-23,1.0998,5.0720%
2017-11-22,2.0838,5.0820%
2017-11-21,1.8326,4.5390%
2017-11-20,1.1195,4.1230%
2017-11-19,2.2355,4.1990%
2017-11-17,1.1174,4.1600%
2017-11-16,1.1182,4.1410%
2017-11-15,1.0901,4.1670%
2017-11-14,1.0673,4.2580%
2017-11-13,1.2597,4.2990%
2017-11-12,2.1640,4.2350%
2017-11-10,1.0822,4.3120%
2017-11-09,1.1674,4.3510%
2017-11-08,1.2571,4.3470%
2017-11-07,1.1433,4.2820%
2017-11-06,1.1407,4.3070%
2017-11-05,2.3064,4.3160%
2017-03-26,2.2303,4.1130%
2017-03-24,1.1152,4.1110%
2017-03-23,1.0868,4.1100%
2017-03-22,1.0776,4.1250%
2017-03-21,1.1039,4.1510%
2017-03-20,1.1162,4.1590%
2017-03-19,2.2273,4.1670%
2017-03-17,1.1136,4.1990%
2017-03-16,1.1139,4.2150%
2017-03-15,1.1252,4.2270%
2017-03-14,1.1185,4.2270%
2017-03-13,1.1310,4.2360%
2017-03-12,2.2866,4.2360%
2017-03-10,1.1431,4.2200%
2017-03-09,1.1352,4.1200%
2017-03-08,1.1265,4.1100%
2017-03-07,1.1338,4.0990%
2017-03-06,1.1312,4.0780%
2017-03-05,2.2586,4.0520%
2017-03-03,0.9585,4.0310%
2019-11-13,0.6878,2.5990%
2019-11-12,0.6939,2.8150%
2019-11-11,0.7696,2.8470%
2019-11-10,1.3578,2.8190%
2019-11-08,0.6834,2.8580%
2019-11-07,0.7277,2.8750%
2019-11-06,1.0918,2.8630%
2019-11-05,0.7530,2.6650%
2019-11-04,0.7185,2.6440%
2019-11-03,1.4298,2.6400%
2019-11-01,0.7150,2.6310%
2019-10-31,0.7064,2.6260%
2019-10-30,0.7223,2.6210%
2019-10-29,0.7137,2.6100%
2019-10-28,0.7095,2.5990%
2019-10-27,1.4131,2.8310%
2019-10-25,0.7068,2.8030%
2019-10-24,0.6974,2.7910%
2019-10-23,0.7002,2.7880%
2019-10-22,0.6940,2.7910%
2019-03-12,1.1688,3.1820%
2019-03-11,0.9012,3.3070%
2019-03-10,1.4348,3.2160%
2019-03-08,0.8072,3.2290%
2019-03-07,0.9335,3.1950%
2019-03-06,0.7625,3.0960%
2019-03-05,1.4008,3.1260%
2019-03-04,0.7327,2.7940%
2019-03-03,1.4574,2.8830%
2019-03-01,0.7449,2.9450%
2019-02-28,0.7503,3.0400%
2019-02-27,0.8170,3.0600%
2019-02-26,0.7835,3.1990%
2019-02-25,0.8975,3.1730%
2019-02-24,1.5725,3.0870%
2019-02-22,0.9220,2.9910%
2019-02-21,0.7879,2.8750%
2019-02-20,1.0757,2.8860%
2019-02-19,0.7360,2.8260%
2019-02-18,0.7365,3.1830%
2018-07-05,1.3615,4.5150%
2018-07-04,1.1989,4.4210%
2018-07-03,1.1812,4.4050%
2018-07-02,1.1897,4.4100%
2018-07-01,1.1798,4.6980%
2018-06-30,1.1797,4.6890%
2018-06-29,1.1794,4.6840%
2018-06-28,1.1881,4.6780%
2018-06-27,1.1704,4.6770%
2018-06-26,1.1892,4.7470%
2018-06-25,1.7182,4.8380%
2018-06-24,2.3343,4.4620%
2018-06-22,1.1689,4.3130%
2018-06-21,1.1855,4.2430%
2018-06-20,1.2989,4.2230%
2018-06-19,1.3556,4.1190%
2018-06-18,3.0896,4.1780%
2018-06-15,1.0398,4.5730%
2018-06-14,1.1491,4.6460%
2018-06-13,1.1077,4.7670%
2017-11-03,1.1534,4.2980%
2017-11-02,1.1593,4.2900%
2017-11-01,1.1380,4.2870%
2017-10-31,1.1889,4.2930%
2017-10-30,1.1585,4.2700%
2017-10-29,2.2722,4.2680%
2017-10-27,1.1392,4.3120%
2017-10-26,1.1536,4.3330%
2017-10-25,1.1502,4.3450%
2017-10-24,1.1457,4.3610%
2017-10-23,1.1549,4.3770%
2017-10-22,2.3540,4.3880%
2017-10-20,1.1774,4.3900%
2017-10-19,1.1755,4.3990%
2017-10-18,1.1799,4.3990%
2017-10-17,1.1744,4.3930%
2017-10-16,1.1750,4.3820%
2017-10-15,2.3572,4.3600%
2017-10-13,1.1954,4.2570%
2017-10-12,1.1750,4.1960%
2017-03-02,1.1171,4.1130%
2017-03-01,1.1053,4.0980%
2017-02-28,1.0946,4.0700%
2017-02-27,1.0840,4.0760%
2017-02-26,2.2191,4.0390%
2017-02-24,1.1098,3.8750%
2017-02-23,1.0898,3.7930%
2017-02-22,1.0541,3.7270%
2017-02-21,1.1064,3.6420%
2017-02-20,1.0154,3.4740%
2017-02-19,1.9160,3.2950%
2017-02-17,0.9580,3.0230%
2017-02-16,0.9681,2.8970%
2017-02-15,0.8965,2.7770%
2017-02-14,0.7962,2.6150%
2017-02-13,0.6831,2.5510%
2017-02-12,1.4105,2.4820%
2017-02-10,0.7220,2.2170%
2017-02-09,0.7459,2.1280%
2017-02-08,0.5934,2.0530%
2019-10-21,1.1430,2.7960%
2019-10-20,1.3608,2.5630%
2019-10-18,0.6850,2.5810%
2019-10-17,0.6915,2.5880%
2019-10-16,0.7049,2.6010%
2019-10-15,0.7031,2.5960%
2019-10-14,0.7081,2.6050%
2019-10-13,1.3943,2.6130%
2019-10-11,0.6977,2.6420%
2019-10-10,0.7162,2.6560%
2019-10-09,0.6956,2.6600%
2019-10-08,0.7197,2.6750%
2019-10-07,5.0667,2.6770%
2019-09-30,0.7230,2.7540%
2019-09-29,1.4533,3.0580%
2019-09-27,0.7238,2.9980%
2019-09-26,0.6849,3.0800%
2019-09-25,0.9368,3.0650%
2019-09-24,0.6880,3.3040%
2019-09-23,1.2906,3.2980%
2019-02-17,1.3951,3.2490%
2019-02-15,0.7043,3.4020%
2019-02-14,0.8097,3.4740%
