净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7300,2.7370%
2019-12-07,0.7301,2.7450%
2019-12-06,0.7598,2.7530%
2019-12-05,0.7372,2.7470%
2019-12-04,0.7403,2.7750%
2019-12-03,0.7318,2.8110%
2019-12-02,0.7486,2.8130%
2019-12-01,0.7456,2.8470%
2019-11-30,0.7457,2.8460%
2019-11-29,0.7490,2.8460%
2019-11-28,0.7881,2.8800%
2019-11-27,0.8071,2.8620%
2019-11-26,0.7371,2.8330%
2019-11-25,0.8116,2.8540%
2019-11-24,0.7434,2.8170%
2019-11-23,0.7453,2.8120%
2019-11-22,0.8130,2.8070%
2019-11-21,0.7536,2.7650%
2019-11-20,0.7531,2.7480%
2019-11-19,0.7778,2.7290%
2019-05-22,0.6896,2.7030%
2019-05-21,0.7284,2.7480%
2019-05-20,0.7303,2.7130%
2019-05-19,0.7398,2.7380%
2019-05-18,0.7399,2.7400%
2019-05-17,0.7503,2.7420%
2019-05-16,0.7368,2.7700%
2019-05-15,0.7735,2.7980%
2019-05-14,0.6624,2.8090%
2019-05-13,0.7775,2.8680%
2019-05-12,0.7441,2.8210%
2019-05-11,0.7442,2.8280%
2019-05-10,0.8012,2.8360%
2019-05-09,0.7894,2.8130%
2019-05-08,0.7939,2.7960%
2019-05-07,0.7736,2.7770%
2019-05-06,0.6887,2.7890%
2019-05-05,0.7582,2.8050%
2019-05-04,0.7582,2.7940%
2019-05-03,0.7583,2.7830%
2018-11-03,0.7932,3.1150%
2018-11-02,0.7931,3.1190%
2018-11-01,0.7992,3.8580%
2018-10-31,0.7976,3.8010%
2018-10-30,0.7918,3.7400%
2018-10-29,1.1074,3.6840%
2018-10-28,0.8006,3.4490%
2018-10-27,0.8007,3.3860%
2018-10-26,2.1622,3.3230%
2018-10-25,0.6951,2.5280%
2018-10-24,0.6851,2.5200%
2018-10-23,0.6869,2.5220%
2018-10-22,0.6737,3.3820%
2018-10-21,0.6831,3.4610%
2018-10-20,0.6831,3.5320%
2018-10-19,0.6818,3.6040%
2018-10-18,0.6802,3.6770%
2018-10-17,0.6883,4.0110%
2018-10-16,2.2895,4.0820%
2018-10-15,0.8193,3.2900%
2018-04-17,1.1465,4.3370%
2018-04-16,1.3237,4.3320%
2018-04-15,1.1341,4.2320%
2018-04-14,1.1342,4.2730%
2018-04-13,1.1278,4.3130%
2018-04-12,1.1214,4.3570%
2018-04-11,1.1541,4.4040%
2018-04-10,1.1390,4.4290%
2018-04-09,1.1395,4.5140%
2018-04-08,1.2081,4.6260%
2018-04-07,1.2083,4.6960%
2018-04-06,1.2084,4.7660%
2018-04-05,1.2085,4.8170%
2018-04-04,1.2001,4.9180%
2018-04-03,1.2945,4.9110%
2018-04-02,1.3447,4.8810%
2018-04-01,1.3363,4.7750%
2018-03-31,1.3365,4.7030%
2018-03-30,1.3025,4.6310%
2018-03-29,1.3929,4.5860%
2017-09-29,1.2595,4.6500%
2017-09-28,1.2595,4.6260%
2017-09-27,1.2689,4.6020%
2017-09-26,1.2795,4.5740%
2017-09-25,1.2174,4.5400%
2017-09-24,1.2158,4.5420%
2017-09-23,1.2159,4.5300%
2017-09-22,1.2162,4.5170%
2017-09-21,1.2160,4.5150%
