净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.6564,3.2880%
2019-12-07,0.6566,3.2680%
2019-12-06,1.2191,3.2430%
2019-12-05,0.9517,3.0840%
2019-12-04,0.7908,2.9960%
2019-12-03,0.8466,2.9150%
2019-12-02,1.0832,3.0370%
2019-12-01,0.6191,2.9450%
2019-11-30,0.6111,2.9440%
2019-11-29,0.9223,2.9470%
2019-11-28,0.7882,3.1490%
2019-11-27,0.6396,3.2510%
2019-11-26,1.0753,3.3970%
2019-11-25,0.9113,3.2560%
2019-11-24,0.6168,3.1890%
2019-11-23,0.6174,3.1830%
2019-11-22,1.2978,3.1760%
2019-11-21,0.9777,2.9270%
2019-11-20,0.9097,2.7480%
2019-11-19,0.8151,2.5840%
2019-05-22,0.7440,2.8550%
2019-05-21,0.8686,2.8670%
2019-05-20,0.7647,2.8330%
2019-05-19,0.7394,2.8320%
2019-05-18,0.7395,2.8460%
2019-05-17,0.7935,2.8610%
2019-05-16,0.7485,2.8470%
2019-05-15,0.7677,2.8600%
2019-05-14,0.8041,2.8810%
2019-05-13,0.7629,2.9220%
2019-05-12,0.7666,2.9480%
2019-05-11,0.7667,3.0170%
2019-05-10,0.7667,3.0130%
2019-05-09,0.7729,3.0090%
2019-05-08,0.8077,3.0030%
2019-05-07,0.8802,2.9780%
2019-05-06,0.8121,3.1050%
2019-05-05,0.8953,3.0710%
2019-05-04,0.7588,3.0330%
2019-05-03,0.7597,3.0350%
2018-11-03,0.7985,3.0680%
2018-11-02,0.8037,3.0780%
2018-11-01,0.8106,3.1320%
2018-10-31,0.8367,3.1740%
2018-10-30,0.8855,3.1770%
2018-10-29,0.8435,3.2490%
2018-10-28,0.8167,3.3070%
2018-10-27,0.8168,3.3120%
2018-10-26,0.9058,3.3160%
2018-10-25,0.8877,3.3240%
2018-10-24,0.8424,3.3680%
2018-10-23,1.0200,3.3890%
2018-10-22,0.9508,3.3500%
2018-10-21,0.8253,3.3410%
2018-10-20,0.8253,3.3500%
2018-10-19,0.9193,3.3590%
2018-10-18,0.9695,3.4230%
2018-10-17,0.8817,3.3530%
2018-10-16,0.9477,3.3310%
2018-10-15,0.9343,3.2580%
2018-04-17,1.2253,4.1380%
2018-04-16,1.0718,4.0850%
2018-04-15,1.0785,4.1850%
2018-04-14,1.0786,4.3110%
2018-04-13,1.1381,4.3640%
2018-04-12,1.0802,4.3860%
2018-04-11,1.1036,4.4400%
2018-04-10,1.1278,4.4880%
2018-04-09,1.2555,4.5640%
2018-04-08,1.3102,4.6180%
2018-04-07,1.1775,4.5790%
2018-04-06,1.1776,4.6120%
2018-04-05,1.1798,4.6440%
2018-04-04,1.1924,4.6870%
2018-04-03,1.2662,4.6840%
2018-04-02,1.3557,4.6350%
2018-04-01,1.2370,4.8010%
2018-03-31,1.2385,4.7600%
2018-03-30,1.2364,4.7190%
2018-03-29,1.2589,4.7400%
2017-09-29,1.1863,4.4420%
2017-09-28,1.2087,4.5940%
2017-09-27,1.2037,4.5400%
2017-09-26,1.2159,4.5270%
2017-09-25,1.2399,4.4870%
2017-09-24,1.1359,4.4640%
2017-09-23,1.1458,4.4740%
2017-09-22,1.4640,4.4790%
2017-09-21,1.1100,4.3110%
2017-09-20,1.1803,4.3580%
2017-09-19,1.1421,4.3630%
2017-09-18,1.1973,4.3840%
2017-09-17,1.1543,4.3810%
2017-09-16,1.1559,4.4010%
2017-09-15,1.1556,4.4190%
2017-09-14,1.1949,4.4370%
2017-09-13,1.1909,4.4280%
2017-09-12,1.1808,4.4170%
2017-09-11,1.1919,4.4110%
2017-09-10,1.1895,4.3990%
2017-03-13,1.0222,3.6740%
2017-03-12,0.9686,3.6700%
2017-03-11,0.9682,3.6950%
2017-03-10,0.9587,3.7220%
2017-03-09,1.0212,3.7550%
2017-03-08,0.9935,3.7560%
2017-03-07,0.9881,3.7820%
2017-03-06,1.0147,3.8300%
2017-03-05,1.0148,3.8340%
2017-03-04,1.0178,3.8450%
2017-03-03,1.0196,3.8550%
2017-03-02,1.0225,3.8650%
2017-03-01,1.0416,3.8650%
2017-02-28,1.0769,3.8490%
2017-02-27,1.0224,3.8100%
2017-02-26,1.0360,3.7920%
2017-02-25,1.0361,3.7630%
2017-02-24,1.0369,3.7340%
2017-02-23,1.0239,3.7120%
2017-02-22,1.0117,3.8090%
2016-08-25,0.7180,2.6390%
2016-08-24,0.7138,2.6650%
2016-08-23,0.7156,2.6640%
2016-08-22,0.7085,2.6650%
2016-08-21,0.7134,2.6570%
2016-08-20,0.7134,2.6550%
2016-08-19,0.7137,2.6540%
2016-08-18,0.7666,2.6520%
2016-08-17,0.7120,2.6230%
2016-08-16,0.7157,2.6230%
2016-08-15,0.6949,2.6240%
2016-08-14,0.7101,2.6310%
2016-08-13,0.7101,2.6230%
2016-08-12,0.7107,2.6230%
2016-08-11,0.7128,2.6230%
2016-08-10,0.7123,2.6230%
2016-08-09,0.7166,2.6240%
2016-08-08,0.7081,2.6270%
2016-08-07,0.6955,2.6340%
2016-08-06,0.7096,2.6480%
2016-02-07,0.7309,2.7280%
2016-02-06,0.7309,2.7320%
2016-02-05,0.7356,2.7350%
2016-02-04,0.7525,3.1150%
2016-02-03,0.7374,3.1030%
2016-02-02,0.7357,3.1060%
2016-02-01,0.7393,3.2420%
2016-01-31,0.7371,3.2290%
2016-01-30,0.7372,3.2180%
2016-01-29,1.4438,3.2080%
2016-01-28,0.7306,3.8570%
2016-01-27,0.7432,3.8300%
2016-01-26,0.9885,3.8060%
2016-01-25,0.7141,3.6460%
2016-01-24,0.7177,3.6340%
2016-01-23,0.7178,3.6190%
2016-01-22,2.6465,3.6040%
2016-01-21,0.6799,2.5700%
2016-01-20,0.6993,2.6060%
2016-01-19,0.6935,4.6550%
2015-06-26,1.0684,3.8110%
2015-06-25,0.9624,4.6740%
2015-06-24,1.0260,5.2790%
2015-06-23,1.0309,5.2290%
2015-06-22,3.0862,5.1720%
2015-06-19,2.6551,5.0090%
2015-06-18,2.0692,4.0660%
2015-06-17,0.9351,3.4500%
2015-06-16,0.9270,3.4490%
2015-06-15,0.9357,3.4410%
2015-06-14,1.8523,3.4440%
2015-06-12,0.9242,3.5720%
2015-06-11,0.9307,3.6380%
2015-06-10,0.9336,3.6850%
2015-06-09,0.9126,3.7680%
2015-06-08,0.9400,4.9080%
2015-06-07,2.0897,4.9160%
2015-06-05,1.0467,4.7800%
2015-06-04,1.0174,4.7160%
2015-06-03,1.0871,4.6500%
2014-10-24,1.4008,5.2840%
2014-10-23,1.4104,5.2890%
2014-10-22,1.4253,5.2890%
2014-10-21,1.4055,5.2540%
2014-10-20,1.4248,5.2510%
2014-10-19,2.8096,5.2170%
2014-10-17,1.4084,5.1610%
2014-10-16,1.4114,5.1270%
2014-10-15,1.3622,5.1080%
2014-10-14,1.3984,5.0900%
2014-10-13,1.3634,5.0730%
2014-10-12,2.7072,5.0750%
2014-10-10,1.3472,5.0900%
2014-10-09,1.3757,5.1020%
2014-10-08,1.3295,5.0980%
2014-10-07,9.5746,5.1190%
2014-09-30,1.3838,5.1610%
2014-09-29,1.3446,5.1590%
2014-09-28,2.6916,5.1800%
2014-09-26,1.3526,5.1570%
2019-11-18,0.7856,2.5370%
2019-11-17,0.6063,2.4460%
2019-11-16,0.6040,2.4450%
2019-11-15,0.8341,2.4470%
2019-11-14,0.6443,2.4940%
2019-11-13,0.6043,2.5280%
2019-11-12,0.7270,2.7360%
2019-11-11,0.6138,2.7570%
2019-11-10,0.6062,2.8290%
2019-11-09,0.6069,2.8420%
2019-11-08,0.9228,2.8550%
2019-11-07,0.7079,2.7360%
2019-11-06,0.9918,2.7290%
2019-11-05,0.7670,2.5500%
2019-11-04,0.7481,2.4970%
2019-11-03,0.6306,2.5400%
2019-11-02,0.6307,2.5440%
2019-11-01,0.7007,2.5480%
2019-10-31,0.6943,2.6570%
2019-10-30,0.6581,2.7080%
2019-05-02,0.7613,3.0590%
2019-05-01,0.7613,3.0990%
2019-04-30,1.1156,3.0950%
2019-04-29,0.7484,2.9240%
2019-04-28,0.8257,2.9480%
2019-04-27,0.7617,2.9120%
2019-04-26,0.8040,2.9110%
2019-04-25,0.8361,2.8980%
2019-04-24,0.7552,2.8800%
2019-04-23,0.7965,2.8860%
2019-04-22,0.7923,2.8770%
2019-04-21,0.7595,2.8640%
2019-04-20,0.7596,2.8700%
2019-04-19,0.7800,2.8770%
2019-04-18,0.8029,2.9310%
2019-04-17,0.7660,2.9140%
2019-04-16,0.7795,2.9210%
2019-04-15,0.7673,2.9290%
2019-04-14,0.7724,2.9700%
2019-04-13,0.7724,2.9920%
2018-10-14,0.8421,3.3060%
2018-10-13,0.8422,3.2840%
