净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.6208,3.0340%
2019-12-07,0.6212,3.0130%
2019-12-06,0.9781,2.9900%
2019-12-05,0.8309,2.8880%
2019-12-04,0.6426,2.7650%
2019-12-03,1.1241,2.8060%
2019-12-02,0.9147,2.7790%
2019-12-01,0.5823,2.7330%
2019-11-30,0.5782,2.7770%
2019-11-29,0.7869,2.8250%
2019-11-28,0.6026,2.8930%
2019-11-27,0.7180,2.9680%
2019-11-26,1.0742,3.0800%
2019-11-25,0.8291,2.8920%
2019-11-24,0.6650,2.7870%
2019-11-23,0.6666,2.7740%
2019-11-22,0.9138,2.7600%
2019-11-21,0.7425,2.6480%
2019-11-20,0.9265,2.5920%
2019-11-19,0.7237,2.4390%
2019-05-22,0.7829,2.7630%
2019-05-21,0.7939,2.7370%
2019-05-20,0.7342,2.7730%
2019-05-19,0.7253,3.0200%
2019-05-18,0.7254,3.0230%
2019-05-17,0.7353,2.9820%
2019-05-16,0.7300,3.0440%
2019-05-15,0.7347,3.1150%
2019-05-14,0.8605,3.0690%
2019-05-13,1.1949,2.9700%
2019-05-12,0.7319,2.7390%
2019-05-11,0.6476,3.1560%
2019-05-10,0.8519,3.1990%
2019-05-09,0.8610,3.1340%
2019-05-08,0.6496,3.0660%
2019-05-07,0.6759,3.1130%
2019-05-06,0.7640,3.2840%
2019-05-05,1.5095,3.2680%
2019-05-04,0.7265,2.8500%
2019-05-03,0.7312,2.8520%
2018-11-03,0.7644,2.9500%
2018-11-02,0.7639,2.9470%
2018-11-01,0.7650,3.0610%
2018-10-31,0.8422,3.0560%
2018-10-30,0.8082,3.0070%
2018-10-29,0.8735,2.9760%
2018-10-28,0.7584,3.2200%
2018-10-27,0.7584,3.2470%
2018-10-26,0.9775,3.2740%
2018-10-25,0.7558,3.2720%
2018-10-24,0.7505,3.3050%
2018-10-23,0.7505,3.4280%
2018-10-22,1.3266,3.6310%
2018-10-21,0.8089,3.3740%
2018-10-20,0.8090,3.3990%
2018-10-19,0.9738,3.4240%
2018-10-18,0.8164,3.6220%
2018-10-17,0.9795,3.6420%
2018-10-16,1.1268,3.6660%
2018-10-15,0.8500,3.7100%
2018-04-17,1.4105,4.1560%
2018-04-16,0.9844,3.8770%
2018-04-15,0.9758,3.8350%
2018-04-14,0.9759,4.2210%
2018-04-13,1.6363,4.1640%
2018-04-12,0.9018,3.7510%
2018-04-11,0.9247,3.7400%
2018-04-10,0.8969,3.7240%
2018-04-09,0.9063,3.9580%
2018-04-08,1.6882,4.2420%
2018-04-07,0.8701,3.9430%
2018-04-06,0.8736,4.0900%
2018-04-05,0.8824,4.2390%
2018-04-04,0.8946,4.3980%
2018-04-03,1.3294,4.5840%
2018-04-02,1.4292,4.5290%
2018-04-01,1.1385,4.8930%
2018-03-31,1.1413,4.8830%
2018-03-30,1.1469,4.8720%
2018-03-29,1.1757,4.8630%
2017-09-29,1.1015,4.3800%
2017-09-28,1.1235,4.3740%
2017-09-27,1.5454,4.3660%
2017-09-26,1.1384,4.1230%
2017-09-25,1.1225,4.0880%
2017-09-24,1.0956,4.0780%
2017-09-23,1.0957,4.0730%
2017-09-22,1.0899,4.0690%
2017-09-21,1.1083,4.0670%
2017-09-20,1.0986,4.0590%
2017-09-19,1.0738,4.0670%
2017-09-18,1.1046,4.0900%
2017-09-17,1.0864,4.1010%
2017-09-16,1.0872,4.1190%
2017-09-15,1.0874,4.1360%
2017-09-14,1.0927,4.1500%
2017-09-13,1.1137,4.1570%
2017-09-12,1.1159,4.1480%
2017-09-11,1.1249,4.1390%
2017-09-10,1.1189,4.1210%
2017-03-13,1.0086,3.7480%
2017-03-12,0.9757,3.8420%
2017-03-11,0.9758,3.8920%
2017-03-10,0.9791,3.9420%
2017-03-09,1.0021,3.9910%
2017-03-08,1.0404,4.0190%
2017-03-07,1.0752,4.0310%
2017-03-06,1.1822,4.0270%
2017-03-05,1.0684,3.9520%
2017-03-04,1.0685,3.9410%
2017-03-03,1.0687,3.9300%
2017-03-02,1.0544,3.9190%
2017-03-01,1.0614,3.9080%
2017-02-28,1.0688,3.8890%
2017-02-27,1.0443,3.8640%
2017-02-26,1.0477,3.8490%
2017-02-25,1.0478,3.8270%
2017-02-24,1.0483,3.8060%
2017-02-23,1.0341,3.7850%
2017-02-22,1.0270,3.9050%
2019-11-18,0.6337,2.3910%
2019-11-17,0.6408,2.4030%
