净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7932,2.8860%
2019-12-05,0.7799,2.8760%
2019-12-04,0.7799,2.8720%
2019-12-03,0.7794,2.8680%
2019-12-02,0.7781,2.8640%
2019-12-01,1.5465,2.8600%
2019-11-29,0.7738,2.8630%
2019-11-28,0.7728,2.8660%
2019-11-27,0.7723,2.8760%
2019-11-26,0.7720,2.8840%
2019-11-25,0.7712,2.8900%
2019-11-24,1.5524,2.8950%
2019-11-22,0.7786,2.8930%
2019-11-21,0.7916,2.8920%
2019-11-20,0.7862,2.8840%
2019-11-19,0.7847,2.8820%
2019-11-18,0.7792,2.8830%
2019-11-17,1.5498,2.8900%
2019-11-15,0.7771,2.9030%
2019-11-14,0.7766,2.9110%
2019-04-04,0.6350,2.4540%
2019-04-03,0.6346,2.4380%
2019-04-02,0.4406,2.4130%
2019-04-01,0.9731,2.4910%
2019-03-31,1.3115,2.2630%
2019-03-29,0.6554,2.1240%
2019-03-28,0.6053,2.0540%
2019-03-27,0.5861,2.0180%
2019-03-26,0.5881,1.9830%
2019-03-25,0.5460,1.9410%
2019-03-24,1.0494,1.9430%
2019-03-22,0.5247,1.9610%
2019-03-21,0.5383,1.9690%
2019-03-20,0.5191,1.9550%
2019-03-19,0.5096,1.9570%
2019-03-18,0.5501,1.9640%
2019-03-17,1.0823,1.9710%
2019-03-15,0.5412,1.9950%
2019-03-14,0.5117,2.0110%
2019-03-13,0.5225,2.0280%
2018-07-29,0.1414,0.6130%
2018-07-27,0.0711,0.8080%
2018-07-26,0.0670,0.9050%
2018-07-25,0.3768,1.0040%
2018-07-24,0.2597,0.9390%
2018-07-23,0.2564,0.9350%
2018-07-22,0.5118,0.9310%
2018-07-20,0.2567,0.9190%
2018-07-19,0.2550,0.8350%
2018-07-18,0.2525,0.8300%
2018-07-17,0.2528,0.8250%
2018-07-16,0.2475,0.8190%
2018-07-15,0.4906,0.8140%
2018-07-13,0.0972,0.8040%
2018-07-12,0.2448,0.9300%
2018-07-11,0.2421,1.3500%
2018-07-10,0.2426,1.3540%
2018-07-09,0.2373,1.8720%
2018-07-08,0.4712,2.3940%
2018-07-06,0.3368,3.4410%
2017-11-28,1.1089,4.1080%
2017-11-27,1.1006,4.0550%
2017-11-26,2.2039,4.0680%
2017-11-24,1.1022,4.0640%
2017-11-23,1.1026,4.0620%
2017-11-22,1.1028,4.0640%
2017-11-21,1.0113,4.0640%
2017-11-20,1.1245,4.1110%
2017-11-19,2.1969,4.0920%
2017-11-17,1.0992,4.0820%
2017-11-16,1.1049,4.0770%
2017-11-15,1.1039,4.0630%
2017-11-14,1.0980,4.0090%
2017-11-13,1.0890,3.9520%
2017-11-12,2.1787,3.9260%
2017-11-10,1.0896,3.8600%
2017-11-09,1.0789,3.8230%
2017-11-08,1.0040,3.7990%
2017-11-07,0.9933,3.8200%
2017-11-06,1.0413,3.8500%
2019-11-13,0.7813,2.9210%
2019-11-12,0.7878,2.9310%
2019-11-11,0.7923,2.9350%
2019-11-10,1.5739,2.9380%
2019-11-08,0.7911,2.9790%
2019-11-07,0.7954,2.9980%
2019-11-06,0.8008,3.0130%
2019-11-05,0.7954,3.0260%
2019-11-04,0.7979,3.0430%
2019-11-03,1.6486,3.0590%
2019-11-01,0.8265,3.0570%
2019-10-31,0.8246,3.0570%
2019-10-30,0.8251,3.0540%
2019-10-29,0.8260,3.0510%
2019-10-28,0.8285,3.0480%
