净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.9511,3.1470%
2019-12-05,0.6867,3.0220%
2019-12-04,1.0339,3.0320%
2019-12-03,0.7590,2.8670%
2019-12-02,1.1852,2.8380%
2019-12-01,1.4200,2.7500%
2019-11-29,0.7102,2.7690%
2019-11-28,0.7058,2.8130%
2019-11-27,0.7178,2.8320%
2019-11-26,0.7038,2.8420%
2019-11-25,1.0164,2.8490%
2019-11-24,1.4572,2.8460%
2019-11-22,0.7944,2.8150%
2019-11-21,0.7424,2.7680%
2019-11-20,0.7362,2.7300%
2019-11-19,0.7177,2.7070%
2019-11-18,1.0111,2.6870%
2019-11-17,1.3963,2.6850%
2019-11-15,0.7048,2.6690%
2019-11-14,0.6705,2.6460%
2019-04-04,0.6755,2.8000%
2019-04-03,0.6610,2.8330%
2019-04-02,0.8127,2.8820%
2019-04-01,0.6599,2.8580%
2019-03-31,1.4382,3.4380%
2019-03-29,1.1218,3.4720%
2019-03-28,0.7396,3.4180%
2019-03-27,0.7550,3.4110%
2019-03-26,0.7666,3.4090%
2019-03-25,1.7730,3.4350%
2019-03-24,1.5036,3.1760%
2019-03-22,1.0173,3.1280%
2019-03-21,0.7256,3.0400%
2019-03-20,0.7519,3.2000%
2019-03-19,0.8163,3.2620%
2019-03-18,1.2763,3.3100%
2019-03-17,1.4124,3.0160%
2019-03-15,0.8483,3.0260%
2019-03-14,1.0320,2.9750%
2019-03-13,0.8700,3.0850%
2018-07-30,1.1982,4.0550%
2018-07-29,2.1743,3.9890%
2018-07-27,1.0916,3.9700%
2018-07-26,1.0868,3.9580%
2018-07-25,1.0905,3.9470%
2018-07-24,1.1360,3.9340%
2018-07-23,1.0709,3.9920%
2018-07-22,2.1378,3.9860%
2018-07-20,1.0689,3.9820%
2018-07-19,1.0648,4.0550%
2018-07-18,1.0663,4.0690%
2018-07-17,1.2479,4.0530%
2018-07-16,1.0594,4.0700%
2018-07-15,2.1303,4.1000%
2018-07-13,1.2074,4.1290%
2018-07-12,1.0918,4.0700%
2018-07-11,1.0366,4.1070%
2018-07-10,1.2796,4.1840%
2018-07-09,1.1168,4.1460%
2018-07-08,2.1871,4.2160%
2017-11-28,1.2504,4.5570%
2017-11-27,1.2514,4.5530%
2017-11-26,2.4986,4.5450%
2017-11-24,1.2492,4.5360%
2017-11-23,1.2469,4.5320%
2017-11-22,1.2433,4.5280%
2017-11-21,1.2415,4.5230%
2017-11-20,1.2369,4.5180%
2017-11-19,2.4814,4.5140%
2017-11-17,1.2406,4.5010%
2017-11-16,1.2398,4.4950%
2017-11-15,1.2346,4.4890%
2017-11-14,1.2317,4.4860%
2017-11-13,1.2283,4.4860%
2017-11-12,2.4579,4.4940%
2017-11-10,1.2287,4.5070%
2017-11-09,1.2276,4.5140%
2017-11-08,1.2295,4.5220%
2017-11-07,1.2314,4.5320%
2017-11-06,1.2427,4.5380%
2019-11-13,0.6913,2.6750%
2019-11-12,0.6783,2.6950%
2019-11-11,1.0073,2.7020%
2019-11-10,1.3666,2.6470%
2019-11-08,0.6601,2.6540%
2019-11-07,0.7263,2.6680%
2019-11-06,0.7298,2.6260%
2019-11-05,0.6926,2.6430%
2019-11-04,0.9008,2.6440%
2019-11-03,1.3798,2.6250%
2019-11-01,0.6879,2.6250%
2019-10-31,0.6455,2.6270%
2019-10-30,0.7631,2.6520%
2019-10-29,0.6931,2.6920%
2019-10-28,0.8642,2.7910%
2019-10-27,1.3806,2.6870%
2019-10-25,0.6924,2.6500%
2019-10-24,0.6934,2.6350%
2019-10-23,0.8390,2.6210%
2019-10-22,0.8833,2.7390%
2019-03-12,0.9083,3.0530%
2019-03-11,0.7126,3.0600%
2019-03-10,1.4315,3.1700%
2019-03-08,0.7514,3.2090%
2019-03-07,1.2420,3.2650%
2019-03-06,0.8086,3.0220%
2019-03-05,0.9220,3.1030%
2019-03-04,0.9250,3.0320%
2019-03-03,1.5061,3.1880%
2019-03-01,0.8573,3.1870%
2019-02-28,0.7775,3.1220%
2019-02-27,0.9634,3.1040%
2019-02-26,0.7853,3.0440%
2019-02-25,1.2248,3.3730%
2019-02-24,1.5047,3.1260%
2019-02-22,0.7317,3.1340%
2019-02-21,0.7425,3.1490%
2019-02-20,0.8483,3.2940%
2019-02-19,1.4172,3.5050%
2019-02-18,0.7501,3.2040%
2018-07-06,1.0934,4.3680%
2018-07-05,1.1622,4.4450%
2018-07-04,1.1851,4.5020%
2018-07-03,1.2075,4.5540%
2018-07-02,1.2499,4.5970%
2018-07-01,1.2399,4.6070%
2018-06-30,1.2398,4.6000%
2018-06-29,1.2410,4.5940%
2018-06-28,1.2702,4.6090%
2018-06-27,1.2857,4.6700%
2018-06-26,1.2895,4.5740%
2018-06-25,1.2692,4.4750%
2018-06-24,2.4546,4.3860%
2018-06-22,1.2695,4.2500%
2018-06-21,1.3869,4.1800%
2018-06-20,1.1022,4.0360%
2018-06-19,1.1005,4.0470%
2018-06-18,3.2921,4.1270%
2018-06-15,1.1349,4.1680%
2018-06-14,1.1114,4.2040%
2017-11-05,2.4844,4.5330%
2017-11-03,1.2420,4.5230%
2017-11-02,1.2427,4.5180%
2017-11-01,1.2480,4.5130%
2017-10-31,1.2436,4.5060%
2017-10-30,1.2335,4.5010%
2017-10-29,2.4649,4.5010%
2017-10-27,1.2323,4.4930%
2017-10-26,1.2337,4.4940%
2017-10-25,1.2331,4.4960%
2017-10-24,1.2341,4.4930%
2017-10-23,1.2336,4.4960%
2017-10-22,2.4491,4.5010%
2017-10-20,1.2354,4.5270%
2017-10-19,1.2366,4.5340%
2017-10-18,1.2288,4.5420%
2017-10-17,1.2389,4.5550%
2017-10-16,1.2442,4.5640%
2017-10-15,2.4975,4.5710%
2017-10-13,1.2485,4.5820%
2019-10-21,0.6644,2.6960%
2019-10-20,1.3093,2.6930%
2019-10-18,0.6646,2.7070%
2019-10-17,0.6653,2.7090%
2019-10-16,1.0660,2.7090%
2019-10-15,0.8004,2.5680%
2019-10-14,0.6595,2.6350%
2019-10-13,1.3360,2.6310%
2019-10-11,0.6674,2.6130%
2019-10-10,0.6652,2.6040%
2019-10-09,0.7958,2.5970%
2019-10-08,0.9302,2.5210%
