净值日期,每万份收益,7日年化收益率（%）
2019-12-06,1.5337,4.8870%
2019-12-05,0.5620,4.3620%
2019-12-04,0.5963,4.3640%
2019-12-03,0.5614,4.3510%
2019-12-02,4.7569,4.3690%
2019-12-01,1.1415,2.1200%
2019-11-29,0.5707,2.1350%
2019-11-28,0.5666,2.1460%
2019-11-27,0.5725,2.1590%
2019-11-26,0.5945,2.3770%
2019-11-25,0.5784,3.5190%
2019-11-24,1.1692,3.9090%
2019-11-22,0.5903,3.7710%
2019-11-21,0.5917,3.7300%
2019-11-20,0.9813,3.6790%
2019-11-19,2.7220,3.4510%
2019-11-18,1.2997,2.9150%
2019-11-17,0.9140,2.4840%
2019-11-15,0.5146,2.5150%
2019-11-14,0.4979,2.5000%
2019-04-04,0.6649,2.4360%
2019-04-03,0.6383,2.4300%
2019-04-02,0.6587,2.4380%
2019-04-01,0.6594,2.4480%
2019-03-31,1.3273,2.4300%
2019-03-29,0.6668,2.3920%
2019-03-28,0.6537,3.7340%
2019-03-27,0.6546,3.7290%
2019-03-26,0.6760,3.7260%
2019-03-25,0.6271,3.7120%
2019-03-24,1.2553,3.7100%
2019-03-22,3.1637,3.7060%
2019-03-21,0.6461,2.6720%
2019-03-20,0.6489,2.6560%
2019-03-19,0.6501,2.6470%
2019-03-18,0.6228,2.6380%
2019-03-17,1.2483,2.6470%
2019-03-15,1.2411,2.6680%
2019-03-14,0.6159,2.5930%
2019-03-13,0.6332,2.6080%
2018-07-29,1.8618,3.9580%
2018-07-27,0.9314,3.9370%
2018-07-26,0.9309,3.9260%
2018-07-25,0.9310,3.9150%
2018-07-24,1.3307,3.8970%
2018-07-23,1.4591,3.6470%
2018-07-22,1.8228,3.1990%
2018-07-20,0.9113,3.1430%
2018-07-19,0.9113,3.0860%
2018-07-18,0.8964,3.0810%
2018-07-17,0.8699,3.0770%
2018-07-16,0.6276,3.0890%
2018-07-15,1.7180,3.2270%
2018-07-13,0.8055,3.2590%
2018-07-12,0.9020,3.3220%
2018-07-11,0.8893,3.3730%
2018-07-10,0.8924,3.5050%
2018-07-09,0.8847,3.6160%
2018-07-08,1.7762,3.7830%
2018-07-06,0.9222,4.1250%
2017-11-27,0.9527,3.6580%
2017-11-26,1.9286,3.6980%
2017-11-24,0.9518,3.8390%
2017-11-23,0.9971,3.9130%
2017-11-22,1.0052,3.9270%
2017-11-21,1.0545,3.9420%
2017-11-20,1.0267,3.9330%
