净值日期,每万份收益,7日年化收益率（%）
2019-12-06,1.5962,5.1130%
2019-12-05,0.6212,4.5880%
2019-12-04,0.6233,4.5960%
2019-12-03,0.6274,4.6040%
2019-12-02,4.8229,4.6090%
2019-12-01,1.2730,2.3530%
2019-11-29,0.6365,2.3680%
2019-11-28,0.6351,2.3750%
2019-11-27,0.6382,2.3840%
2019-11-26,0.6374,2.6030%
2019-11-25,0.6407,3.7610%
2019-11-24,1.3007,4.1530%
2019-11-22,0.6504,4.0150%
2019-11-21,0.6512,3.9770%
2019-11-20,1.0487,3.9290%
2019-11-19,2.7884,3.7000%
2019-11-18,1.3655,3.1640%
2019-11-17,1.0455,2.7310%
2019-11-15,0.5804,2.7630%
2019-11-14,0.5636,2.7470%
2019-04-04,0.7306,2.6960%
2019-04-03,0.7303,2.6890%
2019-04-02,0.7280,2.6800%
2019-04-01,0.7256,2.6730%
2019-03-31,1.4588,2.6560%
2019-03-29,0.7294,2.6170%
2019-03-28,0.7163,3.9640%
2019-03-27,0.7143,3.9620%
2019-03-26,0.7154,3.9620%
2019-03-25,0.6929,3.9620%
2019-03-24,1.3869,3.9590%
2019-03-22,3.2295,3.9560%
2019-03-21,0.7126,2.9190%
2019-03-20,0.7146,2.9060%
2019-03-19,0.7159,2.8980%
2019-03-18,0.6883,2.8880%
2019-03-17,1.3798,2.8970%
2019-03-15,1.3068,2.9190%
2019-03-14,0.6893,2.8430%
2019-03-13,0.6989,2.8540%
2018-07-29,1.9933,4.2080%
2018-07-27,0.9972,4.1870%
2018-07-26,0.9967,4.1760%
2018-07-25,0.9968,4.1650%
2018-07-24,1.3965,4.1460%
2018-07-23,1.5249,3.8960%
2018-07-22,1.9543,3.4470%
2018-07-20,0.9770,3.3900%
2018-07-19,0.9770,3.3330%
2018-07-18,0.9618,3.3290%
2018-07-17,0.9356,3.3280%
2018-07-16,0.6930,3.3400%
2018-07-15,1.8495,3.4790%
2018-07-13,0.8713,3.5100%
2018-07-12,0.9687,3.5730%
2018-07-11,0.9602,3.6240%
2018-07-10,0.9582,3.7540%
2018-07-09,0.9504,3.8650%
2018-07-08,1.9077,4.0200%
2018-07-06,0.9880,4.3630%
2017-11-27,1.0170,3.9060%
2017-11-26,2.0603,3.9470%
2017-11-24,1.0180,4.0880%
2017-11-23,1.0630,4.1620%
2017-11-22,1.0710,4.1760%
2017-11-21,1.1188,4.1910%
2017-11-20,1.0926,4.1830%
2017-11-19,2.3220,4.2010%
2017-11-17,1.1537,4.1610%
2017-11-16,1.0881,4.1440%
2017-11-15,1.0995,4.1590%
2017-11-14,1.1030,4.1740%
2017-11-13,1.1266,4.1880%
2017-11-12,2.2474,4.1590%
2017-11-10,1.1235,4.0590%
2017-11-09,1.1158,4.0240%
2017-11-08,1.1259,3.9690%
2017-11-07,1.1297,3.9560%
2017-11-06,1.0722,3.9410%
2017-11-05,2.0647,3.9420%
2019-11-13,0.6246,2.7390%
2019-11-12,1.7943,2.6880%
2019-11-11,0.5592,2.0380%
2019-11-10,1.1044,2.0210%
2019-11-08,0.5522,2.0310%
2019-11-07,0.5485,2.0370%
2019-11-06,0.5289,2.0440%
2019-11-05,0.5753,2.0630%
2019-11-04,0.5275,2.0560%
2019-11-03,1.1243,2.0830%
2019-11-01,0.5621,2.1020%
2019-10-31,0.5632,2.1110%
2019-10-30,0.5630,2.1190%
2019-10-29,0.5629,2.1270%
2019-10-28,0.5792,2.0780%
2019-10-27,1.1584,2.0180%
2019-10-25,0.5792,2.0000%
2019-10-24,0.5785,1.9920%
2019-10-23,0.5784,1.9840%
2019-10-22,0.4710,1.9810%
2019-03-12,0.6975,2.8570%
2019-03-11,0.7056,2.8540%
2019-03-10,1.4193,2.9130%
2019-03-08,1.1667,3.0580%
2019-03-07,0.7098,2.8840%
2019-03-06,0.7030,2.9560%
2019-03-05,0.6927,3.0380%
2019-03-04,0.8160,3.1220%
2019-03-03,1.6880,3.0590%
2019-03-01,0.8440,2.9080%
2019-02-28,0.8440,2.8320%
2019-02-27,0.8553,2.7570%
2019-02-26,0.8496,2.6760%
2019-02-25,0.6974,2.5980%
2019-02-24,1.4069,2.6110%
2019-02-22,0.7034,2.6370%
2019-02-21,0.7034,2.6470%
2019-02-20,0.7042,2.6660%
2019-02-19,0.7029,2.6790%
2019-02-18,0.7233,2.9670%
2018-07-05,1.0632,4.5750%
2018-07-04,1.2005,4.6540%
2018-07-03,1.1636,4.6710%
2018-07-02,1.2357,4.6930%
2018-07-01,1.2693,4.6610%
2018-06-30,1.2693,4.5770%
2018-06-29,1.3774,4.4930%
2018-06-28,1.2087,4.4360%
2018-06-27,1.2321,4.4090%
2018-06-26,1.2038,4.4170%
2018-06-25,1.1769,4.3030%
2018-06-24,2.2308,4.2130%
2018-06-22,1.2732,4.1020%
2018-06-21,1.1580,3.9590%
2018-06-20,1.2476,3.8760%
2018-06-19,0.9935,3.7380%
2018-06-18,3.0370,3.7430%
2018-06-15,1.0109,3.7300%
2018-06-14,1.0043,3.7430%
2018-06-13,0.9928,3.7780%
2017-11-03,1.0573,3.9970%
2017-11-02,1.0151,4.0120%
2017-11-01,1.1023,4.0830%
2017-10-31,1.1024,4.0510%
2017-10-30,1.0729,4.0360%
2017-10-29,2.1668,4.0250%
2017-10-27,1.0840,4.0210%
2017-10-26,1.1468,4.0010%
2017-10-25,1.0423,3.9730%
2017-10-24,1.0765,4.0000%
2017-10-23,1.0524,4.0100%
2017-10-22,2.1581,4.0270%
2017-10-20,1.0474,4.0260%
2017-10-19,1.0952,4.0440%
2017-10-18,1.0926,4.0170%
2017-10-17,1.0942,3.9810%
2017-10-16,1.0851,3.9800%
2017-10-15,2.1553,3.9730%
2017-10-13,1.0810,4.0070%
2017-10-12,1.0451,4.0220%
2019-10-21,0.4664,3.9020%
2019-10-20,1.1252,3.9470%
2019-10-18,0.5628,3.9510%
2019-10-17,0.5632,3.9510%
2019-10-16,0.5731,3.9540%
2019-10-15,4.0518,4.3300%
2019-10-14,0.5489,2.4470%
2019-10-13,1.1322,2.4690%
2019-10-11,0.5640,2.4950%
2019-10-10,0.5673,2.5080%
2019-10-09,1.2654,2.5200%
2019-10-08,0.5596,2.1600%
2019-10-07,4.1287,2.1760%
2019-09-30,0.5898,2.9030%
2019-09-29,1.1780,2.8920%
2019-09-27,0.5908,2.8640%
2019-09-26,0.5706,2.8480%
2019-09-25,1.9899,2.8330%
2019-09-24,0.5697,2.0510%
2019-09-23,0.5695,2.0940%
2019-02-17,1.4555,2.9900%
2019-02-15,0.7222,3.0450%
2019-02-14,0.7386,3.0750%
2019-02-13,0.7277,3.0970%
2019-02-12,1.2409,3.1250%
2019-02-11,0.7654,2.8760%
2019-02-10,7.0096,2.8840%
2019-02-01,0.7787,2.7810%
2019-01-31,0.7787,2.7520%
2019-01-30,0.7789,2.7230%
2019-01-29,0.7470,2.6920%
2019-01-28,0.7259,2.6840%
2019-01-27,1.4517,2.8790%
2019-01-25,0.7251,2.9010%
2019-01-24,0.7232,2.9120%
2019-01-23,0.7224,2.9840%
2019-01-22,0.7318,2.9500%
2019-01-21,1.0887,2.9050%
2019-01-20,1.4943,2.7120%
2019-01-18,0.7444,2.6970%
2018-06-12,1.0032,3.8080%
2018-06-11,1.0030,3.8170%
2018-06-10,2.0097,3.8260%
2018-06-08,1.0352,3.8480%
2018-06-07,1.0689,3.9190%
2018-06-06,1.0480,3.9280%
2018-06-05,1.0192,3.9240%
2018-06-04,1.0193,3.9320%
2018-06-03,2.0512,3.9350%
2018-06-01,1.1662,3.9050%
2018-05-31,1.0861,3.8220%
2018-05-30,1.0405,3.7930%
2018-05-29,1.0331,3.8950%
2018-05-28,1.0258,4.1410%
2018-05-27,1.9947,4.6640%
2018-05-25,1.0130,4.6780%
2018-05-24,1.0338,4.6790%
2018-05-23,1.2275,4.7030%
2018-05-22,1.4879,4.6210%
2018-05-21,1.9859,4.3980%
2017-10-11,1.0262,4.0570%
2017-10-10,1.0934,4.1020%
2017-10-09,1.0707,4.1100%
2017-10-08,9.9801,4.1310%
2017-09-29,1.1120,4.1200%
2017-09-28,1.1202,4.1230%
2017-09-27,1.1495,4.0930%
2017-09-26,1.0990,4.0700%
2017-09-25,1.1039,4.0740%
2017-09-24,2.1590,4.0720%
2017-09-22,1.1168,4.0830%
2017-09-21,1.0659,4.0610%
2017-09-20,1.1067,4.1060%
2017-09-19,1.1063,4.1190%
2017-09-18,1.1007,4.1100%
2017-09-17,2.1783,4.0600%
2017-09-15,1.0772,3.8490%
2017-09-14,1.1488,3.7590%
2017-09-13,1.1298,3.7020%
2017-09-12,1.0896,3.6470%
2019-09-22,1.1246,2.0840%
2019-09-20,0.5623,2.0840%
2019-09-19,0.5426,2.0840%
2019-09-18,0.5250,2.0950%
2019-09-17,0.6498,2.1170%
2019-09-16,0.5514,2.0730%
2019-09-15,1.6876,2.0830%
2019-09-12,0.5625,2.0930%
2019-09-11,0.5672,2.0920%
2019-09-10,0.5669,2.0880%
2019-09-09,0.5690,2.0830%
2019-09-08,1.1381,2.0920%
2019-09-06,0.5691,2.1100%
2019-09-05,0.5599,2.1190%
2019-09-04,0.5599,2.1300%
2019-09-03,0.5581,2.1410%
2019-09-02,0.5860,2.1530%
2019-09-01,1.1722,2.1460%
2019-08-30,0.5861,2.1320%
2019-08-29,0.5796,2.5050%
2019-01-17,0.8581,2.6910%
2019-01-16,0.6587,2.6110%
2019-01-15,0.6478,2.6500%
2019-01-14,0.7278,2.7090%
2019-01-13,1.4674,2.7120%
2019-01-11,0.7337,2.7180%
2019-01-10,0.7076,2.7200%
2019-01-09,0.7324,2.7320%
2019-01-08,0.7566,2.7410%
2019-01-07,0.7349,2.9480%
2019-01-06,1.4774,3.1670%
2019-01-04,0.7386,3.6030%
2019-01-03,0.7287,3.8220%
2019-01-02,0.7491,4.0680%
2019-01-01,1.1433,4.2570%
2018-12-31,3.4296,4.2200%
2018-12-28,1.1432,3.7570%
2018-12-27,1.1827,3.5380%
2018-12-26,1.0976,3.3140%
2018-12-25,1.0753,3.1350%
2018-05-20,2.0198,3.8900%
2018-05-18,1.0162,3.8610%
2018-05-17,1.0763,3.9780%
2018-05-16,1.0780,4.0510%
2018-05-15,1.0794,4.0580%
2018-05-14,1.0503,4.1140%
2018-05-13,1.9656,4.1100%
2018-05-11,1.2317,4.1990%
2018-05-10,1.2114,4.1820%
2018-05-09,1.0906,4.1060%
2018-05-08,1.1831,4.0730%
2018-05-07,1.0431,4.1090%
2018-05-06,2.1284,4.2210%
2018-05-04,1.2002,4.4220%
2018-05-03,1.0720,4.4490%
2018-05-02,1.0303,4.5400%
2018-05-01,4.9970,4.6460%
2018-04-27,1.2491,4.3420%
2018-04-26,1.2394,4.2400%
2018-04-25,1.2242,4.2300%
2017-09-11,1.0092,3.6040%
2017-09-10,1.7894,3.6380%
2017-09-08,0.9113,3.8090%
2017-09-07,1.0419,3.8850%
2017-09-06,1.0285,3.9130%
2017-09-05,1.0107,3.9440%
2017-09-04,1.0717,3.9670%
2017-09-03,2.1046,3.9510%
2017-09-01,1.0522,3.9360%
2017-08-31,1.0943,3.9290%
2017-08-30,1.0854,3.9140%
2017-08-29,1.0527,3.8810%
2017-08-28,1.0417,3.8830%
2017-08-27,2.0778,3.8770%
2017-08-25,1.0389,3.8180%
2017-08-24,1.0679,3.7890%
2017-08-23,1.0244,3.7320%
2017-08-22,1.0561,3.6190%
2017-08-21,1.0297,3.5590%
2017-08-20,1.9698,3.4360%
2019-08-28,0.5803,2.5070%
2019-08-27,0.5803,2.5140%
2019-08-26,0.5736,2.5210%
2019-08-25,1.1459,2.5350%
2019-08-23,1.2851,2.5650%
2019-08-22,0.5832,2.1990%
2019-08-21,0.5939,2.2180%
2019-08-20,0.5938,2.2310%
2019-08-19,0.6002,2.2400%
2019-08-18,1.2006,2.2590%
2019-08-16,0.6003,2.2590%
2019-08-15,0.6184,2.2600%
2019-08-14,0.6184,2.2500%
2019-08-13,0.6098,2.2430%
2019-08-12,0.6366,2.2390%
2019-08-11,1.2015,2.2400%
2019-08-09,0.6007,2.2820%
2019-08-08,0.6008,2.3030%
2019-08-07,0.6046,2.3890%
2019-08-06,0.6024,2.4130%
2018-12-24,1.0947,2.9680%
2018-12-23,1.4805,2.8010%
2018-12-21,0.7373,2.8260%
2018-12-20,0.7669,2.8400%
2018-12-19,0.7650,2.8420%
2018-12-18,0.7646,2.8460%
2018-12-17,0.7829,2.8430%
2018-12-16,1.5281,2.8280%
2018-12-14,0.7640,2.8090%
2018-12-13,0.7696,2.8210%
2018-12-12,0.7730,3.2710%
2018-12-11,0.7587,3.2440%
2018-12-10,0.7556,3.2270%
2018-12-09,1.4917,3.2140%
2018-12-07,0.7869,3.2320%
2018-12-06,1.6073,3.2190%
2018-12-05,0.7235,2.7650%
2018-12-04,0.7268,2.7850%
2018-12-03,0.7318,2.8030%
2018-12-02,1.5250,2.8210%
2018-04-24,1.2985,4.1080%
2018-04-23,1.0569,3.9410%
2018-04-22,2.0845,3.9310%
2018-04-20,1.0606,3.9340%
2018-04-19,1.2219,3.9230%
2018-04-18,0.9983,3.8250%
2018-04-17,0.9919,3.8450%
2018-04-16,1.0379,3.8710%
2018-04-15,2.0903,3.8900%
2018-04-13,1.0395,3.9460%
2018-04-12,1.0417,3.9970%
2018-04-11,1.0349,4.0470%
2018-04-10,1.0402,4.1000%
2018-04-09,1.0727,4.1620%
2018-04-08,4.4604,4.1880%
2018-04-04,1.1336,4.3600%
2018-04-03,1.1545,4.3930%
2018-04-02,1.1208,5.4910%
2018-04-01,2.3825,5.5310%
2018-03-30,1.1978,5.4930%
2017-08-18,0.9849,3.2190%
2017-08-17,0.9619,3.1100%
2017-08-16,0.8156,3.0390%
2017-08-15,0.9459,3.0470%
2017-08-14,0.8019,2.9810%
2017-08-13,9.4995,2.9810%
2017-08-11,5.7497,3.0430%
2017-08-04,2.1844,4.0670%
2019-08-05,0.6382,2.4440%
2019-08-04,1.2802,2.4440%
2019-08-02,0.6401,2.4400%
2019-08-01,0.7619,2.4380%
2019-07-31,0.6508,2.3710%
2019-07-30,0.6606,2.3640%
2019-07-29,0.6365,2.3510%
2019-07-28,1.2733,2.3560%
2019-07-26,0.6366,2.3700%
2019-07-25,0.6363,2.3760%
2019-07-24,0.6370,2.3820%
2019-07-23,0.6365,2.4390%
2019-07-22,0.6472,2.4470%
2019-07-21,1.2988,2.3630%
2019-07-19,0.6479,2.3220%
2019-07-18,0.6479,2.2530%
2019-07-17,0.7425,2.2310%
2019-07-16,0.6523,2.1600%
2019-07-15,0.4906,2.1380%
2019-07-14,1.2205,2.1970%
2018-11-30,0.7625,2.7990%
2018-11-29,0.7610,2.7870%
2018-11-28,0.7610,2.7790%
2018-11-27,0.7610,2.7670%
