净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.6610,2.4600%
2019-12-05,0.6371,2.4750%
2019-12-04,0.6382,2.4800%
2019-12-03,0.6779,2.4770%
2019-12-02,0.6670,2.4630%
2019-12-01,1.3792,2.4510%
2019-11-29,0.6887,2.3880%
2019-11-28,0.6482,2.3570%
2019-11-27,0.6320,2.3430%
2019-11-26,0.6518,2.3310%
2019-11-25,0.6436,2.2970%
2019-11-24,1.2610,2.2890%
2019-11-22,0.6305,2.2860%
2019-11-21,0.6229,4.1060%
2019-11-20,0.6101,4.1130%
2019-11-19,0.5879,4.1390%
2019-11-18,0.6275,4.1760%
2019-11-17,1.2561,4.1760%
2019-11-15,4.0139,4.1710%
2019-11-14,0.6349,2.3480%
2019-04-04,0.6970,2.9950%
2019-04-03,0.7070,3.0180%
2019-04-02,0.7611,3.0470%
2019-04-01,0.7164,3.0350%
2019-03-31,1.4978,3.0500%
2019-03-29,1.2803,3.0260%
2019-03-28,0.7399,2.7250%
2019-03-27,0.7617,2.6980%
2019-03-26,0.7374,2.6940%
2019-03-25,0.7456,2.7150%
2019-03-24,1.4519,3.3820%
2019-03-22,0.7200,3.4530%
2019-03-21,0.6888,3.4920%
2019-03-20,0.7553,3.5130%
2019-03-19,0.7755,3.4860%
2019-03-18,1.9883,3.4310%
2019-03-17,1.5834,2.7350%
2019-03-15,0.7916,2.6290%
2019-03-14,0.7274,2.5560%
2019-03-13,0.7061,2.5100%
2018-07-29,1.7487,4.8670%
2018-07-27,0.8689,4.9460%
2018-07-26,1.2913,4.9880%
2018-07-25,0.8925,4.8000%
2018-07-24,3.3790,4.8300%
2018-07-23,0.9345,3.5140%
2018-07-22,1.8926,3.5250%
2018-07-20,0.9465,3.5360%
2018-07-19,0.9477,3.5410%
2018-07-18,0.9465,3.5400%
2018-07-17,0.9564,3.5300%
2018-07-16,0.9547,3.5620%
2018-07-15,1.9127,3.5820%
2018-07-13,0.9557,3.6540%
2018-07-12,0.9458,3.6880%
2018-07-11,0.9284,3.7110%
2018-07-10,1.0153,3.8220%
2018-07-09,0.9925,3.9220%
2018-07-08,2.0454,4.0260%
2018-07-06,1.0191,4.1570%
2017-11-27,5.0109,10.0890%
2017-11-26,2.1257,7.6840%
2017-11-24,3.0105,7.3700%
2017-11-23,5.8701,6.2130%
2017-11-22,0.8006,3.4260%
2017-11-21,1.6198,3.4060%
2017-11-20,0.7736,2.9450%
2017-11-19,1.5649,2.9470%
2017-11-17,0.9327,2.9440%
2017-11-16,0.7681,3.5290%
2017-11-15,0.7636,3.3080%
2017-11-14,0.7636,3.0920%
2017-11-13,0.7768,2.8730%
2017-11-12,1.5592,2.9090%
2017-11-10,2.0212,2.9920%
2017-11-09,0.3582,2.3680%
2017-11-08,0.3609,2.6250%
2017-11-07,0.3564,2.8830%
2017-11-06,0.8441,3.1470%
2017-11-05,1.7127,3.1100%
2019-11-13,0.6581,2.3440%
2019-11-12,0.6563,2.3240%
2019-11-11,0.6270,2.3150%
2019-11-10,1.2468,2.3210%
2019-11-08,0.6275,2.2620%
2019-11-07,0.6270,2.2360%
2019-11-06,0.6217,2.2580%
2019-11-05,0.6384,2.2720%
2019-11-04,0.6386,2.2650%
2019-11-03,1.1369,2.2580%
2019-11-01,0.5783,2.2940%
2019-10-31,0.6681,2.3090%
2019-10-30,0.6484,2.2890%
2019-10-29,0.6248,2.2900%
2019-10-28,0.6267,2.3080%
2019-10-27,1.2041,2.3180%
2019-10-25,0.6066,2.3600%
2019-10-24,0.6305,2.3740%
2019-10-23,0.6495,2.3740%
2019-10-22,0.6589,2.3730%
2019-03-12,0.6723,2.4670%
2019-03-11,0.6935,2.4810%
2019-03-10,1.3852,3.5560%
2019-03-08,0.6565,3.0480%
2019-03-07,0.6413,2.8150%
2019-03-06,0.6250,3.2790%
2019-03-05,0.6993,3.3180%
2019-03-04,2.6945,4.4260%
2019-03-03,0.4416,3.3620%
2019-03-01,0.2225,3.8950%
2019-02-28,1.5048,4.1600%
2019-02-27,0.6984,3.7430%
2019-02-26,2.7452,3.7490%
2019-02-25,0.7301,2.6500%
2019-02-24,1.4277,2.6400%
2019-02-22,0.7104,2.6510%
2019-02-21,0.7359,2.6580%
2019-02-20,0.7093,2.6510%
2019-02-19,0.7033,2.6740%
2019-02-18,0.7100,2.7030%
2018-07-05,0.9878,4.2250%
2018-07-04,1.1335,4.3310%
2018-07-03,1.1999,4.3300%
2018-07-02,1.1848,4.2890%
2018-07-01,1.1434,4.2630%
2018-06-30,1.1435,4.2500%
2018-06-29,1.1430,4.2360%
2018-06-28,1.1831,4.2210%
2018-06-27,1.1325,4.2000%
2018-06-26,1.1235,4.1560%
2018-06-25,1.1378,4.1600%
2018-06-24,2.2372,4.1430%
2018-06-22,1.1146,4.1300%
2018-06-21,1.1458,4.1260%
2018-06-20,1.0506,4.1060%
2018-06-19,1.1304,4.1360%
2018-06-18,3.3208,4.2660%
2018-06-15,1.1073,4.1930%
2018-06-14,1.1093,4.1710%
2018-06-13,1.1054,4.1440%
2017-11-03,0.8559,3.0090%
2017-11-02,0.8401,2.9560%
2017-11-01,0.8412,2.9920%
2017-10-31,0.8485,3.0310%
2017-10-30,0.7753,3.1150%
2017-10-29,1.5253,3.2960%
2017-10-27,0.7569,3.7430%
2017-10-26,0.9065,3.9670%
2017-10-25,0.9150,4.1200%
2017-10-24,1.0047,4.2640%
2017-10-23,1.1105,4.3590%
2017-10-22,2.3545,4.4000%
2017-10-20,1.1704,4.4130%
2017-10-19,1.1890,4.4230%
2017-10-18,1.1796,4.4570%
2017-10-17,1.1797,4.4880%
2017-10-16,1.1859,4.5250%
2017-10-15,2.3780,4.5550%
2017-10-13,1.1889,4.5890%
2017-10-12,1.2513,4.6060%
2019-10-21,0.6462,2.3660%
2019-10-20,1.2820,2.3540%
2019-10-18,0.6331,2.3350%
2019-10-17,0.6310,2.3290%
2019-10-16,0.6465,2.3000%
2019-10-15,0.6462,2.2830%
2019-10-14,0.6240,2.2700%
2019-10-13,1.2459,2.2860%
2019-10-11,0.6224,2.3200%
2019-10-10,0.5759,2.3370%
2019-10-09,0.6147,2.3780%
2019-10-08,0.6227,2.3990%
2019-10-07,4.5786,2.4160%
2019-09-30,0.6463,2.8940%
2019-09-29,1.2953,2.8950%
2019-09-27,0.6247,2.8950%
2019-09-26,1.6657,2.9140%
2019-09-25,0.6175,2.3660%
2019-09-24,0.6213,2.3820%
2019-09-23,0.6490,2.3880%
2019-02-17,1.4492,2.7330%
2019-02-15,0.7237,2.8330%
2019-02-14,0.7225,2.8830%
2019-02-13,0.7523,2.9340%
2019-02-12,0.7575,2.9690%
2019-02-11,0.7655,3.0020%
2019-02-10,7.3612,3.0300%
2019-02-01,0.8174,2.8170%
2019-01-31,0.8143,2.7690%
2019-01-30,0.7414,2.7220%
2019-01-29,0.7556,2.7540%
2019-01-28,0.7363,4.2150%
2019-01-27,1.4627,4.2000%
2019-01-25,0.7287,4.1810%
2019-01-24,0.7254,4.1710%
2019-01-23,0.8021,4.7680%
2019-01-22,3.4627,4.6640%
2019-01-21,0.7101,3.1170%
2019-01-20,1.4272,3.0630%
2019-01-18,0.7105,2.9450%
2018-06-12,1.3700,4.1200%
2018-06-11,1.0415,3.9490%
2018-06-10,2.1452,4.3300%
2018-06-08,1.0665,4.2900%
2018-06-07,1.0595,4.2900%
2018-06-06,1.0613,4.2990%
2018-06-05,1.0533,4.3110%
2018-06-04,1.7442,4.3260%
2018-06-03,2.0713,3.9630%
2018-06-01,1.0664,3.9030%
2018-05-31,1.0764,3.8750%
2018-05-30,1.0835,3.8570%
2018-05-29,1.0810,3.8490%
2018-05-28,1.0750,3.8360%
2018-05-27,1.9602,3.8190%
2018-05-25,1.0159,3.8790%
2018-05-24,1.0421,3.8900%
2018-05-23,1.0686,3.8830%
2018-05-22,1.0583,3.8710%
2018-05-21,1.0421,3.8630%
2017-10-11,1.2366,4.5890%
2017-10-10,1.2475,4.5800%
2017-10-09,1.2406,4.5650%
2017-10-08,10.9820,4.5540%
2017-09-29,1.2204,4.3450%
2017-09-28,1.1919,4.2780%
2017-09-27,1.2772,4.2260%
2017-09-26,1.1608,4.1270%
2017-09-25,1.1012,4.0900%
2017-09-24,2.2053,4.0850%
2017-09-22,1.0986,4.0740%
2017-09-21,1.0957,4.0780%
2017-09-20,1.0947,4.0740%
2017-09-19,1.0933,4.0710%
2017-09-18,1.0911,4.0570%
2017-09-17,2.1858,4.0430%
2017-09-15,1.1054,4.0150%
2017-09-14,1.0891,3.9930%
2017-09-13,1.0885,3.9800%
2017-09-12,1.0665,3.9660%
2019-09-22,1.2959,2.3690%
2019-09-20,0.6588,2.3260%
2019-09-19,0.6432,2.2990%
2019-09-18,0.6463,2.2860%
2019-09-17,0.6322,2.7800%
2019-09-16,0.6140,2.7780%
2019-09-15,1.8236,2.7870%
2019-09-12,0.6194,2.8340%
2019-09-11,1.5694,2.8360%
2019-09-10,0.6287,2.3280%
2019-09-09,0.6306,2.3240%
2019-09-08,1.2756,2.3230%
2019-09-06,0.6369,2.3120%
2019-09-05,0.6222,2.3000%
