净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7834,2.7900%
2019-12-05,0.7862,2.7930%
2019-12-04,0.5554,2.7980%
2019-12-03,0.7864,2.9240%
2019-12-02,0.7853,2.8330%
2019-12-01,1.5801,2.8360%
2019-11-29,0.7900,2.8340%
2019-11-28,0.7957,2.8000%
2019-11-27,0.7903,2.7950%
2019-11-26,0.6159,2.8620%
2019-11-25,0.7907,2.9580%
2019-11-24,1.5779,2.9129%
2019-11-22,0.7266,2.8930%
2019-11-21,0.7859,2.9150%
2019-11-20,0.9158,2.9030%
2019-11-19,0.7946,2.8170%
2019-11-18,0.7054,2.7930%
2019-11-17,1.5411,2.8200%
2019-11-15,0.7674,2.8080%
2019-11-14,0.7635,2.8040%
2019-04-04,0.6453,2.8020%
2019-04-03,0.7123,2.8960%
2019-04-02,0.7433,3.0170%
2019-04-01,0.7689,3.0200%
2019-03-31,1.5630,3.1349%
2019-03-29,0.8669,2.9450%
2019-03-28,0.8217,2.9000%
2019-03-27,0.9369,3.1030%
2019-03-26,0.7482,3.0040%
2019-03-25,0.9843,3.0230%
2019-03-24,1.2083,2.8910%
2019-03-22,0.7829,3.0240%
2019-03-21,1.1999,3.0610%
2019-03-20,0.7520,2.8950%
2019-03-19,0.7850,2.8760%
2019-03-18,0.7378,2.8390%
2019-03-17,1.4568,2.8380%
2019-03-15,0.8517,2.8230%
2019-03-14,0.8892,2.7500%
2019-03-13,0.7182,2.6620%
2018-07-29,2.0399,3.7720%
2018-07-27,1.0195,3.7660%
2018-07-26,1.0148,3.7630%
2018-07-25,1.0111,3.7580%
2018-07-24,1.0063,3.8080%
2018-07-23,1.0092,3.7980%
2018-07-22,2.0290,3.7860%
2018-07-20,1.0139,3.7490%
2018-07-19,1.0055,3.7300%
2018-07-18,1.1045,3.7140%
2018-07-17,0.9873,3.6560%
2018-07-16,0.9879,3.6750%
2018-07-15,1.9598,3.7050%
2018-07-13,0.9794,3.7950%
2018-07-12,0.9745,3.8410%
2018-07-11,0.9973,3.9440%
2018-07-10,1.0237,4.1220%
2018-07-09,1.0432,4.3060%
2018-07-08,2.1258,4.4860%
2018-07-06,1.0638,4.8140%
2017-11-27,1.2212,4.4700%
2017-11-26,2.4045,4.4610%
2017-11-24,1.2113,4.4650%
2017-11-23,1.1997,4.4620%
2017-11-22,1.1949,4.4650%
2017-11-21,1.1557,4.4640%
2017-11-20,1.2045,4.4720%
2017-11-19,2.4124,4.4560%
2017-11-17,1.2060,4.4210%
2017-11-16,1.2044,4.4030%
2017-11-15,1.1932,4.3900%
2017-11-14,1.1696,4.3810%
2017-11-13,1.1759,4.3890%
2017-11-12,2.3473,4.3920%
2017-11-10,1.1735,4.4100%
2017-11-09,1.1798,4.4190%
2017-11-08,1.1768,4.4290%
2017-11-07,1.1858,4.4450%
2017-11-06,1.1814,4.4330%
2017-11-05,2.3795,4.4440%
2017-03-26,2.2345,4.1990%
2017-03-24,1.1185,4.2110%
2017-03-23,1.1385,4.2160%
2017-03-22,1.1435,4.2080%
2017-03-21,1.1273,4.1970%
2017-03-20,1.1274,4.1900%
2017-03-19,2.2556,4.1900%
2017-03-17,1.1271,4.1850%
2017-03-16,1.1238,4.1830%
2017-03-15,1.1233,4.1950%
2017-03-14,1.1157,4.1870%
2017-03-13,1.1264,4.1790%
2017-03-12,2.2469,4.1730%
2017-03-10,1.1235,4.1640%
2017-03-09,1.1464,4.1600%
2017-03-08,1.1079,4.1450%
2017-03-07,1.1011,4.1510%
2017-03-06,1.1152,4.1600%
2017-03-05,2.2312,4.1560%
2017-03-03,1.1144,4.1450%
2019-11-13,0.7555,2.8060%
2019-11-12,0.7508,2.8110%
2019-11-11,0.7547,2.6760%
2019-11-10,1.5199,2.6850%
2019-11-08,0.7598,2.6970%
2019-11-07,0.7660,2.7040%
2019-11-06,0.7651,2.7090%
2019-11-05,0.5000,2.7180%
2019-11-04,0.7703,2.8680%
2019-11-03,1.5437,2.7400%
2019-11-01,0.7713,2.7390%
2019-10-31,0.7769,2.7380%
2019-10-30,0.7812,2.7320%
2019-10-29,0.7800,2.7280%
2019-10-28,0.5315,2.7160%
2019-10-27,1.5410,2.8360%
2019-10-25,0.7706,2.8130%
2019-10-24,0.7650,2.7940%
2019-10-23,0.7737,2.7840%
2019-10-22,0.7574,2.7690%
2019-03-12,0.7159,2.6710%
2019-03-11,0.7345,2.7290%
2019-03-10,1.4305,2.7290%
2019-03-08,0.7150,2.7570%
2019-03-07,0.7237,2.7730%
2019-03-06,0.7349,2.7730%
2019-03-05,0.8252,2.7790%
2019-03-04,0.7338,2.7350%
2019-03-03,1.4840,2.7330%
2019-03-01,0.7447,2.7150%
2019-02-28,0.7240,2.7050%
2019-02-27,0.7452,2.7070%
2019-02-26,0.7431,2.7900%
2019-02-25,0.7304,2.8090%
2019-02-24,1.4498,2.8050%
2019-02-22,0.7259,2.8390%
2019-02-21,0.7275,2.8560%
2019-02-20,0.9005,2.8740%
2019-02-19,0.7785,2.8060%
2019-02-18,0.7227,2.8210%
2018-07-05,1.1643,4.9780%
2018-07-04,1.3260,5.0930%
2018-07-03,1.3623,5.0920%
2018-07-02,1.3737,5.0160%
2018-07-01,1.3636,4.7100%
2018-06-30,1.3635,4.6060%
2018-06-29,1.3632,4.5020%
2018-06-28,1.3749,4.4000%
2018-06-27,1.3247,4.3230%
2018-06-26,1.2241,4.1570%
2018-06-25,0.8124,4.1620%
2018-06-24,2.3469,4.3710%
2018-06-22,1.1763,4.4370%
2018-06-21,1.2326,4.4670%
2018-06-20,1.0184,4.3400%
2018-06-19,1.2344,4.4330%
2018-06-18,3.6647,4.3090%
2018-06-15,1.2310,4.3060%
2018-06-14,0.9994,4.1550%
2018-06-13,1.1903,4.1690%
2017-11-03,1.1896,4.4450%
2017-11-02,1.1992,4.4450%
2017-11-01,1.2058,4.4360%
2017-10-31,1.1629,4.4200%
2017-10-30,1.2014,4.4240%
2017-10-29,2.3816,4.4060%
2017-10-27,1.1905,4.3870%
2017-10-26,1.1830,4.3770%
2017-10-25,1.1755,4.3750%
2017-10-24,1.1700,4.3780%
2017-10-23,1.1692,4.3880%
2017-10-22,2.3457,4.4000%
2017-10-20,1.1727,4.4230%
2017-10-19,1.1786,4.4340%
2017-10-18,1.1813,4.4470%
2017-10-17,1.1890,4.4550%
2017-10-16,1.1919,4.4630%
2017-10-15,2.3864,4.4700%
2017-10-13,1.1930,4.4730%
2017-10-12,1.2027,4.4750%
2017-03-02,1.1196,4.1400%
2017-03-01,1.1193,4.1260%
2017-02-28,1.1173,4.1160%
2017-02-27,1.1070,4.1070%
2017-02-26,2.2118,4.1000%
2017-02-24,1.1043,4.0800%
2017-02-23,1.0952,4.0760%
2017-02-22,1.1006,4.0740%
2017-02-21,1.1010,4.0650%
2017-02-20,1.0929,4.0600%
2017-02-19,2.1752,4.0490%
2017-02-17,1.0968,4.0410%
2017-02-16,1.0915,4.0320%
2017-02-15,1.0843,4.0150%
2017-02-14,1.0928,3.9880%
2017-02-13,1.0727,3.9410%
2017-02-12,2.1605,3.9120%
2017-02-10,1.0795,3.8230%
2017-02-09,1.0597,3.7790%
2017-02-08,1.0355,3.7440%
2019-10-21,0.7561,2.7630%
2019-10-20,1.4981,2.7570%
2019-10-18,0.7343,2.7590%
2019-10-17,0.7465,2.7680%
2019-10-16,0.7461,2.7770%
2019-10-15,0.7455,2.7960%
2019-10-14,0.7451,2.8200%
2019-10-13,1.5018,2.8530%
2019-10-11,0.7520,2.9130%
2019-10-10,0.7623,2.9430%
2019-10-09,0.7818,2.9670%
2019-10-08,0.7903,2.9800%
2019-10-07,5.6482,2.9890%
2019-09-30,0.8067,3.0880%
2019-09-29,1.6316,3.0830%
2019-09-27,0.9762,3.0200%
2019-09-26,0.8245,2.9770%
2019-09-25,0.8170,3.0490%
2019-09-24,0.7763,3.2090%
2019-09-23,0.7976,3.2400%
2019-02-17,1.5149,2.8760%
2019-02-15,0.7571,2.9580%
2019-02-14,0.7613,3.0000%
2019-02-13,0.7724,3.0390%
2019-02-12,0.8066,3.0720%
2019-02-11,0.8259,3.0870%
2019-02-10,7.5062,3.0910%
2019-02-01,0.8337,3.0250%
2019-01-31,0.8402,2.9980%
2019-01-30,0.8359,2.9800%
2019-01-29,0.8297,2.9760%
2019-01-28,0.8167,3.2480%
2019-01-27,1.5602,3.2520%
2019-01-25,0.7818,3.3130%
2019-01-24,0.8070,3.3130%
2019-01-23,0.8298,3.3240%
2019-01-22,1.3353,3.3280%
2019-01-21,0.8238,3.0600%
2019-01-20,1.6730,3.0640%
2019-01-18,0.7815,3.0710%
2018-06-12,1.0059,4.1560%
2018-06-11,1.3420,4.1860%
2018-06-10,2.3174,4.0990%
2018-06-08,0.9531,4.1380%
2018-06-07,1.0246,4.1900%
2018-06-06,1.1667,4.1950%
2018-06-05,1.0609,4.2130%
2018-06-04,1.1816,4.2820%
2018-06-03,2.3898,4.2800%
2018-06-01,1.0481,4.2190%
2018-05-31,1.0351,4.2690%
2018-05-30,1.1991,4.3130%
2018-05-29,1.1884,4.2710%
2018-05-28,1.1772,4.2410%
2018-05-27,2.2783,4.2230%
2018-05-25,1.1387,4.2530%
2018-05-24,1.1173,4.2670%
2018-05-23,1.1217,4.2900%
2018-05-22,1.1333,4.2980%
2018-05-21,1.1443,4.2830%
2017-10-11,1.1962,4.4710%
2017-10-10,1.2044,4.4710%
2017-10-09,1.2042,4.4670%
2017-10-08,10.7642,4.4620%
2017-09-29,1.1957,4.4970%
2017-09-28,1.2021,4.5080%
2017-09-27,1.2089,4.5300%
2017-09-26,1.2099,4.5430%
2017-09-25,1.2119,4.5300%
2017-09-24,2.4079,4.5170%
2017-09-22,1.2160,4.4430%
2017-09-21,1.2431,4.4050%
2017-09-20,1.2321,4.3950%
2017-09-19,1.1855,4.3810%
2017-09-18,1.1879,4.3860%
2017-09-17,2.2735,4.4470%
2017-09-15,1.1455,4.4780%
2017-09-14,1.2239,4.5360%
2017-09-13,1.2065,4.5150%
2017-09-12,1.1955,4.5290%
2017-02-07,1.0050,3.7230%
2017-02-06,1.0204,3.7190%
2017-02-05,1.9951,3.7060%
2017-02-03,0.9976,3.7050%
2017-02-02,6.9757,3.7040%
2017-01-26,0.9952,3.8970%
2017-01-25,1.1124,3.9070%
2017-01-24,0.9934,3.7810%
2017-01-23,1.0912,3.7200%
2017-01-22,2.1097,3.5980%
2017-01-20,1.0302,3.3950%
2017-01-19,1.0130,3.3140%
2017-01-18,0.8809,3.2930%
2017-01-17,0.8804,3.3110%
2017-01-16,0.8658,3.2270%
2017-01-15,1.7322,3.1170%
2017-01-13,0.8799,2.9060%
2017-01-12,0.9738,2.7820%
2017-01-11,0.9151,2.6020%
2017-01-10,0.7239,2.6570%
2019-09-22,1.5144,3.3450%
2019-09-20,0.8956,3.3400%
2019-09-19,0.9599,3.2690%
2019-09-18,1.1143,3.0760%
2019-09-17,0.8337,2.8850%
2019-09-16,0.9930,2.9280%
2019-09-15,2.2676,2.7990%
2019-09-12,0.6023,2.7980%
2019-09-11,0.7574,2.7590%
2019-09-10,0.9140,2.7590%
2019-09-09,0.7538,2.6800%
2019-09-08,1.5100,2.6910%
2019-09-06,0.7549,2.7200%
2019-09-05,0.5290,2.7340%
2019-09-04,0.7586,2.7060%
2019-09-03,0.7652,2.7140%
2019-09-02,0.7755,2.7460%
2019-09-01,1.5631,2.7460%
2019-08-30,0.7812,2.6990%
2019-08-29,0.4777,2.6760%
2019-01-17,0.8273,3.1040%
2019-01-16,0.8379,3.1100%
2019-01-15,0.8375,3.1140%
2019-01-14,0.8319,3.1200%
2019-01-13,1.6852,3.1730%
2019-01-11,0.8423,3.2930%
2019-01-10,0.8386,3.3530%
2019-01-09,0.8460,3.4050%
2019-01-08,0.8483,3.4860%
2019-01-07,0.9306,3.5770%
2019-01-06,1.9085,3.6220%
2019-01-04,0.9540,3.6870%
2019-01-03,0.9345,3.7200%
2019-01-02,0.9962,3.8020%
2019-01-01,1.0160,3.9690%
2018-12-31,3.0439,3.9530%
2018-12-28,1.0144,3.8480%
2018-12-27,1.0860,3.8460%
2018-12-26,1.3047,4.0100%
2018-12-25,0.9861,3.7560%
2018-05-20,2.3321,4.2570%
2018-05-18,1.1658,4.1790%
2018-05-17,1.1589,4.1400%
2018-05-16,1.1364,4.1090%
2018-05-15,1.1065,4.0970%
2018-05-14,1.0966,4.1100%
2018-05-13,2.1883,4.1360%
2018-05-11,1.0939,4.1930%
2018-05-10,1.1012,4.2220%
2018-05-09,1.1148,4.3010%
2018-05-08,1.1309,4.3730%
2018-05-07,1.1432,4.4590%
2018-05-06,2.2944,4.5380%
2018-05-04,1.1466,4.6930%
2018-05-03,1.2459,4.7710%
2018-05-02,1.2471,4.8440%
2018-05-01,5.1565,4.8930%
2018-04-27,1.2887,4.6100%
2018-04-26,1.3802,4.5190%
2018-04-25,1.3374,4.3790%
2017-09-11,1.3000,4.5620%
2017-09-10,2.3309,4.5360%
2017-09-08,1.2514,4.6340%
2017-09-07,1.1845,4.6370%
2017-09-06,1.2323,4.6680%
2017-09-05,1.2572,4.6720%
2017-09-04,1.2522,4.6590%
2017-09-03,2.5112,4.6530%
2017-09-01,1.2551,4.6370%
2017-08-31,1.2429,4.6280%
2017-08-30,1.2384,4.6340%
2017-08-29,1.2340,4.6350%
2017-08-28,1.2410,4.6460%
2017-08-27,2.4811,4.6510%
2017-08-25,1.2398,4.6610%
2017-08-24,1.2528,4.6660%
2017-08-23,1.2405,4.6510%
2017-08-22,1.2551,4.6420%
2017-08-21,1.2501,4.6280%
2017-08-20,2.4991,4.6190%
2017-01-09,0.6617,2.8140%
2017-01-08,1.3392,3.1130%
2017-01-06,0.6483,3.7070%
2017-01-05,0.6385,4.0130%
2017-01-04,1.0186,4.2880%
2017-01-03,1.0165,4.2420%
2017-01-02,2.4380,3.7870%
2016-12-31,1.2217,3.1600%
2016-12-30,1.2134,2.9340%
2016-12-29,1.1441,2.7110%
2016-12-28,0.9342,2.4730%
2016-12-27,0.1773,2.3140%
2016-12-26,0.4738,2.7020%
2016-12-25,1.6028,2.8840%
2016-12-23,0.7979,3.3510%
2016-12-22,0.6986,3.5320%
2016-12-21,0.6361,3.3960%
2016-12-20,0.9046,3.3880%
2016-12-19,0.8126,3.3070%
2016-12-18,2.4718,3.2480%
2019-08-28,0.7724,2.7990%
2019-08-27,0.8247,2.7670%
2019-08-26,0.7762,2.7280%
2019-08-25,1.4754,2.6960%
2019-08-23,0.7376,2.6720%
2019-08-22,0.7088,2.7230%
2019-08-21,0.7113,2.7100%
2019-08-20,0.7526,2.7040%
2019-08-19,0.7172,2.6720%
2019-08-18,1.4298,2.7380%
2019-08-16,0.8328,2.6960%
2019-08-15,0.6845,2.6140%
2019-08-14,0.7009,2.6220%
2019-08-13,0.6919,2.6400%
2019-08-12,0.8402,2.6310%
2019-08-11,1.3513,2.5620%
2019-08-09,0.6806,2.6090%
2019-08-08,0.6980,2.6310%
2019-08-07,0.7357,2.6460%
2019-08-06,0.6742,2.6440%
2018-12-24,0.9637,3.6950%
2018-12-23,1.8868,3.6800%
2018-12-21,1.0111,3.4820%
2018-12-20,1.3884,3.3470%
2018-12-19,0.8355,3.1770%
2018-12-18,0.8741,3.2140%
2018-12-17,0.9347,3.1270%
2018-12-16,1.5215,3.0170%
2018-12-14,0.7597,2.9590%
2018-12-13,1.0731,2.9620%
2018-12-12,0.9036,2.8220%
2018-12-11,0.7120,2.7860%
2018-12-10,0.7306,2.8000%
2018-12-09,1.4136,2.8550%
2018-12-07,0.7660,2.9930%
2018-12-06,0.8117,3.0310%
2018-12-05,0.8354,3.0440%
2018-12-04,0.7391,3.0350%
2018-12-03,0.8322,3.0760%
2018-12-02,1.6718,3.0640%
2018-04-24,1.2186,4.2710%
2018-04-23,1.2005,4.2220%
2018-04-22,2.2184,4.1730%
2018-04-20,1.1211,4.1760%
2018-04-19,1.1235,4.1710%
2018-04-18,1.1391,4.1700%
2018-04-17,1.1281,4.1590%
2018-04-16,1.1107,4.1640%
2018-04-15,2.2248,4.2260%
2018-04-13,1.1119,4.3810%
2018-04-12,1.1207,4.4590%
2018-04-11,1.1186,4.5330%
2018-04-10,1.1367,4.6070%
2018-04-09,1.2257,4.7060%
2018-04-08,5.0212,4.7610%
2018-04-04,1.2549,4.8030%
2018-04-03,1.3174,4.7880%
2018-04-02,1.3264,4.7320%
2018-04-01,2.5866,4.6930%
2018-03-30,1.2915,4.5560%
