净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7379,3.1120%
2019-12-05,0.9264,3.1330%
2019-12-04,1.1088,3.0020%
2019-12-03,0.8736,2.8060%
2019-12-02,0.7843,2.7430%
2019-12-01,1.4472,2.7050%
2019-11-29,0.7772,2.7070%
2019-11-28,0.6824,2.7680%
2019-11-27,0.7424,2.8160%
2019-11-26,0.7574,2.8320%
2019-11-25,0.7127,2.8790%
2019-11-24,1.4507,2.8750%
2019-11-22,0.8919,2.8500%
2019-11-21,0.7704,2.7490%
2019-11-20,0.7732,2.7130%
2019-11-19,0.8457,2.7010%
2019-11-18,0.7037,2.6850%
2019-11-17,1.4056,2.7050%
2019-11-15,0.7017,2.6310%
2019-11-14,0.7036,2.6400%
2019-04-04,0.9637,3.1480%
2019-04-03,0.8200,3.0410%
2019-04-02,0.8565,3.0370%
2019-04-01,0.9630,3.1380%
2019-03-31,1.5206,3.0430%
2019-03-29,0.8215,3.0670%
2019-03-28,0.7635,3.1820%
2019-03-27,0.8125,3.2410%
2019-03-26,1.0454,3.4170%
2019-03-25,0.7860,3.6140%
2019-03-24,1.5655,3.6350%
2019-03-22,1.0343,3.5450%
2019-03-21,0.8744,3.3840%
2019-03-20,1.1392,3.3370%
2019-03-19,1.4101,3.2230%
2019-03-18,0.8246,3.4830%
2019-03-17,1.3982,3.3840%
2019-03-15,0.7363,3.3190%
2019-03-14,0.7880,3.3100%
2019-03-13,0.9269,3.3000%
2018-07-29,1.6167,3.1760%
2018-07-27,1.1126,3.2380%
2018-07-26,0.8108,3.1060%
2018-07-25,0.8061,3.1460%
2018-07-24,0.8077,3.1890%
2018-07-23,0.8434,3.2460%
2018-07-22,1.7318,4.4680%
2018-07-20,0.8665,4.4960%
2018-07-19,0.8858,4.5090%
2018-07-18,0.8858,4.9120%
2018-07-17,0.9126,4.9310%
2018-07-16,3.1003,4.9310%
2018-07-15,1.7833,3.7390%
2018-07-13,0.8904,3.7580%
2018-07-12,1.6247,3.7680%
2018-07-11,0.9203,3.4150%
2018-07-10,0.9121,3.4420%
2018-07-09,0.9095,3.4630%
2018-07-08,1.8186,3.6580%
2018-07-06,0.9094,4.0320%
2017-11-27,1.0999,4.0820%
2017-11-26,2.1895,4.0740%
2017-11-24,1.0948,4.0760%
2017-11-23,1.0946,3.7750%
2017-11-22,1.0959,3.7760%
2017-11-21,1.0989,3.7690%
2017-11-20,1.0853,3.7630%
2017-11-19,2.1928,3.7630%
2017-11-17,0.5390,3.7500%
2017-11-16,1.0961,4.0450%
2017-11-15,1.0836,4.0390%
2017-11-14,1.0888,4.0400%
2017-11-13,1.0841,4.0380%
2017-11-12,2.1689,4.0380%
2017-11-10,1.0844,4.0370%
2017-11-09,1.0834,4.0370%
2017-11-08,1.0859,4.0370%
2017-11-07,1.0854,4.0320%
2017-11-06,1.0835,4.0280%
2017-11-05,2.1682,3.6350%
2017-03-26,2.4593,4.1130%
2017-03-24,1.2299,3.7460%
2017-03-23,1.2828,3.5640%
2017-03-22,0.9583,3.3560%
2017-03-21,0.9077,3.3220%
2017-03-20,0.8917,3.3160%
2017-03-19,1.7838,3.3180%
2017-03-17,0.8925,3.3230%
2017-03-16,0.8960,3.3250%
2017-03-15,0.8960,3.3260%
2017-03-14,0.8963,3.3310%
2017-03-13,0.8963,3.3340%
2017-03-12,1.7930,3.3380%
2017-03-10,0.8966,3.3430%
2017-03-09,0.8964,3.3460%
2017-03-08,0.9064,3.3490%
2017-03-07,0.9023,3.3470%
2017-03-06,0.9019,3.3460%
2017-03-05,1.8038,3.3450%
2017-03-03,0.9020,3.3430%
2019-11-13,0.7511,2.6420%
2019-11-12,0.8158,2.6600%
2019-11-11,0.7405,2.6390%
2019-11-10,1.2681,2.9050%
2019-11-08,0.7190,2.9690%
2019-11-07,0.7073,3.1130%
2019-11-06,0.7851,3.1260%
2019-11-05,0.7759,3.0750%
2019-11-04,1.2368,3.0460%
2019-11-03,1.3874,2.7610%
2019-11-01,0.9873,2.7530%
2019-10-31,0.7315,2.6090%
2019-10-30,0.6892,2.5900%
2019-10-29,0.7219,2.5870%
2019-10-28,0.7062,2.5770%
2019-10-27,1.3719,2.6020%
2019-10-25,0.7199,2.6020%
2019-10-24,0.6952,2.5930%
2019-10-23,0.6836,2.5970%
2019-10-22,0.7025,2.6260%
2019-03-12,1.8915,3.1900%
2019-03-11,0.6421,2.9670%
2019-03-10,1.2767,2.9650%
2019-03-08,0.7197,2.9460%
2019-03-07,0.7701,2.9350%
2019-03-06,0.7233,2.9160%
2019-03-05,1.4757,2.9190%
2019-03-04,0.6385,3.0630%
2019-03-03,1.2405,3.4120%
2019-03-01,0.6997,3.4250%
2019-02-28,0.7347,3.4320%
2019-02-27,0.7284,3.3890%
2019-02-26,1.7447,3.3600%
2019-02-25,1.2874,3.0340%
2019-02-24,1.2642,3.0050%
2019-02-22,0.7126,3.0810%
2019-02-21,0.6544,3.2150%
2019-02-20,0.6744,3.3910%
2019-02-19,1.1388,3.4280%
2019-02-18,1.2345,3.4070%
2018-07-05,0.9711,4.2190%
2018-07-04,0.9697,4.3650%
2018-07-03,0.9519,4.5100%
2018-07-02,1.2706,4.6640%
2018-07-01,1.2542,4.5110%
2018-06-30,1.2544,4.3680%
2018-06-29,1.2545,4.2260%
2018-06-28,1.2381,4.0830%
2018-06-27,1.2360,3.8820%
2018-06-26,1.2346,3.7370%
2018-06-25,0.9902,3.5850%
2018-06-24,1.9848,3.5550%
2018-06-22,0.9925,3.5220%
2018-06-21,0.8672,3.5050%
2018-06-20,0.9674,3.4640%
2018-06-19,0.9524,3.4520%
2018-06-18,2.8594,3.4480%
2018-06-15,0.9617,3.4340%
2018-06-14,0.7900,3.4250%
2018-06-13,0.9451,3.5070%
2017-11-03,1.0841,3.6240%
2017-11-02,1.0831,3.6190%
2017-11-01,1.0776,3.6140%
2017-10-31,1.0778,3.6130%
2017-10-30,0.3575,3.6130%
2017-10-29,2.1474,4.0070%
2017-10-27,1.0740,4.0020%
2017-10-26,1.0748,4.0000%
2017-10-25,1.0755,3.8150%
2017-10-24,1.0788,3.8060%
2017-10-23,1.0842,3.7950%
2017-10-22,2.1394,3.7800%
2017-10-20,1.0696,3.7670%
2017-10-19,0.7337,3.7610%
2017-10-18,1.0582,3.9380%
