净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.5569,2.5480%
2019-12-07,0.5568,2.6250%
2019-12-06,1.0373,2.7020%
2019-12-05,0.5795,2.5200%
2019-12-04,0.6891,2.5870%
2019-12-03,0.6862,2.6830%
2019-12-02,0.7190,2.6520%
2019-12-01,0.7010,2.7330%
2019-11-30,0.7009,2.7040%
2019-11-29,0.6970,2.6920%
2019-11-28,0.7044,3.0720%
2019-11-27,0.8691,3.2610%
2019-11-26,0.6278,3.3430%
2019-11-25,0.8706,3.5020%
2019-11-24,0.6465,3.5120%
2019-11-23,0.6797,3.4980%
2019-11-22,1.4047,3.4660%
2019-11-21,1.0561,3.0450%
2019-11-20,1.0221,3.3650%
2019-11-19,0.9227,3.1520%
2019-05-22,0.6965,2.7340%
2019-05-21,1.0064,2.7420%
2019-05-20,0.6338,2.7210%
2019-05-19,0.7135,2.7400%
2019-05-18,0.7134,2.7190%
2019-05-17,0.7117,2.6990%
2019-05-16,0.6980,3.3030%
2019-05-15,0.7111,3.5740%
2019-05-14,0.9668,3.5980%
2019-05-13,0.6691,4.2240%
2019-05-12,0.6752,4.2190%
2019-05-11,0.6751,4.1970%
2019-05-10,1.8371,4.1740%
2019-05-09,1.2014,3.5230%
2019-05-08,0.7550,3.2170%
2019-05-07,2.1214,3.1510%
2019-05-06,0.6611,2.3530%
2019-05-05,0.6338,2.4050%
2019-05-04,0.6337,2.4580%
2019-05-03,0.6336,2.5120%
2018-11-03,0.7522,3.0020%
2018-11-02,0.7500,3.0170%
2018-11-01,0.7449,3.0320%
2018-10-31,0.8322,3.0460%
2018-10-30,1.0240,3.0090%
2018-10-29,0.7885,2.8130%
2018-10-28,0.7803,2.8010%
2018-10-27,0.7802,2.7950%
2018-10-26,0.7783,2.7890%
2018-10-25,0.7721,2.7840%
2018-10-24,0.7615,2.7890%
2018-10-23,0.6595,2.8600%
2018-10-22,0.7659,2.9530%
2018-10-21,0.7697,3.1760%
2018-10-20,0.7696,3.1700%
2018-10-19,0.7685,3.1650%
2018-10-18,0.7816,3.1550%
2018-10-17,0.8941,3.2350%
2018-10-16,0.8318,3.4740%
2018-10-15,1.1815,3.5540%
2018-04-17,1.1298,4.2860%
2018-04-16,1.1575,4.2940%
2018-04-15,1.1589,4.3000%
2018-04-14,1.1587,4.3320%
2018-04-13,1.1563,4.3650%
2018-04-12,1.1468,4.3990%
2018-04-11,1.1417,4.4370%
2018-04-10,1.1436,4.4780%
2018-04-09,1.1681,4.5440%
2018-04-08,1.2187,4.5510%
2018-04-07,1.2185,4.5500%
2018-04-06,1.2184,4.5490%
2018-04-05,1.2182,5.1260%
2018-04-04,1.2160,6.3440%
2018-04-03,1.2644,6.3360%
2018-04-02,1.1814,6.2310%
2018-04-01,1.2172,6.2370%
2018-03-31,1.2170,6.1410%
2018-03-30,2.2742,6.0450%
2018-03-29,3.4281,5.4430%
2017-09-28,1.1039,3.1830%
2017-09-27,0.9623,3.0150%
2017-09-26,0.6027,2.8860%
2017-09-25,0.8608,2.9000%
2017-09-24,1.6580,2.6100%
2017-09-22,0.8226,2.0670%
2017-09-21,0.7905,1.7970%
2017-09-20,0.7215,1.6320%
2017-09-19,0.6291,1.5040%
2017-09-18,0.3203,1.4060%
2017-09-17,0.6406,1.4210%
2017-09-15,0.3131,1.4520%
2017-09-14,0.4799,1.7140%
2017-09-13,0.4799,1.7050%
2017-09-12,0.4437,1.6930%
2017-09-11,0.3496,1.7080%
2017-09-10,0.6993,1.8500%
2017-09-08,0.8072,2.9900%
2019-11-18,0.8879,3.0470%
2019-11-17,0.6211,2.9200%
2019-11-16,0.6211,2.9450%
2019-11-15,0.6210,2.9700%
2019-11-14,1.6522,3.0490%
2019-11-13,0.6264,2.5160%
2019-11-12,0.7268,2.5360%
2019-11-11,0.6511,2.6020%
2019-11-10,0.6680,2.6150%
2019-11-09,0.6679,2.6230%
2019-11-08,0.7671,2.6310%
2019-11-07,0.6576,2.6220%
2019-11-06,0.6645,2.6340%
2019-11-05,0.8506,2.6440%
2019-11-04,0.6749,2.5480%
2019-11-03,0.6826,2.9090%
2019-11-02,0.6826,2.8550%
2019-11-01,0.7503,2.8020%
2019-10-31,0.6800,2.7100%
2019-10-30,0.6842,2.6920%
2019-05-02,0.6336,2.5580%
2019-05-01,0.6335,2.6100%
2019-04-30,0.6305,2.6270%
2019-04-29,0.7584,2.6990%
2019-04-28,0.7345,2.7430%
2019-04-27,0.7344,2.7300%
2019-04-26,0.7193,2.7170%
2019-04-25,0.7305,2.7070%
2019-04-24,0.6656,2.6930%
2019-04-23,0.7655,2.6830%
2019-04-22,0.8410,2.7110%
2019-04-21,0.7100,2.6190%
2019-04-20,0.7099,2.5880%
2019-04-19,0.7011,2.5570%
2019-04-18,0.7040,2.5290%
2019-04-17,0.6463,2.5030%
2019-04-16,0.8185,2.5160%
2019-04-15,0.6686,2.5070%
2019-04-14,0.6520,2.5330%
2019-04-13,0.6520,2.5890%
2018-10-14,0.7591,3.3810%
2018-10-13,0.7590,3.4080%
2018-10-12,0.7502,3.4340%
2018-10-11,0.9307,3.4650%
2018-10-10,1.3366,3.3990%
2018-10-09,0.9811,3.1150%
2018-10-08,0.8605,3.0220%
2018-10-07,0.8083,2.9930%
2018-10-06,0.8082,2.9930%
2018-10-05,0.8081,2.9930%
2018-10-04,0.8081,2.9910%
2018-10-03,0.8080,3.0010%
2018-10-02,0.8080,2.9800%
2018-10-01,0.8079,2.9320%
2018-09-30,0.8078,2.8850%
2018-09-29,0.8078,2.8540%
2018-09-28,0.8052,2.8230%
2018-09-27,0.8259,2.8620%
2018-09-26,0.7690,2.8400%
2018-09-25,0.7192,2.8530%
2018-03-28,1.2007,4.2550%
2018-03-27,1.0752,4.6520%
2018-03-26,1.1913,4.9180%
2018-03-25,1.0438,4.9580%
2018-03-24,1.0437,5.0760%
2018-03-23,1.1825,5.1950%
2018-03-22,1.2542,5.2550%
2018-03-21,1.9301,5.2690%
2018-03-20,1.5629,4.9530%
2018-03-19,1.2632,4.7690%
2018-03-18,1.2607,4.7690%
2018-03-17,1.2605,4.7510%
2018-03-16,1.2912,4.7320%
2018-03-15,1.2793,4.7350%
2018-03-14,1.3535,4.7360%
2018-03-13,1.2273,4.6700%
2018-03-12,1.2627,4.6400%
2018-03-11,1.2272,4.6540%
2018-03-10,1.2270,4.6730%
2018-03-09,1.2958,4.6920%
2019-10-29,0.6706,2.7130%
2019-10-28,1.3492,2.7230%
2019-10-27,0.5826,2.3750%
2019-10-26,0.5825,2.4080%
2019-10-25,0.5784,2.4410%
2019-10-24,0.6481,2.5150%
2019-10-23,0.7225,2.4880%
2019-10-22,0.6884,2.4630%
2019-10-21,0.6983,2.4540%
2019-10-20,0.6447,3.4840%
2019-10-19,0.6447,3.4740%
2019-10-18,0.7173,3.4850%
2019-10-17,0.5978,3.4540%
2019-10-16,0.6746,3.4940%
2019-10-15,0.6717,3.4990%
2019-10-14,2.6184,3.5050%
2019-10-13,0.6258,2.4680%
2019-10-12,0.6638,2.5010%
2019-10-11,0.6614,2.5140%
2019-10-10,0.6718,2.5270%
2019-04-12,0.6490,2.6440%
2019-04-11,0.6548,2.7020%
2019-04-10,0.6708,2.7550%
2019-04-09,0.8014,2.8060%
2019-04-08,0.7178,2.8520%
2019-04-07,0.7561,2.8840%
2019-04-06,0.7560,2.8630%
2019-04-05,0.7560,2.8410%
2019-04-04,0.7543,2.7570%
2019-04-03,0.7661,3.3840%
2019-04-02,0.8877,3.3870%
2019-04-01,0.7776,3.3210%
2019-03-31,0.7159,3.3020%
2019-03-30,0.7158,3.3120%
2019-03-29,0.5981,3.3220%
2019-03-28,1.9221,3.3930%
2019-03-27,0.7704,2.7810%
2019-03-26,0.7661,3.9240%
2019-03-25,0.7422,3.8250%
2019-03-24,0.7341,3.7240%
2018-09-24,0.7197,2.9170%
2018-09-23,0.7500,2.9530%
2018-09-22,0.7499,2.9510%
2018-09-21,0.8775,2.9490%
2018-09-20,0.7853,2.9230%
2018-09-19,0.7940,3.7070%
2018-09-18,0.8389,3.7430%
2018-09-17,0.7863,3.8210%
2018-09-16,0.7456,3.8450%
2018-09-15,0.7456,3.8890%
2018-09-14,0.8297,3.9320%
2018-09-13,2.2413,3.9290%
2018-09-12,0.8611,3.2580%
2018-09-11,0.9821,3.2650%
2018-09-10,0.8316,3.2030%
2018-09-09,0.8256,3.2700%
2018-09-08,0.8255,3.3490%
2018-09-07,0.8233,3.4270%
2018-09-06,0.9999,3.5330%
2018-09-05,0.8747,3.6560%
2018-03-08,1.2804,4.7060%
2018-03-07,1.2329,4.7200%
2018-03-06,1.1722,4.7840%
2018-03-05,1.2896,4.7880%
2018-03-04,1.2620,4.7770%
2018-03-03,1.2618,4.7420%
2018-03-02,1.3207,4.7330%
2018-03-01,1.3061,4.7120%
2018-02-28,1.3500,4.6820%
