净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7075,2.8730%
2019-12-07,0.7074,2.8750%
2019-12-06,0.7412,2.8760%
2019-12-05,0.7101,2.8590%
2019-12-04,1.1472,2.8840%
2019-12-03,0.7079,2.6620%
2019-12-02,0.7119,2.7800%
2019-12-01,0.7098,2.7830%
2019-11-30,0.7098,2.7860%
2019-11-29,0.7098,2.7900%
2019-11-28,0.7573,2.8310%
2019-11-27,0.7323,2.8090%
2019-11-26,0.9277,2.8160%
2019-11-25,0.7170,2.7430%
2019-11-24,0.7167,2.7550%
2019-11-23,0.7167,2.7510%
2019-11-22,0.7873,2.7470%
2019-11-21,0.7155,2.7050%
2019-11-20,0.7451,2.7000%
2019-11-19,0.7923,2.6770%
2019-05-22,0.7318,2.7390%
2019-05-21,0.6967,2.7190%
2019-05-20,0.6984,2.7190%
2019-05-19,0.7032,2.7210%
2019-05-18,0.7062,2.7280%
2019-05-17,0.9387,2.7340%
2019-05-16,0.7081,2.6150%
2019-05-15,0.6931,2.6300%
2019-05-14,0.6968,2.6700%
2019-05-13,0.7030,2.7900%
2019-05-12,0.7165,2.8050%
2019-05-11,0.7164,2.8060%
2019-05-10,0.7171,2.8080%
2019-05-09,0.7355,2.8090%
2019-05-08,0.7690,2.8030%
2019-05-07,0.9208,2.7800%
2019-05-06,0.7297,2.8140%
2019-05-05,0.7191,2.8360%
2019-05-04,0.7191,2.8410%
2019-05-03,0.7191,2.8470%
2018-11-03,0.7934,2.9600%
2018-11-02,0.7965,2.9610%
2018-11-01,0.8028,2.9600%
2018-10-31,0.7977,2.9560%
2018-10-30,0.8102,3.0010%
2018-10-29,0.7983,2.9910%
2018-10-28,0.7951,2.9900%
2018-10-27,0.7951,2.9850%
2018-10-26,0.7954,2.9800%
2018-10-25,0.7961,2.9800%
2018-10-24,0.8798,2.9780%
2018-10-23,0.7917,2.9370%
2018-10-22,0.7964,2.9420%
2018-10-21,0.7858,2.9440%
2018-10-20,0.7858,2.9520%
2018-10-19,0.7969,2.9610%
2018-10-18,0.7917,2.9630%
2018-10-17,0.8041,2.9990%
2018-10-16,0.8010,3.0250%
2018-10-15,0.7997,3.0720%
2018-03-18,2.2905,4.3920%
2018-03-16,1.1441,4.3890%
2018-03-15,1.2430,4.3880%
2018-03-14,1.1398,4.3340%
