净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7350,2.7190%
2019-12-07,0.7350,2.7200%
2019-12-06,0.7237,2.7210%
2019-12-05,0.7227,2.7240%
2019-12-04,0.7054,2.7260%
2019-12-03,0.7168,2.7210%
2019-12-02,0.8071,2.7420%
2019-12-01,0.7361,2.7180%
2019-11-30,0.7361,2.7250%
2019-11-29,0.7303,2.7320%
2019-11-28,0.7263,2.7410%
2019-11-27,0.6961,2.7540%
2019-11-26,0.7562,2.7890%
2019-11-25,0.7624,2.8020%
2019-11-24,0.7492,2.7970%
2019-11-23,0.7493,2.8090%
2019-11-22,0.7471,2.8210%
2019-11-21,0.7510,2.8340%
2019-11-20,0.7612,2.8400%
2019-11-19,0.7802,2.8480%
2019-05-22,0.7476,2.7160%
2019-05-21,0.7107,2.6930%
2019-05-20,0.7253,2.6840%
2019-05-19,0.7400,2.6880%
2019-05-18,0.7401,2.6890%
2019-05-17,0.7398,2.6900%
2019-05-16,0.7354,2.6820%
2019-05-15,0.7054,2.6820%
2019-05-14,0.6930,2.6960%
2019-05-13,0.7329,2.7180%
2019-05-12,0.7425,2.7650%
2019-05-11,0.7425,2.8070%
2019-05-10,0.7245,2.8500%
2019-05-09,0.7356,2.9020%
2019-05-08,0.7312,2.9480%
2019-05-07,0.7332,2.9970%
2019-05-06,0.8216,3.0290%
2019-05-05,0.8216,3.0020%
2019-05-04,0.8217,2.9980%
2019-05-03,0.8217,2.9940%
2018-11-03,0.3766,1.4500%
2018-11-02,0.3767,1.4670%
2018-11-01,0.3767,1.4840%
2018-10-31,0.4061,1.4680%
2018-10-30,0.4084,1.4140%
2018-10-29,0.4085,1.3600%
2018-10-28,0.4085,1.4830%
2018-10-27,0.4085,1.6280%
2018-10-26,0.4085,1.7730%
2018-10-25,0.3470,1.9180%
2018-10-24,0.3040,2.0550%
2018-10-23,0.3059,2.1980%
2018-10-22,0.6413,2.3820%
2018-10-21,0.6821,2.3620%
2018-10-20,0.6821,2.3770%
2018-10-19,0.6821,2.3920%
2018-10-18,0.6044,2.5300%
2018-10-17,0.5712,2.4260%
2018-10-16,0.6508,2.5630%
2018-10-15,0.6043,2.5170%
2018-04-17,0.8967,3.2550%
2018-04-16,0.8760,3.2300%
2018-04-15,0.8854,3.3170%
2018-04-14,0.8854,3.4720%
2018-04-13,0.8850,3.6270%
2018-04-12,0.8591,3.7830%
2018-04-11,0.8561,3.9520%
2018-04-10,0.8507,4.1220%
2018-04-09,1.0368,4.2970%
2018-04-08,1.1726,4.3710%
2018-04-07,1.1727,4.3710%
2018-04-06,1.1727,4.3710%
2018-04-05,1.1727,4.3690%
2018-04-04,1.1695,4.3560%
2018-04-03,1.1722,4.3020%
2018-04-02,1.1728,4.2480%
2018-04-01,1.1728,4.1940%
2018-03-31,1.1727,4.1410%
2018-03-30,1.1679,4.0870%
2018-03-29,1.1489,4.0310%
2017-09-29,1.2439,4.0350%
2017-09-28,1.2486,3.9710%
2017-09-27,1.1596,3.8220%
2017-09-26,1.0009,3.7220%
2017-09-25,0.9785,3.6960%
2017-09-24,0.9772,3.6520%
2017-09-23,0.9773,3.6340%
2017-09-22,1.1257,3.6170%
2017-09-21,0.9749,3.5200%
2017-09-20,0.9750,3.5060%
2017-09-19,0.9527,3.4920%
2017-09-18,0.8956,3.4630%
2017-09-17,0.9456,3.4670%
2017-09-16,0.9456,3.4490%
2017-09-15,0.9452,3.4300%
2017-09-14,0.9495,3.4120%
2017-09-13,0.9479,3.3670%
2017-09-12,0.9004,3.3260%
2017-09-11,0.9022,3.3760%
2017-09-10,0.9117,3.4320%
2017-03-12,0.8696,3.1520%
2017-03-11,0.8696,3.2820%
2017-03-10,0.8696,3.4120%
2017-03-09,0.6556,3.5360%
2017-03-08,0.6451,3.7780%
2017-03-07,0.9446,4.0350%
2017-03-06,1.0979,4.1250%
2017-03-05,1.1105,4.1130%
2017-03-04,1.1106,4.0940%
2017-03-03,1.1011,4.0760%
2017-03-02,1.1031,4.0630%
2017-03-01,1.1196,4.0480%
2017-02-28,1.1091,4.0250%
2017-02-27,1.0759,3.9910%
2017-02-26,1.0768,3.9100%
2017-02-25,1.0768,3.8320%
2017-02-24,1.0769,3.7550%
2017-02-23,1.0765,3.6650%
2017-02-22,1.0761,3.5740%
2017-02-21,1.0467,3.4160%
2019-11-18,0.7525,2.8300%
2019-11-17,0.7713,2.8260%
2019-11-16,0.7714,2.8010%
2019-11-15,0.7717,2.7750%
2019-11-14,0.7623,2.7500%
2019-11-13,0.7757,2.7540%
2019-11-12,0.7479,2.7450%
2019-11-11,0.7451,2.7590%
2019-11-10,0.7234,2.7860%
2019-11-09,0.7234,2.8180%
2019-11-08,0.7251,2.8500%
2019-11-07,0.7707,2.8740%
2019-11-06,0.7578,2.8660%
2019-11-05,0.7746,2.8730%
2019-11-04,0.7960,2.8610%
2019-11-03,0.7827,2.8500%
2019-11-02,0.7827,2.8450%
2019-11-01,0.7706,2.8390%
2019-10-31,0.7542,2.8420%
2019-10-30,0.7713,2.8450%
2019-05-02,0.8218,2.9870%
2019-05-01,0.8219,2.9810%
2019-04-30,0.7936,2.9580%
2019-04-29,0.7701,2.9500%
2019-04-28,0.8140,2.9330%
2019-04-27,0.8140,2.9020%
2019-04-26,0.8088,2.8710%
2019-04-25,0.8106,2.8400%
2019-04-24,0.7801,2.8080%
2019-04-23,0.7783,2.7740%
2019-04-22,0.7385,2.7470%
2019-04-21,0.7565,2.7260%
2019-04-20,0.7566,2.7020%
2019-04-19,0.7508,2.6780%
2019-04-18,0.7509,2.6550%
2019-04-17,0.7154,2.6270%
2019-04-16,0.7280,2.6250%
2019-04-15,0.7003,2.6170%
2019-04-14,0.7114,2.6230%
2019-04-13,0.7115,2.6200%
2018-10-14,0.7107,2.4990%
2018-10-13,0.7107,2.5560%
2018-10-12,0.9395,2.6140%
2018-10-11,0.4096,2.5490%
2018-10-10,0.8278,2.7680%
2018-10-09,0.5656,2.7630%
2018-10-08,0.5697,2.8980%
2018-10-07,0.8183,3.0320%
2018-10-06,0.8183,3.0320%
2018-10-05,0.8183,3.0320%
2018-10-04,0.8184,3.0320%
2018-10-03,0.8184,2.9970%
2018-10-02,0.8184,2.8890%
2018-10-01,0.8185,3.5010%
2018-09-30,0.8185,3.4040%
2018-09-29,0.8186,3.3080%
2018-09-28,0.8186,3.2110%
2018-09-27,0.7522,3.1140%
2018-09-26,0.6175,3.0480%
2018-09-25,1.9558,3.0360%
2018-03-28,1.0715,4.1340%
2018-03-27,1.0715,4.1140%
2018-03-26,1.0741,4.1080%
2018-03-25,1.0747,4.1180%
2018-03-24,1.0747,4.1280%
2018-03-23,1.0646,4.1390%
2018-03-22,1.3376,4.1550%
2018-03-21,1.0346,4.0210%
2018-03-20,1.0609,4.0420%
2018-03-19,1.0930,4.0630%
2018-03-18,1.0936,4.0680%
2018-03-17,1.0937,4.0720%
2018-03-16,1.0937,4.0770%
2018-03-15,1.0911,4.0800%
2018-03-14,1.0738,4.0620%
2018-03-13,1.0996,4.0930%
2018-03-12,1.1021,4.1090%
2018-03-11,1.1018,4.1230%
2018-03-10,1.1018,4.1390%
2018-03-09,1.0999,4.1540%
2017-09-09,0.9118,3.4810%
2017-09-08,0.9111,3.5300%
2017-09-07,0.8655,3.5780%
2017-09-06,0.8726,3.6530%
2017-09-05,0.9925,3.7230%
2017-09-04,1.0063,3.6830%
2017-09-03,1.0027,3.6390%
2017-09-02,1.0028,3.5700%
2017-09-01,1.0000,3.5000%
2017-08-31,1.0049,3.4340%
2017-08-30,1.0012,3.3930%
2017-08-29,0.9189,3.3470%
2017-08-28,0.9255,3.3550%
2017-08-27,0.8736,3.3650%
2017-08-26,0.8736,3.4020%
2017-08-25,0.8774,3.4390%
2017-08-24,0.9301,3.4740%
2017-08-23,0.9150,3.4800%
2017-08-22,0.9341,3.4920%
2017-08-21,0.9431,3.4580%
2017-02-20,0.9266,3.1060%
2017-02-19,0.9330,3.1300%
2017-02-18,0.9331,3.1510%
2017-02-17,0.9117,3.1710%
2017-02-16,0.9072,3.2030%
2017-02-15,0.7838,3.2370%
2017-02-14,0.4718,3.3370%
2017-02-13,0.9704,3.6040%
2017-02-12,0.9713,3.6420%
2017-02-11,0.9714,3.6800%
2017-02-10,0.9699,3.7180%
2017-02-09,0.9714,3.7570%
2017-02-08,0.9702,3.8050%
2017-02-07,0.9657,3.8530%
2017-02-06,1.0403,3.9040%
2017-02-05,1.0418,3.9140%
2017-02-04,1.0419,3.9240%
2017-02-03,1.0421,3.9330%
2017-02-02,1.0593,3.9430%
2017-02-01,1.0594,3.9440%
2019-10-29,0.7521,2.8390%
2019-10-28,0.7766,2.8370%
2019-10-27,0.7721,2.8250%
2019-10-26,0.7722,2.8170%
2019-10-25,0.7760,2.8100%
2019-10-24,0.7598,2.7970%
2019-10-23,0.7602,2.7960%
2019-10-22,0.7476,2.7920%
2019-10-21,0.7542,2.7910%
2019-10-20,0.7582,2.7820%
2019-10-19,0.7582,2.7560%
2019-10-18,0.7519,2.7310%
2019-10-17,0.7584,2.7090%
2019-10-16,0.7527,2.6840%
2019-10-15,0.7456,2.6960%
2019-10-14,0.7379,2.7120%
2019-10-13,0.7102,2.7390%
2019-10-12,0.7102,2.7810%
2019-10-11,0.7106,2.8230%
2019-10-10,0.7120,2.8640%
2019-04-12,0.7076,2.6170%
2019-04-11,0.6999,2.6210%
2019-04-10,0.7116,2.6210%
2019-04-09,0.7127,2.6110%
2019-04-08,0.7109,2.6210%
2019-04-07,0.7059,2.6700%
2019-04-06,0.7059,2.7320%
2019-04-05,0.7157,2.7950%
2019-04-04,0.6994,2.8600%
2019-04-03,0.6927,2.9650%
2019-04-02,0.7313,3.0670%
2019-04-01,0.8025,3.1530%
2019-03-31,0.8224,3.1440%
2019-03-30,0.8225,3.1140%
2019-03-29,0.8381,3.0840%
2019-03-28,0.8940,3.2960%
2019-03-27,0.8827,3.2770%
2019-03-26,0.8916,3.1380%
2019-03-25,0.7855,3.1120%
2019-03-24,0.7671,3.1180%
2018-09-24,0.6391,2.2510%
2018-09-23,0.6391,2.2450%
2018-09-22,0.6391,2.2440%
2018-09-21,0.6392,2.2430%
2018-09-20,0.6284,2.2420%
2018-09-19,0.5961,2.2540%
2018-09-18,0.4880,2.2730%
2018-09-17,0.6280,2.3450%
2018-09-16,0.6375,2.3420%
2018-09-15,0.6375,2.3310%
2018-09-14,0.6366,2.3200%
2018-09-13,0.6506,2.3040%
2018-09-12,0.6327,2.2500%
2018-09-11,0.6230,2.2440%
2018-09-10,0.6222,2.2420%
2018-09-09,0.6164,2.2280%
2018-09-08,0.6164,2.2270%
2018-09-07,0.6069,2.2270%
2018-09-06,0.5489,2.2310%
2018-09-05,0.6219,2.2430%
2018-03-08,1.0579,4.1710%
2018-03-07,1.1308,4.2090%
2018-03-06,1.1296,4.2090%
2018-03-05,1.1267,4.2110%
2018-03-04,1.1309,4.2090%
2018-03-03,1.1309,4.1960%
2018-03-02,1.1310,4.1830%
2018-03-01,1.1265,4.1710%
2018-02-28,1.1320,4.1680%
2018-02-27,1.1322,4.1840%
2018-02-26,1.1230,4.2000%
2018-02-25,1.1074,4.2210%
2018-02-24,1.1074,4.2510%
2018-02-23,1.1085,4.2800%
