净值日期,每万份收益,7日年化收益率（%）
2019-12-06,0.7577,2.7880%
2019-12-05,0.7528,2.7930%
2019-12-04,0.7486,2.7970%
2019-12-03,0.7570,2.8010%
2019-12-02,0.7582,2.8090%
2019-12-01,0.7493,2.8030%
2019-11-30,0.7494,2.8080%
2019-11-29,0.7670,2.8140%
2019-11-28,0.7608,2.8100%
2019-11-27,0.7560,2.8130%
2019-11-26,0.7726,2.7970%
2019-11-25,0.7465,2.7800%
2019-11-24,0.7588,2.7680%
2019-11-23,0.7605,2.7450%
2019-11-22,0.7592,2.7240%
2019-11-21,0.7671,2.7040%
2019-11-20,0.7261,2.6780%
2019-11-19,0.7406,2.6730%
2019-11-18,0.7244,2.6610%
2019-11-17,0.7148,2.6610%
2019-05-20,1.0526,2.9360%
2019-05-19,0.7285,2.7710%
2019-05-18,0.7299,2.7850%
2019-05-17,0.7298,2.7990%
2019-05-16,0.8519,2.8120%
2019-05-15,0.7281,2.7670%
2019-05-14,0.7289,2.7960%
2019-05-13,0.7445,2.8210%
2019-05-12,0.7553,2.8390%
2019-05-11,0.7553,2.8490%
2019-05-10,0.7553,2.8590%
2019-05-09,0.7672,2.8690%
2019-05-08,0.7814,2.8720%
2019-05-07,0.7760,2.8690%
2019-05-06,0.7787,2.8690%
2019-05-05,0.7737,2.8810%
2019-05-04,0.7738,2.8810%
2019-05-03,0.7738,2.8810%
2019-05-02,0.7738,2.8820%
2019-05-01,0.7759,2.9120%
2018-11-01,0.7967,2.9500%
2018-10-31,0.7990,2.9460%
2018-10-30,0.8151,2.9600%
2018-10-29,0.7966,3.0630%
2018-10-28,0.7895,3.0450%
2018-10-27,0.7896,3.0330%
2018-10-26,0.7895,3.0210%
2018-10-25,0.7884,3.0580%
2018-10-24,0.8250,3.0480%
2018-10-23,1.0070,3.0260%
2018-10-22,0.7644,2.9460%
2018-10-21,0.7668,3.0180%
2018-10-20,0.7668,3.0430%
2018-10-19,0.8582,3.0680%
2018-10-18,0.7705,3.0460%
2018-10-17,0.7836,3.1040%
2018-10-16,0.8576,3.1300%
2018-10-15,0.8990,3.1930%
2018-10-14,0.8132,3.1610%
2018-10-13,0.8133,3.1720%
2018-04-15,1.0961,4.4430%
2018-04-14,1.0961,4.5110%
2018-04-13,1.0963,4.5780%
2018-04-12,1.0981,4.6460%
2018-04-11,1.1069,4.7120%
2018-04-10,1.1334,4.7740%
2018-04-09,1.7112,4.8590%
2018-04-08,1.2199,4.6340%
2018-04-07,1.2199,4.5940%
2018-04-06,1.2200,4.5540%
2018-04-05,1.2201,4.6610%
2018-04-04,1.2199,4.6830%
2018-04-03,1.2896,4.7430%
2018-04-02,1.2977,4.7600%
2018-04-01,1.1470,4.7230%
2018-03-31,1.1470,4.7580%
2018-03-30,1.4163,4.7930%
2018-03-29,1.2610,4.6820%
2018-03-28,1.3289,4.6530%
2018-03-27,1.3217,4.5900%
2017-09-27,1.1790,4.5450%
2017-09-26,1.5748,4.5220%
2017-09-25,1.1576,4.3060%
2017-09-24,1.1364,4.2880%
2017-09-23,1.1539,4.2830%
2017-09-22,1.1628,4.2700%
2017-09-21,1.1598,4.2550%
2017-09-20,1.1367,4.2440%
2017-09-19,1.1791,4.2470%
2017-09-18,1.1247,4.2260%
2017-09-17,1.1257,4.2290%
2017-09-16,1.1299,4.2380%
2017-09-15,1.1365,4.2460%
2017-09-14,1.1392,4.2510%
2017-09-13,1.1426,4.2450%
2017-09-12,1.1407,4.2390%
2017-09-11,1.1297,4.2350%
2017-09-10,1.1423,4.2420%
2017-09-09,1.1437,4.2450%
2017-09-08,1.1458,4.2470%
2017-03-10,1.0579,4.0080%
2017-03-09,1.0650,4.0190%
2017-03-08,1.0595,4.0310%
2017-03-07,1.1716,4.0510%
2017-03-06,1.0572,4.0010%
2017-03-05,1.0625,4.1160%
2017-03-04,1.0626,4.1310%
2017-03-03,1.0794,4.1470%
2017-03-02,1.0872,4.1510%
2017-03-01,1.0954,4.1050%
2017-02-28,1.0800,4.0150%
2017-02-27,1.2690,3.6760%
2017-02-26,1.0908,3.3050%
2017-02-25,1.0909,3.2410%
2017-02-24,1.0868,3.1760%
2017-02-23,1.0021,3.1160%
2017-02-22,0.9309,3.1120%
2017-02-21,0.4535,3.1420%
2017-02-20,0.5820,3.2180%
2017-02-19,0.9704,3.1650%
2016-08-22,0.7204,2.6970%
2016-08-21,0.7111,2.7020%
2016-08-20,0.7175,2.7150%
2016-08-19,0.7823,2.7280%
2016-08-18,0.7155,2.7140%
2016-08-17,0.7282,2.7460%
2016-08-16,0.7282,2.8390%
2016-08-15,0.7303,2.8520%
2016-08-14,0.7354,2.7760%
2016-08-13,0.7415,2.7850%
2016-08-12,0.7561,2.7920%
2016-08-11,0.7765,2.7120%
2016-08-10,0.9008,2.7030%
2016-08-09,0.7535,2.6270%
2016-08-08,0.5877,2.6310%
2016-08-07,0.7530,2.6280%
2016-08-06,0.7535,2.6360%
2016-08-05,0.6063,2.6430%
2016-08-04,0.7611,2.6040%
2016-08-03,0.7580,2.6110%
2016-02-04,0.8300,3.2960%
2016-02-03,0.8280,3.2750%
2016-02-02,0.8264,3.2520%
2016-02-01,1.3326,3.2540%
2016-01-31,0.7998,3.7660%
2016-01-30,0.7999,3.7610%
2016-01-29,0.8034,3.7570%
2016-01-28,0.7895,3.7480%
2016-01-27,0.7869,3.7220%
