净值日期,每万份收益,7日年化收益率（%）
2019-12-08,0.7772,2.8600%
2019-12-07,0.7772,2.8480%
2019-12-06,0.7761,2.8350%
2019-12-05,0.7777,2.8240%
2019-12-04,0.7725,2.8350%
2019-12-03,0.7595,2.8390%
2019-12-02,0.7681,2.8630%
2019-12-01,0.7540,3.2800%
2019-11-30,0.7540,3.2970%
2019-11-29,0.7547,3.3150%
2019-11-28,0.7993,3.3320%
2019-11-27,0.7789,3.3260%
2019-11-26,0.8045,3.3260%
2019-11-25,1.5438,3.2930%
2019-11-24,0.7870,2.8450%
2019-11-23,0.7870,2.8010%
2019-11-22,0.7865,2.7560%
2019-11-21,0.7879,2.7120%
2019-11-20,0.7789,2.6660%
2019-11-19,0.7420,2.6230%
2019-05-21,0.6939,2.5690%
2019-05-20,0.6966,2.5740%
2019-05-19,0.6737,2.5870%
2019-05-18,0.6737,2.6200%
2019-05-17,0.7191,2.6530%
2019-05-16,0.7107,2.6620%
2019-05-15,0.6978,2.7260%
2019-05-14,0.7022,2.7910%
2019-05-13,0.7215,2.8470%
2019-05-12,0.7355,2.8870%
2019-05-11,0.7355,2.9030%
2019-05-10,0.7362,2.9180%
2019-05-09,0.8302,2.9340%
2019-05-08,0.8188,2.8980%
2019-05-07,0.8063,2.8690%
2019-05-06,0.7959,2.8460%
2019-05-05,0.7647,2.8360%
2019-05-04,0.7647,2.8340%
2019-05-03,0.7647,2.8330%
2019-05-02,0.7647,2.8320%
2018-11-02,0.9075,3.4170%
2018-11-01,0.9009,3.4270%
2018-10-31,0.9059,3.4340%
2018-10-30,0.9419,3.4340%
2018-10-29,0.9362,3.4040%
2018-10-28,0.9257,3.3840%
2018-10-27,0.9257,3.3650%
2018-10-26,0.9255,3.3460%
2018-10-25,0.9150,3.3270%
2018-10-24,0.9061,3.3120%
2018-10-23,0.8864,3.3090%
2018-10-22,0.8975,3.3330%
2018-10-21,0.8911,3.3560%
2018-10-20,0.8911,3.3860%
2018-10-19,0.8904,3.4150%
2018-10-18,0.8871,3.4460%
2018-10-17,0.8994,3.4750%
2018-10-16,0.9322,3.5030%
2018-10-15,0.9403,3.5090%
2018-10-14,0.9458,3.5340%
2018-03-18,2.4929,4.6410%
2018-03-16,1.2464,4.6350%
2018-03-15,1.2475,4.6330%
2018-03-14,1.2460,4.6360%
2018-03-13,1.2283,4.6400%
2018-03-12,1.2390,4.6390%
2018-03-11,2.4823,4.6530%
2018-03-09,1.2434,4.6700%
2018-03-08,1.2530,4.6780%
2018-03-07,1.2522,4.6780%
2018-03-06,1.2263,4.6580%
2018-03-05,1.2663,4.6210%
2018-03-04,2.5128,4.6190%
2018-03-02,1.2570,4.6060%
2018-03-01,1.2532,4.5990%
2018-02-28,1.2154,4.6140%
2018-02-27,1.1587,4.6420%
2018-02-26,1.2626,4.7000%
2018-02-25,2.4889,4.7020%
2018-02-23,1.2456,4.7250%
2019-11-18,0.7113,2.6030%
2019-11-17,0.7038,2.7010%
2019-11-16,0.7038,2.7230%
2019-11-15,0.7042,2.7450%
2019-11-14,0.7022,3.1270%
2019-11-13,0.6986,3.1480%
2019-11-12,0.7044,3.1770%
2019-11-11,0.8947,3.5210%
2019-11-10,0.7450,3.4510%
2019-11-09,0.7450,3.4580%
2019-11-08,1.4159,3.4640%
2019-11-07,0.7411,3.1100%
2019-11-06,0.7521,3.1090%
2019-11-05,1.3428,3.1100%
2019-11-04,0.7656,2.7890%
2019-11-03,0.7570,2.7790%
2019-11-02,0.7571,2.7680%
2019-11-01,0.7582,2.7580%
2019-10-31,0.7394,3.4330%
2019-10-30,0.7540,3.4310%
2019-05-01,0.7647,2.8140%
2019-04-30,0.7623,2.8000%
2019-04-29,0.7770,2.7840%
2019-04-28,0.7623,2.7770%
2019-04-27,0.7623,2.7700%
2019-04-26,0.7621,2.7630%
2019-04-25,0.7309,2.7560%
2019-04-24,0.7398,2.7680%
2019-04-23,0.7329,2.7670%
2019-04-22,0.7628,2.7720%
2019-04-21,0.7496,2.7600%
2019-04-20,0.7496,2.7630%
2019-04-19,0.7494,2.7670%
2019-04-18,0.7531,2.7700%
2019-04-17,0.7375,2.7580%
2019-04-16,0.7428,2.7640%
2019-04-15,0.7394,2.8110%
2019-04-14,0.7562,2.8380%
2019-04-13,0.7562,2.8230%
2019-04-12,0.7550,2.8090%
2018-10-13,0.9458,3.5330%
2018-10-12,0.9473,3.5320%
2018-10-11,0.9414,3.5310%
2018-10-10,0.9512,3.5320%
2018-10-09,0.9435,3.5280%
2018-10-08,0.9866,3.5280%
2018-10-07,0.9439,3.5050%
2018-10-06,0.9439,3.5050%
2018-10-05,0.9439,3.5050%
2018-10-04,0.9439,3.5040%
2018-10-03,0.9439,3.5260%
2018-10-02,0.9440,3.5430%
2018-10-01,0.9440,3.5460%
2018-09-30,0.9440,3.5470%
2018-09-29,0.9440,3.5470%
2018-09-28,0.9421,3.5470%
2018-09-27,0.9842,3.5600%
2018-09-26,0.9751,3.5430%
2018-09-25,0.9499,3.5280%
2018-09-24,0.9447,3.5200%
2018-02-22,1.2805,4.7360%
2018-02-21,8.8612,4.7290%
2018-02-14,1.2644,4.6970%
2018-02-13,1.1778,4.7150%
2018-02-12,1.2876,4.7620%
2018-02-11,2.5200,4.7790%
2018-02-09,1.2644,4.8010%
2018-02-08,1.2896,4.8120%
2018-02-07,1.2970,4.8140%
2018-02-06,1.2636,4.8180%
2018-02-05,1.3195,4.8350%
2018-02-04,2.5601,4.8190%
2018-02-02,1.2833,4.8410%
2018-02-01,1.2948,4.8500%
2018-01-31,1.3043,4.8530%
2018-01-30,1.2931,4.8460%
2018-01-29,1.2918,4.8380%
2018-01-28,2.6003,4.8370%
2018-01-26,1.2998,4.8170%
2018-01-25,1.2991,4.8070%
2019-10-29,0.7451,3.4190%
2019-10-28,0.7462,3.4010%
2019-10-27,0.7373,3.3820%
2019-10-26,0.7374,3.3640%
2019-10-25,2.0145,3.3530%
2019-10-24,0.7363,2.6560%
2019-10-23,0.7309,2.6440%
2019-10-22,0.7120,2.6310%
2019-10-21,0.7105,2.6260%
2019-10-20,0.7048,2.9340%
2019-10-19,0.7164,2.9440%
2019-10-18,0.7165,2.9500%
2019-10-17,0.7142,2.9560%
2019-10-16,0.7067,2.9900%
2019-10-15,0.7018,3.1750%
2019-10-14,1.2859,3.1980%
2019-10-13,0.7237,2.9050%
2019-10-12,0.7274,2.9130%
2019-10-11,0.7275,2.9200%
2019-10-10,0.7768,2.9260%
2019-04-11,0.7306,2.7950%
2019-04-10,0.7495,2.7930%
2019-04-09,0.8302,2.7970%
2019-04-08,0.7893,2.8060%
2019-04-07,0.7289,2.8270%
2019-04-06,0.7289,2.8340%
2019-04-05,0.7289,2.8420%
2019-04-04,0.7284,2.8490%
2019-04-03,0.7555,2.9010%
2019-04-02,0.8469,2.9360%
2019-04-01,0.8283,2.9110%
2019-03-31,0.7431,2.8950%
2019-03-30,0.7431,2.9210%
2019-03-29,0.7416,2.9480%
2019-03-28,0.8257,2.9740%
2019-03-27,0.8208,2.9530%
2019-03-26,0.8012,2.9360%
2019-03-25,0.7982,2.9320%
2019-03-24,0.7921,2.9300%
2019-03-23,0.7921,2.9320%
2018-09-23,0.9447,3.5190%
2018-09-22,0.9447,3.5100%
2018-09-21,0.9654,3.5000%
2018-09-20,0.9525,3.4790%
2018-09-19,0.9484,3.4750%
2018-09-18,0.9340,3.4710%
2018-09-17,0.9442,3.4960%
2018-09-16,0.9269,3.5180%
2018-09-15,0.9270,3.5460%
2018-09-14,0.9263,3.5740%
2018-09-13,0.9455,3.6020%
2018-09-12,0.9410,3.6380%
2018-09-11,0.9799,3.6890%
2018-09-10,0.9843,3.7230%
2018-09-09,1.9584,3.7540%
2018-09-07,0.9777,3.8190%
2018-09-06,1.0123,3.8530%
2018-09-05,1.0354,3.8690%
2018-09-04,1.0426,3.8670%
2018-09-03,1.0414,3.8580%
2018-01-24,1.2927,4.7790%
2018-01-23,1.2777,4.7740%
2018-01-22,1.2909,4.7800%
2018-01-21,2.5621,4.7810%
2018-01-19,1.2817,4.7770%
2018-01-18,1.2480,4.7750%
2018-01-17,1.2834,4.7720%
2018-01-16,1.2890,4.7560%
2018-01-15,1.2925,4.7720%
2018-01-14,2.5550,4.8240%
2018-01-12,1.2788,4.9580%
2018-01-11,1.2430,5.0260%
2018-01-10,1.2537,5.1310%
2018-01-09,1.3180,5.2180%
2018-01-08,1.3881,5.2720%
2018-01-07,2.7995,5.2610%
2018-01-05,1.4022,5.2250%
2018-01-04,1.4348,5.2140%
2018-01-03,1.4132,5.1920%
2018-01-02,1.4164,5.2200%
2019-10-09,1.0516,2.9060%
2019-10-08,0.7448,2.7390%
2019-10-07,0.7395,2.7360%
2019-10-06,0.7395,2.7360%
2019-10-05,0.7395,2.7690%
2019-10-04,0.7396,2.8020%
2019-10-03,0.7396,2.8360%
2019-10-02,0.7396,2.9390%
2019-10-01,0.7397,2.9470%
2019-09-30,0.7388,2.9500%
2019-09-29,0.8018,3.5480%
2019-09-28,0.8018,3.4850%
2019-09-27,0.8019,3.4210%
2019-09-26,0.9322,3.5720%
2019-09-25,0.7535,3.4730%
2019-09-24,0.7452,3.4470%
2019-09-23,1.8505,3.4270%
2019-09-22,0.6844,2.8200%
2019-09-21,0.6844,2.8430%
2019-09-20,1.0809,2.8670%
2019-03-22,0.7914,2.9350%
2019-03-21,0.7860,2.9380%
2019-03-20,0.7882,2.9520%
2019-03-19,0.7943,2.9770%
2019-03-18,0.7941,2.9870%
2019-03-17,0.7968,3.0100%
2019-03-16,0.7968,3.0330%
2019-03-15,0.7966,3.0570%
2019-03-14,0.8121,3.0810%
2019-03-13,0.8358,3.0970%
2019-03-12,0.8132,3.1050%
2019-03-11,0.8358,3.1200%
2019-03-10,0.8410,3.1360%
2019-03-09,0.8410,3.1430%
2019-03-08,0.8405,3.1510%
2019-03-07,0.8428,3.1580%
2019-03-06,0.8505,3.1510%
2019-03-05,0.8406,3.1340%
2019-03-04,0.8654,3.1210%
2019-03-03,0.8547,3.0990%
2018-09-02,2.0795,3.8470%
2018-08-31,1.0394,3.8300%
2018-08-30,1.0412,3.8200%
2018-08-29,1.0326,3.8000%
2018-08-28,1.0262,3.7860%
2018-08-27,1.0209,3.7590%
2018-08-26,2.0472,3.7630%
2018-08-24,1.0221,3.7230%
2018-08-23,1.0036,3.7030%
2018-08-22,1.0074,3.6970%
2018-08-21,0.9760,3.6860%
2018-08-20,1.0287,3.6890%
2018-08-19,1.9731,3.6680%
2018-08-17,0.9854,3.6890%
2018-08-16,0.9911,3.7020%
2018-08-15,0.9880,3.7260%
2018-08-14,0.9808,3.7670%
2018-08-13,0.9908,3.8110%
2018-08-12,2.0122,3.8700%
2018-08-10,1.0093,3.9940%
2018-01-01,1.3673,5.2090%
2017-12-31,2.7351,5.2210%
2017-12-29,1.3807,5.2600%
2017-12-28,1.3951,5.2620%
2017-12-27,1.4640,5.2250%
2017-12-26,1.3975,5.2330%
2017-12-25,1.3893,5.1490%
2017-12-24,2.8058,5.3830%
2017-12-22,1.3833,5.1130%
2017-12-21,1.3282,4.9870%
2017-12-20,1.4785,4.9010%
2017-12-19,1.2441,4.6940%
2017-12-18,1.8166,4.6110%
2017-12-17,2.3132,4.2210%
2017-12-15,1.1541,4.2530%
2017-12-14,1.1710,4.2690%
2017-12-13,1.0981,4.2640%
2017-12-12,1.0935,4.3280%
2017-12-11,1.0990,4.3750%
2017-12-10,2.3726,4.4210%
